Country,GroupCount_CountrySums,sum_msy,sum_catch0,sum_DeltaRawBio_F1,sum_DeltaRawF_F1,sum_DeltaProfits_F1,sum_DeltaYields_F1,GroupCount_CountryMeans,mean_msy,mean_b0,mean_f0,mean_y0,mean_PercBio_F1,mean_PercF_F1,mean_PercProfits_F1,mean_PercYields_F1,GroupCount_CountryMatrix,median_msy,median_b0,median_f0,median_y0,median_PercBio_F1,median_PercF_F1,median_PercProfits_F1,median_PercYields_F1,GroupCount_CountrySD,std_msy,std_b0,std_f0,std_y0,std_PercBio_F1,std_PercF_F1,std_PercProfits_F1,std_DeltaRawBio_F1,std_DeltaRawF_F1,std_DeltaProfits_F1,std_PercYields_F1,std_DeltaYields_F1
Taiwan Province of China,16,84247.1464311295,59830,-79282.5162994852,-0.0166611841788851,141698171.433215,30861.5186317741,16,5265.44665194559,0.461083125,0.987899479284869,0.561750287118254,67.3286689180353,71.3654883444229,486151582980.157,83.0228711086565,16,4788.59503656098,0.354785,0.817654356841157,0.325321864531507,4.06404668641382,28.688186323401,68.1414505593513,62.7177592397777,16,4912.86705853317,0.266555453885772,0.610275896942518,0.608815667219884,137.548916768577,136.843034820077,1216582499544.46,61718.5971073935,0.042465695980713,12441167.399033,69.0539023183493,1633.92994283313
Brazil,13,70888.8827738624,73372,336907.016011883,-0.475630099443694,115580943.660953,17447.8125141153,13,5452.9909826048,0.493556923076923,1.41484296323856,0.721197583372546,168.855145762282,6.72406243902514,183355460730.352,97.9089472980739,13,768.004832118236,0.43788,1.57130302932546,0.68804217048103,96.1883876164781,-27.1494411894769,160.624964608195,42.9243366999594,13,11490.3357610027,0.264839033011394,0.544818560432098,0.479867542242002,195.655731042726,89.4185392834433,566407318408.687,54082.9195642503,0.060787206547022,15536415.8540755,85.0735091892573,2218.03883527972
India,3,43160.2095678366,48763,242813.496437209,-0.227928623952969,91537278.2642665,13620.6143885197,3,14386.7365226122,0.609733333333333,1.714728186191,1.3418268100659,220.68668812629,-37.6851275396948,2051408986987.27,85.3645095655642,3,10448.2996321174,0.54259,1.9,0.928954982317351,213.095249039966,-39.6413435233214,3071062604514.4,88.9800858128342,3,7855.27955779508,0.276058487703844,0.320900194727629,0.893577073544364,171.462264812336,12.846151222205,1776582600634.19,36166.2400769118,0.0703978870737819,5971188.84039849,67.1973328782005,1145.8657639379
#N/A,3,35067.8001302151,11754,-62329.8993297632,0.00258484486479337,27433234.8969405,12237.0630459978,3,11689.2667100717,0.393523358,0.982219381772529,0.421788332967348,135.021485428588,35.5039126959132,565622307991.188,96.9190699372914,3,9629.73743426289,0.466237449,0.551033618183366,0.258706245803998,-19.7645505848467,61.3447946614523,21.1367113892522,47.7390486261271,3,7439.47739238488,0.176434574370448,0.795304023149777,0.28402129893092,269.438441474237,68.904624733675,979686575308.08,77665.5762032588,0.0468646023593178,11233923.6879623,101.428925190043,2144.51585353222
Iran (Islamic Rep. of),15,35028.769930406,26091,151621.201934365,-1.20307403315195,74324065.4543874,11314.6968376078,15,2335.25132869373,0.446579333333333,1.67116996108449,0.800797498021774,261.810725679331,-38.0790068540231,318111044903.252,107.348322313145,15,1762.96849166949,0.43608,1.8508089856673,0.744961447183503,308.781053050677,-43.2538576284507,275652.110983108,127.543747221475,15,1999.78210388321,0.195554930517039,0.291809238369916,0.313260013719884,175.737619735427,11.3532830746254,500017152372.557,9829.6113282087,0.0304843590061512,5060085.40909768,80.1086481810373,823.943191145267
Nigeria,6,33967.1314703564,30660,222856.801174846,-0.226403694563397,89731025.8510467,12674.6627726027,6,5661.18857839274,0.535306666666667,1.5332318190154,0.85257625243806,153.769949304926,-19.9240106311845,1237823453200.8,63.9509695705837,6,4192.23302004135,0.489045,1.69466903962107,0.937969502517497,170.93004513942,-41.4437811762317,334714738050.728,61.1011464906493,6,5833.74083349534,0.17679782992635,0.511589762743641,0.219103304457926,123.760431084671,48.3737005774524,2040803205057.91,50613.0363967643,0.0359161196272803,21322173.0309913,44.3872992098244,3272.12060102924
Thailand,12,28647.1032410563,13980,43433.5582725834,-0.0830086518166838,29409811.0970738,5751.8506452377,12,2387.25860342136,0.453384166666667,0.964322010630272,0.417413893674143,54.6375334968017,93.4882072862257,376.845384353156,85.4691992795552,12,1717.14573979573,0.355465,0.902123380464584,0.460839057915512,12.3298875041667,-7.65507223865858,74.645063795469,37.4911063515876,12,2165.49009678532,0.234121344740027,0.552727570930406,0.230252363972788,100.128442373827,265.287531571997,731.355214988162,12943.6884174853,0.0521106298698819,3874949.39712866,129.191578571483,631.269181688194
Chile,13,26760.9283523957,14121,-20880.8322220429,0.10238213997624,18957586.7292148,5643.52868492625,13,2058.53295018428,0.473305384615385,0.972225269569048,0.435771581633793,64.9603435117664,116.92272480151,50202549691.0242,105.152231454405,13,1274.340686362,0.514,0.923489001375195,0.483863308453665,3.55295596211325,22.2559499482141,75.4480414736436,74.754531396689,13,2548.20950563157,0.229290977058096,0.603723796549737,0.246495611096576,148.386216489093,268.030128523432,118037883920.364,14514.3062220986,0.0305617042269865,1621762.11374164,129.293489803388,445.224913209911
Canada,10,23874.561803352,18124.5,91371.1127940182,-0.0290498076788698,36561898.2112691,7998.4769207605,10,2387.4561803352,0.4890621627,0.988081325048917,0.525394101234775,84.1189463177817,69.9856567960579,69864050626.868,89.9483173287921,10,1870.1565219898,0.48499,0.734927774335765,0.447129884777049,-7.05088869710808,30.6142836624634,116.634611878538,85.6000994506159,10,2097.85880013996,0.231102847032876,0.695005529741068,0.440236995990955,157.900409142342,119.636220006522,212319437193.125,24001.8557378459,0.0483509730238481,4860396.47095515,66.3748447660986,759.113227608048
Ghana,6,23676.4486778768,22861,102649.714040736,-0.0415874408796399,39820679.3163595,6200.54371227409,6,3946.07477964613,0.45647,1.14173170609454,0.803547382262959,74.6901940720162,37.52762439129,19774050502.8471,57.5712168005794,6,764.330001202959,0.42169,1.13393787324883,0.488650089143263,53.162068192623,1.31710689030288,137.916736461734,59.1763093598794,6,5936.0512930933,0.211082950614208,0.663973873977787,0.883702078340481,117.689817655189,101.742116595322,48436333567.8351,50699.1636970583,0.0447064585784186,14362847.8499881,32.2585601506605,1915.13223004067
Ukraine,11,21897.1824655874,15875,79643.8611553007,-0.416053855691273,36740280.2033278,3438.34842877312,11,1990.65295141704,0.489948181818182,1.25713993256264,0.783549911297261,148.382323113784,57.6009485240829,2869736764.23119,112.098096896893,11,63.168382913097,0.51295,1.30810373209284,0.813720233985464,84.391210921671,-25.2810909907693,240.965254117845,104.488244731669,11,4111.13600795845,0.243244787480356,0.635994074276474,0.602457246603495,163.020101716592,230.145379843152,6478132495.67335,17668.1471570899,0.0708508554474831,7974731.04654823,103.439465613378,570.598184616619
Australia,20,20707.1585748498,11866.991,-31621.2410218968,-0.330472517734873,38571692.8570934,9267.73855511872,20,1035.35792874249,0.5824390132,1.09421055905709,0.691075305354138,102.583461621146,126.01733800659,83649446168.96,120.315134985968,20,658.84695402044,0.51376,0.894206214676345,0.638979346856299,-6.05221744918397,16.4115596619791,213.608373184583,83.4025471907831,20,1127.0060440726,0.228058746080366,0.746713937382683,0.534919765440353,163.152340268305,256.956297562422,140274053366.196,14641.0315693442,0.0574474383071027,1779288.15740591,116.3860170276,551.242277526886
Philippines,6,19925.3487043816,22341,138187.907316753,-0.32085466623357,41769550.9170565,6020.52419112223,6,3320.89145073027,0.50349,1.68620690256199,0.98365207134865,190.713434274825,-35.0419619731697,24218648206.0706,72.8108940275862,6,1328.98879294128,0.504705,1.80390336562721,1.04661302665937,183.021069382653,-38.8234022032582,1348.8439501717,66.6162328383538,6,4864.9512330145,0.13479427109488,0.340474048997507,0.392707524311959,134.785886586726,17.0448525985089,39071723195.1678,33697.6174834546,0.04199719779406,9554711.40667083,49.3569423957446,1249.94496420254
Peru,6,19067.3363370774,17615,127064.758789592,0.0169180372488142,38521333.8709173,6856.17746138971,6,3177.8893895129,0.446978333333333,1.17099698439994,0.715186846860953,62.4346016496963,220.032943982218,156814567950.509,127.823872295261,6,3078.70759465304,0.395355,1.38655519486952,0.475636403187234,64.2429625621088,-4.10649018958998,284.757526184125,68.7518992266367,6,2252.52815520722,0.155145648913099,0.836261777548849,0.70735148076505,104.504359024006,462.218023355991,384115674767.2,36410.5801048282,0.0380272438480842,5632879.88808235,149.886183937801,703.789604863875
Uruguay,16,18698.71872994,10920.5,67827.0023954177,-0.00926157321168067,30080808.4373184,5974.44373823714,16,1168.66992062125,0.4769825,1.00163242531004,0.524068853825512,54.5758100028661,209.874698747346,35721891070.9469,140.882916542046,16,211.719817532572,0.526185,1.20060642760681,0.510373860372581,25.5657564472501,-11.6330816151948,73.3160872998075,53.9902024833185,16,2891.27426623073,0.185675563802384,0.650184154283915,0.427423621053817,119.004343540089,569.586500601636,142887562611.356,18746.5332147548,0.0556895206185444,4260256.79323996,276.09671575322,791.704633513126
Senegal,13,17992.1316810066,17342,111063.113304032,-0.784826495793867,36033886.7205111,5591.47990213372,13,1384.0101293082,0.452703846153846,1.66452552787027,1.15799584195236,229.027849039466,-29.5342433511571,66788488745.8037,97.61714719743,13,465.928763433628,0.41914,1.9,1.12083795624197,226.843467420226,-41.0211461756578,15085550868.215,92.5478730686441,13,1667.81208792265,0.198249792246148,0.414964886179637,0.751113772336647,152.176570908856,34.7966488209475,143133228280.337,12954.1624666135,0.0508344199451372,3651978.39770067,58.8802608793962,542.944803491285
New Zealand,20,16087.6119652733,12902.66,50731.5063470591,-0.770172257651351,20977005.0660255,4993.0476323889,20,804.380598263666,0.511142603,1.53709872114338,0.978546943426317,226.753845263978,-11.2463685668359,28081882616.2803,110.823862241081,20,141.653968268853,0.42037,1.9,0.765434787243437,262.315300305831,-40.2255038830797,2286.2801996685,102.617797180716,20,1329.26336438142,0.284454319238185,0.558557113189235,0.630802849830085,202.03276807812,60.1132033638047,71882485846.8551,10510.336269997,0.0503346059006975,2344797.80649932,93.3347802659253,566.039372323287
