"","stock","bvbmsy","finalyear","iteration","fvfmsy","msy","r","K","finalcatch"
"117285","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,85,NA,52595.7459859461,0.55528799671093,378871.838019046,2541
"117286","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,86,NA,70253.8396475119,0.682701394806711,411622.651905684,2541
"117287","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,87,NA,57751.7392772015,0.54853586624826,421133.73312996,2541
"117288","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,88,NA,27083.0960378119,0.326488337303219,331810.885025999,2541
"117289","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,89,NA,60045.2893721234,0.71010123483406,338235.093401324,2541
"117290","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,90,NA,27300.8398992187,0.452928121363319,241105.275751418,2541
"117291","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,91,NA,45976.4657119726,0.619020177047773,297091.871423276,2541
"117292","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,92,NA,45451.0677699507,0.867054418449392,209680.346713341,2541
"117293","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,93,NA,20634.364246083,0.21450632137574,384778.669714611,2541
"117294","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,94,NA,29264.1974338395,0.509368364551025,229807.734209281,2541
"117295","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,95,NA,33289.7059652328,0.447509123738624,297555.550931527,2541
"117296","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,96,NA,29264.1974338395,0.509368364551025,229807.734209281,2541
"117297","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,97,NA,78203.968256165,0.825321894263847,379022.869984176,2541
"117298","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,98,NA,75970.8222998657,0.695896640305552,436678.770378938,2541
"117299","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,99,NA,79411.0855498196,0.725808036357815,437642.360359156,2541
"117300","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,100,NA,45451.0677699507,0.867054418449392,209680.346713341,2541
"119701","DFO-PAC-PCODHS-1956-2005-COLLIE",1.083512019,2004,1,NA,10000.3806941532,0.274269307158807,145847.609384346,400
"119702","DFO-PAC-PCODHS-1956-2005-COLLIE",1.083512019,2004,2,NA,4887.10882900512,0.585518226908934,33386.5530014676,400
"119703","DFO-PAC-PCODHS-1956-2005-COLLIE",1.083512019,2004,3,NA,6108.32194808313,0.811613186650333,30104.5968624202,400
"119704","DFO-PAC-PCODHS-1956-2005-COLLIE",1.083512019,2004,4,NA,9001.52115552184,0.385901180506193,93303.8986168883,400
"119705","DFO-PAC-PCODHS-1956-2005-COLLIE",1.083512019,2004,5,NA,34420.8758336768,0.988564563104397,139276.187386627,400
"119706","DFO-PAC-PCODHS-1956-2005-COLLIE",1.083512019,2004,6,NA,2979.39602910892,0.137505339050064,86669.9736807795,400
"119707","DFO-PAC-PCODHS-1956-2005-COLLIE",1.083512019,2004,7,NA,12685.87206618,0.751791484160627,67496.7585212474,400
"119708","DFO-PAC-PCODHS-1956-2005-COLLIE",1.083512019,2004,8,NA,4288.10296785097,0.325201689307153,52743.9199591717,400
"119709","DFO-PAC-PCODHS-1956-2005-COLLIE",1.083512019,2004,9,NA,5830.27301691243,0.203880560238917,114386.050540184,400
"119710","DFO-PAC-PCODHS-1956-2005-COLLIE",1.083512019,2004,10,NA,8501.49563707313,0.265017191063097,128316.138330046,400
"119711","DFO-PAC-PCODHS-1956-2005-COLLIE",1.083512019,2004,11,NA,4288.10296785097,0.325201689307153,52743.9199591717,400
