"","stock","sigR","startbio.1.","startbio.2.","interbio.1.","interbio.2.","finalbio.1.","finalbio.2.","min.yr.","max.yr.","res","max.ct.","ct.1.","ct.nyr.","length.r.","exp.mean.log.r...","sd.log.r..","min.r.","quantile.r..0.05.","quantile.r..0.25.","median.r.","quantile.r..0.75.","quantile.r..0.95.","max.r.","exp.mean.log.k...","sd.log.k..","min.k.","quantile.k..0.05.","quantile.k..0.25.","median.k.","quantile.k..0.75.","quantile.k..0.95.","max.k.","exp.mean.log.msy...","sd.log.msy..","min.msy.","quantile.msy..0.05.","quantile.msy..0.25.","median.msy.","quantile.msy..0.75.","quantile.msy..0.95.","max.msy."
"5%1054","17117",0,0.04914675,0.60614325,0.03072225,0.37890775,0.0431835,0.5325965,2002,2009,0.340403868,0.085,0.042,0.085,118,0.282306553627658,0.69233806333369,0.0512758688676953,0.0701676328885564,0.189993245914371,0.33089665624527,0.531984926648108,0.650268485350853,0.696094712376529,0.756604242663265,0.23000788846009,0.430471096428206,0.4783677649885,0.666240769921737,0.790201247686203,0.895087892703314,1.018226269271,1.05181808992606,0.0533985840515826,0.639423844363712,0.0112616565176518,0.0168505886996122,0.0369515547245996,0.0550112687176045,0.0871294166336363,0.133224377575078,0.174287301506339
"5%1055","17164",0,0.028866,0.356014,0.02448975,0.30204025,0.02371275,0.29245725,1992,2009,0.442508535,0.068,0.051,0.004,116,0.122761688788601,0.38847959243035,0.066380791298427,0.0691097726804876,0.0869615944036294,0.122945849347448,0.161577974380932,0.238889097992263,0.305258538270776,1.14766640153586,0.286481934470592,0.581350778581152,0.714866289677764,0.91917704674425,1.20486747233724,1.44656283624053,1.73202300362829,1.83162389334537,0.0352223664046198,0.395709182348224,0.0159330556984766,0.0202202744206766,0.026716311067241,0.0339003580495216,0.0440652566002389,0.0736109312027505,0.0891574171636945
"5%1056","17172",0,0.04006575,0.49414425,0.0521235,0.6428565,0.07479225,0.92243775,1995,2009,0.442508535,0.279,0.096,0.272,125,0.272062770085722,0.639599329578448,0.0692562510673303,0.0900567760534871,0.166145042445015,0.310048103927625,0.452978437736075,0.665668027020249,0.76594240951427,3.41065644367075,0.432729177334869,1.27159234232556,1.56344793095185,2.41822527707232,3.63489936158102,4.86083373868817,6.0242299244472,6.40123816668006,0.231978159968946,0.536181187889069,0.092787464173978,0.104752241157254,0.149156761431489,0.225451906563258,0.334572557822347,0.639591638424017,0.893387023765954
"5%1057","17183",0,0.063654,0.785066,0.076545,0.944055,0.04902825,0.60468175,2000,2009,0.231339889,0.108,0.024,0.05,125,0.180944965418477,0.779364836727157,0.0352830439542127,0.0414338343408413,0.0901917290420076,0.217283995198157,0.354149598592786,0.467884263753606,0.498296457175664,0.749423482980225,0.217102966210823,0.450851083941099,0.491924346433797,0.640587710855382,0.793904003113254,0.876957950837684,1.01019820023378,1.03480148084004,0.0339011015529128,0.694035158490602,0.00762235659375352,0.0097885483947909,0.0190142339107979,0.0394206991832689,0.0564396008545289,0.0883674661622177,0.126029836025639
"5%1058","17195",0,0.0252795,0.3117805,0.02462325,0.30368675,0.03925425,0.48413575,1992,2009,0.5,0.022,0.004,0.022,85,0.173893978679627,0.365254420109123,0.0781186670904215,0.0886266975282133,0.138129068466214,0.175663216888488,0.216659426953971,0.301998030086362,0.41976451996343,0.311860035494099,0.339358219590091,0.144170515899057,0.188259156395712,0.242224896220078,0.303660563193112,0.423205566879515,0.514166456886054,0.546488685744503,0.0135576455908096,0.389828118206609,0.00526774283270612,0.00730698560503718,0.010204860278901,0.0132429400518885,0.0177372755622219,0.0253987181972336,0.0493215826311793
"5%1059","17198",0,0.15,1,0.123405,1,0.0370995,0.4575605,1995,2009,0.4,1.716,0.353,0.029,101,0.194689355192981,0.618741881192142,0.0605648700021595,0.0696233004380521,0.122363054828011,0.19263221447031,0.334721640612267,0.459952133480304,0.592313293649341,9.17251767097097,0.176364107084827,6.03883616203817,6.75525957309034,8.22029090862153,9.35520752244115,10.7025015091164,11.5758742746234,12.0988290225484,0.446447887714391,0.551811634604825,0.151632986645214,0.183158628172952,0.289723149333982,0.433943046350301,0.69947893142474,1.03849189968929,1.4277716292058
"5%1060","17247",0,0.01592475,0.19640525,0.01180125,0.14554875,0.010995,0.135605,1992,2009,0.231339889,0.595,0.595,0.047,94,0.0768736518185931,0.497416164357127,0.0348879951793441,0.0370531770451812,0.0501818544204382,0.0763423663393613,0.110604602226408,0.180525284730271,0.213032737368899,13.753582014098,0.271121530037265,6.9911759913378,8.77329644442519,11.1516148210444,14.2820641590458,16.9723114359219,20.547542669567,21.492512594535,0.264322018752559,0.464901853575524,0.112511516429487,0.13200702950296,0.181874053177429,0.255423855958109,0.348635225466023,0.753041183209548,0.901201774680139
"5%1061","17276",0,0.040662,0.501498,0.0571485,0.7048315,0.04708725,0.58074275,1960,1987,0.5,2.4,1.7,2.27,65,0.179480677053879,0.483586955542233,0.0758668025768955,0.0819872296016233,0.130027240367197,0.168206942237243,0.243942350955897,0.431776774218782,0.56393105018074,45.8212581278388,0.527365174104723,13.7880159987028,17.334906776618,30.9500166263312,45.1981007582229,69.5447162071456,94.5990718257967,96.4924279790234,2.05600760806127,0.311109256977781,1.1253592322667,1.34864842174843,1.62232487824415,2.01733400679831,2.39706973525822,3.56322488597056,4.87435643346965
"5%1062","17278",0,0.03582,0.44178,0.042294,0.521626,0.02068725,0.25514275,1954,1987,0.5,6.3,0.6,0.304,87,0.111622227892873,0.257628529450062,0.0758141872467613,0.0776658413081828,0.090782486056508,0.105468588651181,0.137051476736577,0.173391221239266,0.199399848297557,69.242101085163,0.234193521826486,40.6600629284461,47.0132533868418,56.5123998360994,69.5500096229912,82.9085310871998,98.056830597278,103.268898520604,1.93223939677735,0.270924923610381,1.22473219231071,1.3214295132322,1.57503767009656,1.91558642157771,2.23401625905029,3.34862065288787,3.79798405618394
"5%1063","17282",0,0.0342495,0.4224105,0.023607,0.291153,0.01911225,0.23571775,1954,1987,0.5,3.9,1,0.122,54,0.108608671386965,0.178976087011147,0.076784096083033,0.0814141816768836,0.0953408167403982,0.108099602044707,0.122247199170589,0.149890738288918,0.155273947457604,56.9801142209458,0.0778642927958516,48.0362991024611,49.9373046458541,53.386138218464,57.4241419658665,60.610815892537,63.38320793674,63.8351244589372,1.54713362525361,0.157214570846037,1.22538058248185,1.26266589365089,1.38808469185378,1.48688129857705,1.67917133455902,1.98836659074576,2.34896409144346
