"","IdOrig","BvBmsy","FvFmsy","MSY","Catch"
"158","Lumped-Skipjack tuna-FaoRegion61",0.765655907115223,1.15043091091239,99202.5488466218,87381
"159","8495-FAO-71-33",0.821868384664406,0.340667742740017,98587.7597422929,27603
"160","SPC-ALBASPAC-1965-2007-BRANCH",1.39,0.358,97610,49300
"161","6836-FAO-61-33",0.582531799816046,1.23154731220383,95846.8316497744,68762
"162","AFSC-PCODGA-1977-2014-HIVELY",1.46,0.56973022674463,93771.8503009901,78000
"163","1978-FAO-61-57",1.46411495534354,0.454176560153337,92968.5660195078,61821
"164","Lumped-Indian mackerel-FaoRegion51",0.652129348759885,1.75825575506661,92948.7648130502,106576
"165","Lumped-Longtail tuna-FaoRegion71",1.18916266977798,0.714806489289716,92588.2797177316,78702
"166","ICCAT-BIGEYEATL-1950-2010-CHING",1.01,0.95,92000,87900
"167","14987-FAO-71-57",1.59263241204734,0.50965035011996,91515.72224791,74282
"168","Lumped-Carangids nei-FaoRegion71",0.368278272781448,3.44498039720361,90741.6747710229,115125
"169","6740-FAO-61-56",1.39989832605264,0.218898827425507,89088.7196841227,27300
"170","NWWG-HADICE-1977-2012-CHING",0.294,1.9,88811.12257,49400
"171","17594-FAO-71-42",0.790111226162233,1.25086804531233,88533.6404290502,87500
"172","2009-FAO-61-35",1.31759354602498,0.851197021844581,88247.3939792683,131963
"173","17196-FAO-67-23",1.26537877490163,0.866954686691145,88005.2020441904,96544
"174","1796-FAO-87-76",2.11015869741119,0.157086783799571,87975.6611592416,29162
"175","Lumped-Narrow-barred Spanish mackerel-FaoRegion51",1.8731795661217,0.487261858109743,87380.8149495698,79755
"176","9707-FAO-81-57",1.97954361108401,0.205891932624685,86612.904763986,35301
"177","WGBFAS-HERR2532-1973-2011-NEUBAUER",0.692,1.98,86288.715131194,137000
"178","NIWA-HOKIENZ-1970-2012-CORDUE",1.99,0.382,86000,43400
"179","5531-FAO-51-45",0.42234169914104,3.38009093092553,84501.920892805,120631
"180","Lumped-Kawakawa-FaoRegion51",1.95609287193261,0.477658188809858,84498.8769972029,78951
"181","5909-FAO-27-34",1.69199471102466,0.394731732972985,83770.5344431934,55949
"182","AFSC-FLSOLEBSAI-1974-2010-STACHURA",2.04,0.166,83321,18500
"183","IATTC-BIGEYEEPAC-1975-2011-BRANCH",1.24,0.93,80963,81400
"184","7434-FAO-61-34",0.913432419004852,0.440221729371451,80887.7510690686,32526
"185","Lumped-Short mackerel-FaoRegion57",1.6094244412673,0.750397578786665,80301.6818809695,96981
"186","5459-FAO-51-35",0.600237537959694,1.44219147713669,78028.5540226555,67546
"187","STECF-SPRBLKGSA29-1991-2010-BANOBI",1.97,0.449,77709.323625,91700
"188","NEFSC-SURFMATLC-1965-2008-JACOBSON",1.97,0.143,77626.3509304112,21900
"189","AFSC-ATKABSAI-1976-2011-STACHURA",1.56,0.671,76974.8684452846,72800
"190","Lumped-Indian scad-FaoRegion71",0.818243911180107,1.57977074362194,76752.3590999609,99213
"191","2090-FAO-61-33",1.31673455178267,1.40361597634078,75437.60443487,139423
"192","SPC-BIGEYECWPAC-1952-2010-CHING",1.09,1.21,74993,117000
"193","Lumped-Silver hake-FaoRegion21",0.377264898397665,0.613096241311664,74375.3695119886,17203
"194","AFSC-SNOWCRABBS-1978-2013-HIVELY",1.1,0.373,73447.0071264496,30100
"195","12128-FAO-61-31",0.391996295323011,2.57186179852614,73306.7947748207,73905
"196","5576-FAO-71-25",1.9081080776264,0.556266106295985,73118.3729227265,77609
"197","16830-FAO-67-35",1.79983648104367,0.438944194690201,72984.775780264,76880
"198","MARAM-CTRACSA-1949-2013-Furman",2.43,0.171,72924.09,29700
"199","5496-FAO-57-24",2.08697556662671,0.0935639298462986,72572.933600016,14171
"200","14967-FAO-57-33",0.913414492896937,0.190434096641635,70930.3589500343,12338
"201","Lumped-Longtail tuna-FaoRegion57",2.14826399923805,0.247543997086935,69551.9094645337,36987
"202","8494-FAO-57-33",0.821868384664406,0.340667742740017,69014.6462884587,19323
"203","16698-FAO-21-53",0.58143182275387,0.423522249925185,68479.3786555022,16863
"204","3574-FAO-41-57",1.84934649426554,0.507546056174848,68441.3467672068,64241
"205","10547-FAO-71-57",1.59263241204734,0.50965035011996,67609.9163393663,54878
"206","IFOP-PANCHSCH-1984-2012-CHING",1.71,0.385,66969.8297175,58800
"207","FAJ-JANCHOTSST-1976-2010-ONO",0.672,1.23,65662.3150575,72500
"208","Lumped-North Pacific hake-FaoRegion67",0.569525271742074,1.25491822420937,65639.4268089834,46913
"209","NWWG-POLLIEG-1977-2012-CHING",0.879,0.929,65000,51100
"210","FAJ-BMACKECS-1992-2010-ONO",1.01,0.61,64989.43005,40000
"211","5489-FAO-51-45",0.678667253590926,2.31646199241523,64901.4390187032,102032
"212","SPC-BIGEYEWPO-1952-2006-JENSEN",1.21,1.38,64600,107000
"213","5767-FAO-57-33",0.821868384664406,0.340667742740017,64203.6579041212,17976
"214","2012-FAO-61-33",0.638754710573371,1.73464872444779,64146.2409642327,71075
"215","AFSC-ARFLOUNDBSAI-1970-2010-STACHURA",2.50011387690351,0.0897,63481.3402651177,16700
"216","Lumped-Narrow-barred Spanish mackerel-FaoRegion57",1.97893642005822,0.373836624381179,63164.4617157135,46729
"217","Lumped-Jack and horse mackerels nei-FaoRegion27",0.153565187044482,2.31599282401638,62119.0363724429,22093
"218","MARAM-CHAKESA-1917-2013-Rademeyer",1.71,0.196506343942786,61900,20800
"219","FAJ-JANCHOSETO-1955-2010-ONO",1.36,0.64,61880.863605,72100
"220","Lumped-Japanese Spanish mackerel-FaoRegion61",1.91501547142957,0.319746125842626,61835.4382805687,37863
"221","1998-FAO-61-33",1.18671455951764,1.53489129492924,61637.3129032544,112271
"222","8930-FAO-77-35",1.35636425693261,1.34648960395108,60926.6821375354,148363
"223","2167-FAO-61-33",0.821868384664406,0.340667742740017,59789.1206784039,16740
"224","IFOP-SPHAKECH-1968-2012-CHING",0.271,2.85,58430.68504,45100
"225","GRP3-ANCHMEDGSA17-2000-2011-BANOBI",2.50011387690351,0.199,58327.42419,35100
"226","WGNSSK-PLAICNS-1956-2010-NEUBAUER",2.15,0.96,57915.3627277374,106000
"227","5651-FAO-71-34",0.92842635086011,0.699861924294486,57255.622057308,37203
"228","7694-FAO-61-33",0.470371104745983,0.0529446314073381,56979.657112779,1419
"229","5581-FAO-57-33",0.913414492896937,0.190434096641635,56644.2556925505,9853
"230","6833-FAO-61-57",1.51555383515602,0.391910688451952,56636.6439830983,33640
"231","Lumped-Jacks, crevalles nei-FaoRegion51",0.351653840251322,3.48234881869414,55892.571635078,68445
"232","1631-FAO-21-45",0.827322647116497,3.16713991525637,54708.5916178372,143350
"233","Lumped-Atlantic mackerel-FaoRegion21",0.308935950612154,0.674185832232556,54637.9241112869,11380
"234","7689-FAO-61-42",0.437,1.65,54491.366756813,39291
"235","Lumped-Japanese scad-FaoRegion61",0.5191718764376,0.935849083158672,54053.9400681393,26263
"236","5458-FAO-57-35",0.600237537959694,1.44219147713669,54046.781874633,46786
"237","1999-FAO-61-45",1.20960731505017,2.01902728439476,53790.5892244683,131369
"238","12074-FAO-61-23",1.86555038869202,0.547590142669527,53548.6515314596,54703
"239","16699-FAO-31-53",1.24695498363737,1.15684635238567,53170.9682959546,76701
"240","5587-FAO-57-56",2.08419175542335,0.164226952633419,52810.4933690863,18076
"241","GRP3-SARDMEDGSA17-1999-2011-BANOBI",2.50011387690351,0.249,51798.4771725,52500
"242","2002-FAO-61-33",0.550503478561479,3.42099372746018,51545.4790189604,97074
"243","12400-FAO-61-23",2.12145653942301,0.351042587187643,51362.8185356287,38251
"244","15057-FAO-71-35",0.633436746890611,1.39837657642092,51042.9692272195,45213
"245","Lumped-Carangids nei-FaoRegion51",0.368278272781448,3.44498039720361,50983.2247488736,64683
"246","15404-FAO-37-56",1.89359978353446,0.6352580309284,50896.794881397,61225
"247","5500-FAO-57-35",1.64971861210751,0.744378529393627,50645.1421248971,82924
"248","FAO-SPNWA-HMACKWA-1990-2010-CHING",0.946,2.32,50352.3755021994,110000
"249","ICCAT-ATBTUNAEATL-1950-2010-CHING",0.45,0.78,50000,20500
"250","13923-FAO-41-34",1.65596438536284,0.330559813324841,49982.1629719932,27360
"251","NWWG-HERRIsum-1984-2011-NEUBAUER",1.39,0.591,49883.9449776955,43000
"252","5609-FAO-71-33",0.512636787217635,2.37832507006161,49854.951042379,60784
"253","5556-FAO-51-33",0.68054619150325,1.41777533505002,49503.4725897941,47764
"254","Lumped-Jacks, crevalles nei-FaoRegion71",0.351653840251322,3.48234881869414,49425.055127666,60525
"255","1175-FAO-41-35",0.779601793595862,1.81222699458626,49199.1021921231,92679
