"","IdOrig","Country","CommName","Year","Catch","BvBmsy","FvFmsy","Price","MSY","Biomass","Profits","Rank","FutureYear","CatchShare_Catch","CatchShare_Biomass","Catch_ShareProfits","BAUPess_Catch","BAUPess_Biomass","BAUPess_Profits","Abs_Change_Catch","Abs_Change_Biomass","Perc_Change_Catch","Perc_Change_Biomass","Abs_Change_Catch_From_Today","Abs_Change_Biomass_From_Today","Perc_Change_Catch_From_Today","Perc_Change_Biomass_From_Today","FxB_2012"
"1403","NAFO-SC-REDFISHSPP3LN-1959-2008-BAUM_St. Pierre and Miquelon","St. Pierre and Miquelon","Redfish species NAFO 3LN",2012,4.59510962228953,1.85,0.0407,1255.1719462,67.65330070407,725.252241590275,5198.53914173677,10,2050,62.6395580176159,537.930614853963,75634.5500765765,6.65111573389868,948.814448702758,8304.14930677122,55.9884422837172,-410.883833848795,841.790227741211,-43.3049722641308,58.0444483953263,-187.321626736312,1263.17875233639,-25.8284795267324,0.075295
"1404","14456-FAO-51-36","Sudan","Narrow-barred Spanish mackerel",2012,0,1.8731795661217,0.487261858109743,967.08577688,0,0,0,1,2050,32.5345142279485,737.367276418765,30213.2614190067,21.8896187721877,1013.42556837785,18999.4141365602,10.6448954557608,-276.058291959081,48.6298805225693,-27.2401151671116,32.5345142279485,737.367276418765,999,999,0.912728955961661
"1405","14460-FAO-31-45","Suriname","Atlantic seabob",2012,7600,0.794404460327236,2.75917768760812,2896.5433844,3467.30662144871,67026.980684486,9472983.61184405,1,2050,3254.5760070196,108362.745860656,9379504.45505722,1606.2569063626,24125.7100116596,-1331453.49321251,1648.31910065699,84237.035848996,102.6186467512,349.158784584104,-4345.4239929804,41335.7651761696,-57.1766314865842,61.6703374582068,2.19190306187128
"1406","14472-FAO-31-45","Suriname","Penaeus shrimps nei",2012,500,0.430243990270922,3.43912061477194,3996.1061624,337.915244100507,3579.00047655899,-247193.014260053,2,2050,310.33358194963,10485.5489343712,1158545.33365783,176.468534138171,2195.80445499764,-283220.451417052,133.865047811459,8289.74447937351,75.8577434018039,377.526535229769,-189.66641805037,6906.54845781217,-37.9332836100739,192.974225710426,1.47966097632246
"1407","WGBFAS-SPRAT22-32-1973-2011-NEUBAUER_Sweden","Sweden","Sprat ICES Baltic Areas 22-32",2012,52592.1533640333,1.58,1.17,76.179090822,17269.7555350072,230667.339315936,3312201.70709119,1,2050,15984.4083080642,150078.400855985,1171620.04299244,17016.9490632757,92237.9830115383,683632.964206655,-1032.54075521155,57840.4178444469,-6.0677196092681,62.7078086011611,-36607.7450559691,-80588.9384599503,-69.6068571343276,-34.9372991854607,1.8486
"1408","WGNSSK-SEELNSSA1-1983-2011-NEUBAUER_Sweden","Sweden","Sandeel North Sea Area 1",2012,16166.5866958751,2.50011387690351,0.166,84.753241566,35818.0768545349,86485.5861702409,1243658.23387036,2,2050,33322.5618972007,43402.8804743098,2709139.98814462,12902.5214230421,69366.7830120107,1035783.0209599,20420.0404741586,-25963.9025377009,158.263953258712,-37.4298784091015,17155.9752013257,-43082.7056959311,106.119959172971,-49.8148970293452,0.415018903565983
"1409","AFWG-CODNEAR-1946-2011-CHING_Sweden","Sweden","Atlantic cod Northeast Arctic",2012,10366.1063160139,1.35,0.739,2752.182910088,10397.7911708534,52406.4263754036,23438033.0384066,3,2050,10053.8558976353,48278.4994743339,19422295.8314756,10053.8558976353,48278.4994743339,23969428.8453752,0,0,0,0,-312.250418378628,-4127.92690106971,-3.01222473375806,-7.87675708223277,0.99765
"1410","HAWG-HERRNS-1960-2011-NEUBAUER_Sweden","Sweden","Herring North Sea",2012,7148.39127005072,1.35,0.47,281.8891298366,6738.25292537918,108746.803363538,1779235.46744402,4,2050,6415.31239244175,78151.5679775534,1202927.25575887,6415.31239244175,78151.5679775534,1500110.17651089,0,0,0,0,-733.078877608972,-30595.2353859841,-10.2551588170659,-28.1343767721659,0.6345
"1411","WGBFAS-HERR2532-1973-2011-NEUBAUER_Sweden","Sweden","Herring ICES 25-32",2012,5209.20002126036,0.692,1.98,281.8891298366,3280.98669121128,31483.3402744787,723732.476879984,5,2050,3124.97179472968,44164.7369950239,585687.074916531,3124.97179472968,44164.7369950239,730448.263213397,0,0,0,0,-2084.22822653069,12681.3967205452,-40.0105240348672,40.2797054251106,1.37016
"1412","WGNSSK-SEELNSSA3-1983-2011-NEUBAUER_Sweden","Sweden","Sandeel North Sea Area 3",2012,4414.72175156589,0.909,0.258,84.753241566,18820.323666088,24871.6718398078,256232.33162284,6,2050,17415.1262409728,37561.0790061779,1420340.85671604,9725.47116131853,54880.6589312626,758168.145021906,7689.65507965431,-17319.5799250847,79.0671727066412,-31.5586224042559,13000.4044894069,12689.4071663701,294.478456876602,51.0195183021847,0.234522
"1413","WGMHSA-MACKNEICES-1972-2007-JENNINGS_Sweden","Sweden","Mackerel ICES Northeast Atlantic",2012,2753.99749546919,1.26,0.534,823.0287982158,4105.43113132331,17001.4221707612,2022207.47003968,7,2050,4047.14145315006,15656.9493712706,2544731.57029539,4047.14145315006,15656.9493712706,3092114.34170268,0,0,0,0,1293.14395768087,-1344.47279949055,46.955160990826,-7.9080019658753,0.67284
"1414","WGBFAS-HERR30-1972-2011-NEUBAUER_Sweden","Sweden","Herring ICES 30",2012,2726.27475565232,2.50011387690351,0.701,281.8891298366,787.08470623437,28745.6585114805,722188.351529774,8,2050,749.053614973461,7391.09116121775,140521.790544392,749.053614973461,7391.09116121775,175220.948976636,0,0,0,0,-1977.22114067886,-21354.5673502628,-72.5246469226747,-74.2879741013208,1.75257982770936
"1415","NWWG-CODICE-1952-2012-CHING_Sweden","Sweden","Atlantic cod Iceland",2012,2476.34761993666,0.565,0.876,2752.182910088,5007.75722081106,13591.1171698849,3756527.6306898,9,2050,4841.65409527779,29936.2081122242,9354253.0224427,4841.65409527779,29936.2081122242,11544024.3303544,0,0,0,0,2365.30647534114,16345.0909423393,95.5159306511919,120.263041941516,0.49494
"1416","WGNSSK-SEELNSSA2-1983-2011-NEUBAUER_Sweden","Sweden","Sandeel North Sea Area 2",2012,1724.05907071395,2.46,0.0909,84.753241566,7726.00050491659,22723.663817279,133646.389473773,10,2050,7139.25769978782,12684.9567571134,582733.816445346,1625.57486653848,21365.8658784855,133963.150044829,5513.68283324934,-8680.90912137207,339.1835680254,-40.6298025586381,5415.19862907387,-10038.7070601656,314.09588691363,-44.1773260724451,0.223614
"1417","14583-FAO-37-35","Syrian Arab Republic","Sardinellas nei",2012,150,0.633436746890611,1.39837657642092,293.25233182,169.341680138078,2583.49837979082,10947.038823032,1,2050,154.814189142476,5472.63376557431,40352.1719734641,137.517239130698,1563.14448874112,-5123.99217093274,17.2969500117782,3909.48927683319,12.5780230326897,250.104152558647,4.81418914247567,2889.1353857835,3.20945942831711,111.830354080479,0.885783109496096
"1418","14561-FAO-37-37","Syrian Arab Republic","Atlantic mackerel",2012,105,0.429422114299685,2.64466445877925,628.26625818,92.4558326829428,1039.76767240149,22294.8819861396,2,2050,156.633094478814,5237.75826652024,103197.074930485,77.202179485804,862.638989451904,-16691.6214029149,79.4309149930098,4375.11927706833,102.886881590714,507.178475650417,51.6330944788138,4197.99059411875,49.1743756941084,403.7431346969,1.13567740350222
"1419","14578-FAO-37-33","Syrian Arab Republic","Mullets nei",2012,60,0.534763633124097,4.45180035686819,1833.5360616,25.2030850650729,330.74003968913,-28527.3063124678,3,2050,22.7896694767578,822.429721906748,37037.9638901156,18.029779040528,248.859075907057,-2868.24473524855,4.75989043622985,573.570645999692,26.400159566739,230.480099594161,-37.2103305232422,491.689682217618,-62.0172175387369,148.663488908016,2.38066093278198
"1420","14563-FAO-37-33","Syrian Arab Republic","Bogue",2012,50,0.932699451671247,0.966576609622697,2847.4667678,55.4615498435284,1196.90563719164,77361.5956375423,4,2050,51.1723461006112,1738.07520448774,139751.468821717,37.0212007342502,479.836450415279,-32289.8968202415,14.1511453663611,1258.23875407246,38.2244365004324,262.222420365002,1.17234610061124,541.1695672961,2.34469220122249,45.2140545152644,0.901525473793343
"1421","14591-FAO-37-33","Syrian Arab Republic","White seabream",2012,40,0.694756433717645,1.88116057473627,2847.4667678,30.6056456613121,510.77104502336,28638.1824275385,5,2050,27.6626425088451,990.680384158325,75539.1175790958,21.2192863363203,331.827926735912,-1292.24896436973,6.44335617252473,658.852457422412,30.3655649412481,198.552443702776,-12.3373574911549,479.909339134965,-30.8433937278873,93.9578200077915,1.30694841215401
"1422","14589-FAO-37-33","Syrian Arab Republic","Surmullets(=Red mullets) nei",2012,40,0.666955840661493,1.84164344262983,805.98590178,32.5654707291469,205.527100918711,7259.80623393603,5,2050,29.8578151189467,416.405254147406,21446.624790887,22.7959848155289,131.853594620294,-1245.73686508604,7.06183030341785,284.551659527113,30.97839536464,215.80879940858,-10.1421848810533,210.878153228695,-25.3554622026331,102.60357504488,1.2282948504779
"1423","14579-FAO-37-33","Syrian Arab Republic","Pandoras nei",2012,40,0.537023558245931,1.45973166552549,2847.4667678,51.026246691539,685.2718094606,11677.4169951369,5,2050,46.3474419489666,1700.37745974051,117029.887464192,37.2136500533205,476.133851879934,-19531.5402442065,9.13379189564606,1224.24360786058,24.5441978482599,257.121732266433,6.34744194896656,1015.10565027991,15.8686048724164,148.131826855527,0.783910293104758
