,id,years,ConCat,mean,top,bot,rawbvb
44,9,2000,9-2000,0.513284909,5.57876945,0.037195881,0.461871326
45,9,2001,9-2001,0.389576129,3.816191235,0.035799134,0.373297046
46,9,2002,9-2002,0.366506975,3.806113298,0.030921818,0.343960707
47,9,2003,9-2003,0.378769385,4.611662272,0.026553272,0.359967536
48,9,2004,9-2004,0.36530659,2.28003169,0.056623039,0.363839476
49,9,2005,9-2005,0.321150169,2.28203465,0.046247127,0.33966259
50,9,2006,9-2006,0.340669276,2.05893136,0.051212282,0.326761311
51,9,2007,9-2007,0.292697786,1.981156731,0.042725709,0.311981922
52,9,2008,9-2008,0.339575169,2.665418515,0.049285795,0.326787331
53,39,1994,39-1994,0.367972215,7.254981466,0.025429874,0.372250431
54,39,1995,39-1995,0.366335728,5.911684654,0.020226578,0.372689761
55,39,1996,39-1996,0.383869728,5.320916699,0.027290868,0.386861735
56,39,1997,39-1997,0.414451281,5.125179374,0.028556204,0.38965446
57,39,1998,39-1998,0.360575716,5.120244772,0.03236177,0.404439251
58,39,1999,39-1999,0.413390981,4.520204336,0.039743462,0.414824976
59,39,2000,39-2000,0.377318451,4.775040055,0.034429608,0.368509395
60,39,2001,39-2001,0.296383124,3.148572128,0.024754323,0.311203416
61,39,2002,39-2002,0.272256511,2.716839182,0.023064771,0.277582029
62,39,2003,39-2003,0.285494513,3.508227041,0.019192562,0.257287158
63,39,2004,39-2004,0.25318337,1.803847979,0.03989463,0.25073578
64,39,2005,39-2005,0.228094044,1.675858969,0.038357433,0.248488133
65,39,2006,39-2006,0.26250281,1.546151956,0.034936182,0.251468668
66,56,2000,56-2000,2.0789509,5.443495282,0.875454692,2.14409956
67,56,2001,56-2001,1.854940713,4.406341044,0.74544358,1.867464878
68,56,2002,56-2002,1.854809852,4.298560539,0.781275038,1.873765994
69,56,2003,56-2003,1.930402889,4.611799229,0.811892088,1.924723205
70,56,2004,56-2004,1.838501269,4.320314563,0.786730855,1.82440382
71,56,2005,56-2005,1.552869225,3.915927501,0.642828367,1.568057798
72,56,2006,56-2006,1.16006907,2.970254674,0.44455654,1.131265194
73,64,1968,64-1968,1.204442914,3.903539896,0.320980814,1.21879713
74,64,1969,64-1969,1.114833028,3.188836675,0.401536217,1.126575634
75,64,1970,64-1970,0.781522085,2.817145563,0.210076974,0.802498379
76,64,1971,64-1971,0.744572175,2.557774461,0.194702877,0.750253184
77,64,1972,64-1972,0.681698792,2.320946294,0.178738983,0.685656453
78,64,1973,64-1973,0.70508393,2.900769812,0.155659635,0.674541454
79,64,1974,64-1974,0.73264034,2.960598168,0.158559822,0.699315217
80,64,1975,64-1975,0.771985388,3.04465065,0.18694664,0.781627902
81,64,1976,64-1976,0.765020108,3.007919296,0.200119553,0.796807372
82,64,1977,64-1977,0.799837739,3.290026734,0.205885322,0.861614301
83,64,1978,64-1978,0.9833444,3.219520401,0.283628035,0.993553224
84,64,1979,64-1979,0.944388606,3.467512593,0.27250873,0.964834571
85,64,1980,64-1980,0.964698476,5.020793826,0.223635109,1.038354199
86,64,1981,64-1981,1.094551943,4.23561686,0.275131348,1.087769446
87,64,1982,64-1982,0.965027066,4.551173137,0.220855394,0.952146877
88,64,1983,64-1983,0.934044107,3.644937661,0.228672883,0.953566706
89,64,1984,64-1984,0.796376229,3.095724574,0.226712691,0.817049891
90,64,1985,64-1985,0.704365935,2.505461191,0.181577726,0.701790699
91,64,1986,64-1986,0.671807563,3.167160739,0.146355701,0.676742999
92,64,1987,64-1987,0.665835524,3.025846463,0.138584951,0.643871768
93,64,1988,64-1988,0.598913947,2.735932892,0.148121004,0.615173643
94,64,1989,64-1989,0.587511113,2.289612009,0.133442984,0.554500444
