Year,Species,Average US Price (USD/t),Average Price (2005 USD/t)
1958,"TUNA, BLUEFIN",189.9492295,1092.20807
1958,"TUNA, BLUEFIN PACIFIC",289.1688077,1662.720644
1958,"TUNA, LITTLE TUNNY",99.18032787,570.2868852
1958,"TUNA, SKIPJACK",254.4336393,1462.993426
1958,"TUNA, YELLOWFIN",297.9337518,1713.119073
1959,"TUNA, ALBACORE",410.2858568,2343.142528
1959,"TUNA, BLUEFIN",124.8548627,713.0461208
1959,"TUNA, BLUEFIN PACIFIC",272.1269279,1554.116885
1959,"TUNA, LITTLE TUNNY",71.04551046,405.7409102
1959,"TUNA, SKIPJACK",233.3604647,1332.721614
1959,"TUNA, YELLOWFIN",286.1849776,1634.402407
1960,"TUNA, ALBACORE",325.3517965,1746.863212
1960,"TUNA, BLUEFIN",127.2922884,683.45163
1960,"TUNA, BLUEFIN PACIFIC",268.6585141,1442.468367
1960,"TUNA, LITTLE TUNNY",114.8529412,616.6628856
1960,"TUNA, SKIPJACK",228.1020987,1224.714813
1960,"TUNA, YELLOWFIN",274.4458186,1473.541285
1961,"TUNA, ALBACORE",393.1462571,2085.221124
1961,"TUNA, BLUEFIN",124.4021233,659.8204376
1961,"TUNA, BLUEFIN PACIFIC",285.5497609,1514.536595
1961,"TUNA, LITTLE TUNNY",119.2857143,632.6833507
1961,"TUNA, SKIPJACK",243.3279625,1290.595035
1961,"TUNA, YELLOWFIN",280.8266073,1489.485308
1962,"TUNA, ALBACORE",364.4015829,1906.71154
1962,"TUNA, BLUEFIN",166.9571856,873.5944281
1962,"TUNA, BLUEFIN PACIFIC",308.6155509,1614.81415
1962,"TUNA, LITTLE TUNNY",93.28947368,488.1321167
1962,"TUNA, SKIPJACK",283.3595352,1482.663416
1962,"TUNA, YELLOWFIN",333.3166051,1744.061077
1963,"TUNA, ALBACORE",331.8313098,1718.082958
1963,"TUNA, BLUEFIN",128.8402255,667.0804991
1963,"TUNA, BLUEFIN PACIFIC",246.3725832,1275.613615
1963,"TUNA, LITTLE TUNNY",125.1851852,648.1562377
1963,"TUNA, SKIPJACK",233.5435025,1209.190031
1963,"TUNA, YELLOWFIN",292.2219729,1513.002471
1963,TUNAS,341.2,1766.590096
1964,"TUNA, ALBACORE",342.010246,1744.46509
1964,"TUNA, BLUEFIN",164.4367619,838.7298158
1964,"TUNA, BLUEFIN PACIFIC",268.9329616,1371.725463
1964,"TUNA, LITTLE TUNNY",107.0588235,546.0666233
1964,"TUNA, SKIPJACK",220.0512061,1122.39809
1964,"TUNA, YELLOWFIN",293.6406204,1497.749898
1964,TUNAS,156.7504488,799.5248357
1965,"TUNA, ALBACORE",346.2084907,1733.322694
1965,"TUNA, BLUEFIN",164.4610595,823.3884906
1965,"TUNA, BLUEFIN PACIFIC",287.7445058,1440.617706
1965,"TUNA, LITTLE TUNNY",102.6470588,513.9113605
1965,"TUNA, SKIPJACK",231.319098,1158.119032
1965,"TUNA, YELLOWFIN",304.0207968,1522.106362
1965,TUNAS,207.3790677,1038.261204
1966,"TUNA, ALBACORE",406.6515751,1977.541014
1966,"TUNA, BLUEFIN",234.9671111,1142.641828
1966,"TUNA, BLUEFIN PACIFIC",323.7486996,1574.385472
1966,"TUNA, LITTLE TUNNY",212.8820961,1035.242704
1966,"TUNA, SKIPJACK",291.622978,1418.158529
1966,"TUNA, YELLOWFIN",393.8738363,1915.403046
1966,TUNAS,204.7058824,995.4818892
1967,"TUNA, ALBACORE",433.4900432,2044.751963
1967,"TUNA, BLUEFIN",170.6175258,804.7947726
1967,"TUNA, BLUEFIN PACIFIC",267.6367488,1262.429844
1967,"TUNA, LITTLE TUNNY",176.3235294,831.709721
1967,"TUNA, SKIPJACK",223.39719,1053.753944
1967,"TUNA, YELLOWFIN",302.3511551,1426.176051
1967,TUNAS,620.6796117,2927.716275
1968,"TUNA, ALBACORE",447.3663098,2024.06536
1968,"TUNA, BLUEFIN",262.4779968,1187.556169
1968,"TUNA, BLUEFIN PACIFIC",333.310554,1508.031185
1968,"TUNA, LITTLE TUNNY",150.3508772,680.2479213
1968,"TUNA, SKIPJACK",289.2421931,1308.648172
1968,"TUNA, YELLOWFIN",343.0810956,1552.23705
1968,TUNAS,381.0526316,1724.035572
1969,"TUNA, ALBACORE",481.7534796,2081.1586
1969,"TUNA, BLUEFIN",310.0701354,1339.492409
1969,"TUNA, BLUEFIN PACIFIC",348.0374508,1503.509917
1969,"TUNA, LITTLE TUNNY",136.2318841,588.5170926
1969,"TUNA, SKIPJACK",295.7888082,1277.797563
1969,"TUNA, YELLOWFIN",355.9313312,1537.611211
1969,TUNAS,523.75,2262.582136
1970,"TUNA, ALBACORE",588.9578065,2421.462551
1970,"TUNA, BLUEFIN",320.8259916,1319.055653
1970,"TUNA, BLUEFIN PACIFIC",406.4673968,1671.164842
1970,"TUNA, LITTLE TUNNY",220.2339688,905.477951
