Year,Species,Metric Tons,Pounds,Revenue,RegionFAO
2012,"ROCKFISH, YELLOWTAIL",1.4,3139,1620,67
2012,ROCKFISHES,14368.8,31677473,9065765,67
2012,SABLEFISH,13481.1,29720403,112640092,67
2012,"SALMON, CHINOOK",2162.3,4766933,16522092,67
2012,"SALMON, CHUM",63274.7,139495495,93780995,67
2012,"SALMON, COHO",8902.2,19625764,21482072,67
2012,"SALMON, PINK",106732.1,235301692,101162434,67
2012,"SALMON, SOCKEYE",96150.4,211973084,208336698,67
2012,SCALLOPS,111.8,246439,1410091,67
2012,SCULPINS,373,822221,11450,67
2012,SEA CUCUMBER,743.1,1638288,6757298,67
2012,SHELLFISH,199.9,440751,1163768,67
2012,"SHRIMP, PENAEID",411.5,907202,2212267,67
2012,SKATES,9836,21684554,8402559,67
2012,"SOLE, DOVER",75.5,166365,16237,67
2012,"SOLE, ENGLISH",18.2,40223,5504,67
2012,"SOLE, FLATHEAD",11622,25621782,4191419,67
2012,"SOLE, REX",3293.9,7261780,1995429,67
2012,"SOLE, ROCK",73818.2,162739700,26410790,67
2012,"SOLE, YELLOWFIN",142130.5,313340998,48243782,67
2012,SQUIDS,454.8,1002757,71405,67
