SpecCode,Genus,Species,,,Sex,tm (y),AgeMatMin,AgeMatMax,Locality,Country,Comment
1580,Alosa,kessleri,Alosa kessleri,#N/A,unsexed,,3,5,Caspian Sea,Russian Fed,Usually mature at age 4-5 yrs. at lengths of 36-44 cm.
1583,Alosa,pseudoharengus,Alosa pseudoharengus,2081,female,,4,5,Connecticut,USA,Age at maturity estimate observed from anadromous population.
1583,Alosa,pseudoharengus,Alosa pseudoharengus,2081,male,,3,4,Connecticut,USA,Age at maturity estimate observed from anadromous population.
1583,Alosa,pseudoharengus,Alosa pseudoharengus,2081,mixed,2,,,"Lake Ontario, 1978-92",USA,
1583,Alosa,pseudoharengus,Alosa pseudoharengus,2081,mixed,3,,,Lake Michigan,USA,
1583,Alosa,pseudoharengus,Alosa pseudoharengus,2081,unsexed,,2,3,North Carolina,USA,Age at maturity estimate observed from anadromous population.
1584,Alosa,sapidissima,Alosa sapidissima,2889,female,4.599999905,2,,"St John's River, Florida",USA,Locality of age at maturity estimate not specified.
1584,Alosa,sapidissima,Alosa sapidissima,2889,male,4.300000191,2,,"St. John's River, Florida",USA,Locality of age at maturity estimate not specified.
5355,Alosa,fallax,Alosa fallax,2080,female,,3,4,Europe,,
5355,Alosa,fallax,Alosa fallax,2080,female,,3,6,Gironde estuary,France,
5355,Alosa,fallax,Alosa fallax,2080,female,,4,5,"Europe: Italy, Tunisia",,
5355,Alosa,fallax,Alosa fallax,2080,female,,4,6,"Solway Firth, 1989-94",UK Scotland,
5355,Alosa,fallax,Alosa fallax,2080,female,,4,7,Rivers along the Atlantic coast.,France,
5355,Alosa,fallax,Alosa fallax,2080,female,3,,,Tunisia Lagoon;,Tunisia,
5355,Alosa,fallax,Alosa fallax,2080,male,,2,3,Europe,,
5355,Alosa,fallax,Alosa fallax,2080,male,,2,3,Gironde estuary,France,
5355,Alosa,fallax,Alosa fallax,2080,male,,3,4,"Europe: Italy, Tunisia",,
5355,Alosa,fallax,Alosa fallax,2080,male,,3,4,Rivers along the Atlantic coast.,France,
5355,Alosa,fallax,Alosa fallax,2080,male,,3,5,"Solway Firth, 1989-94",UK Scotland,
5355,Alosa,fallax,Alosa fallax,2080,male,2,,,Tunisia Lagoon,Tunisia,
5355,Alosa,fallax,Alosa fallax,2080,unsexed,,2,3,Europe,,
48090,Alosa,tanaica,Alosa tanaica,#N/A,unsexed,,1,2,Black Sea and Sea of Azov,,
1501,Amblygaster,sirm,Amblygaster sirm,10324,female,0.850000024,,,Negombo,Sri Lanka,
1501,Amblygaster,sirm,Amblygaster sirm,10324,male,0.959999979,,,Negombo,Sri Lanka,
1501,Amblygaster,sirm,Amblygaster sirm,10324,unsexed,1,,,lagoons,New Caledonia,
2565,Amblyraja,radiata,Amblyraja radiata,#N/A,female,11,,," western Gulf of Maine (42°50' N; 70°15' W), 2005(?)",USA,Maturity ogives based on several contemporaneous reproductive parameters.
2565,Amblyraja,radiata,Amblyraja radiata,#N/A,male,10.89999962,,," western Gulf of Maine (42°50' N; 70°15' W), 2005(?)",USA,Maturity ogives based on several contemporaneous reproductive parameters.
2565,Amblyraja,radiata,Amblyraja radiata,#N/A,unsexed,4,,,North Sea,,
2565,Amblyraja,radiata,Amblyraja radiata,#N/A,unsexed,4,,,North Sea,UK,
37,Ammodytes,marinus,Ammodytes marinus,#N/A,female,,2,3,Shetland,UK,
37,Ammodytes,marinus,Ammodytes marinus,#N/A,male,,2,3,Shetland,UK,
37,Ammodytes,marinus,Ammodytes marinus,#N/A,unsexed,,1,2,North Sea,UK,
37,Ammodytes,marinus,Ammodytes marinus,#N/A,unsexed,,2,3,ICES VIa,UK Scotland,
37,Ammodytes,marinus,Ammodytes marinus,#N/A,unsexed,,2,3,Northern and Southern North Sea,UK,
37,Ammodytes,marinus,Ammodytes marinus,#N/A,unsexed,2,2,3,Western Baltic,Germany,In 1937.
37,Ammodytes,marinus,Ammodytes marinus,#N/A,unsexed,3,,,Novaya Zemla,Russian Fed,
38,Ammodytes,tobianus,Ammodytes tobianus,#N/A,unsexed,1,,,Not specified.,,
38,Ammodytes,tobianus,Ammodytes tobianus,#N/A,unsexed,2,2,3,Western Baltic,Germany,In 1937.
3822,Ammodytes,hexapterus,Ammodytes hexapterus,#N/A,unsexed,,2,3,Kodiak I.,Alaska,
3822,Ammodytes,hexapterus,Ammodytes hexapterus,#N/A,unsexed,,2,3,NE Sakhalin,Russian Fed,
3822,Ammodytes,hexapterus,Ammodytes hexapterus,#N/A,unsexed,,2,3,Primorye,Russian Fed,
3822,Ammodytes,hexapterus,Ammodytes hexapterus,#N/A,unsexed,,2,3,"South Sakhalin, Kuil Islands",Russian Fed,
2024,Amphiprion,perideraion,Amphiprion perideraion,#N/A,female,,1.75,1.830000043,Eniwetok Atoll,Marshall Is,
2024,Amphiprion,perideraion,Amphiprion perideraion,#N/A,male,,1.75,1.830000043,Eniwetok Atoll,Marshall Is,
3622,Amphistichus,argenteus,Amphistichus argenteus,#N/A,unsexed,2,,,California Current Region,,
3624,Amphistichus,rhodoterus,Amphistichus rhodoterus,#N/A,unsexed,3,,,California Current Region,,
2501,Anarhichas,lupus,Anarhichas lupus,2456,mixed,,6,7,Northeastern Atlantic,,"Weight: 1,000 - 3,000g (Ref. 35388)."
