ISSCAAP_species,Species_AFSIS,CommName,best_fit_AgCommodity_0711,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,yrs_missing,Years,Wted_avg_sp_price,Five_yr_stock_price,New_Five_yr_stock_price
"Flounders, halibuts, soles",Reinhardtius hippoglossoides,Greenland halibut,Greenland halibut,2234.131099,2139.009923,2105.432145,2501.418241,2835.370196,2896.86868,2949.265243,2949.305027,3102.288597,2868.40289,2981.279949,3654.083073,0,2006-2010,2161,"1,615-2,758",2970.108341
"Flounders, halibuts, soles",Lepidorhombus whiffiagonis,Megrim,Megrim,2331.935445,2264.891752,2473.003607,2885.475198,3418.785406,3856.504209,4223.040622,4380.706668,4403.296219,3389.005485,3473.007181,4026.711393,8,2007-2011,4296,4296,3934.545389
"Flounders, halibuts, soles",Scophthalmus aquosus,Windowpane flounder,Flounder,1777.660547,1684.776245,1805.215163,1958.957498,2013.339319,1695.900435,1760.078786,2453.836988,2709.899488,2335.36666,2390.732059,2202.410812,0,2006-2010,1193,"984-1,355",2329.982796
"Herrings, sardines, anchovies",Brevoortia patronus,Gulf menhaden,Menhaden,49.01708558,69.10551462,98.7912925,97.69919455,105.1013125,124.5709101,133.6480938,161.4751177,292.3244008,148.1338166,192.6466114,237.9140104,0,2008-2012,150,136,217.7547098
"Herrings, sardines, anchovies",Brevoortia tyrannus,Atlantic menhaden,Menhaden,49.01708558,69.10551462,98.7912925,97.69919455,105.1013125,124.5709101,133.6480938,161.4751177,292.3244008,148.1338166,192.6466114,237.9140104,0,2007-2011,160,160,206.4987914
"Herrings, sardines, anchovies",Clupea harengus,Atlantic herring,Atlantic herring,94.62990426,162.6820831,161.7232241,151.9228754,172.6341,212.0889033,189.0964961,189.3867982,203.0596549,178.6035572,192.6369429,312.2257561,0,2006-2012,411,185-619,221.6314778
"Herrings, sardines, anchovies",Clupea pallasii,Pacific herring,Herrings,189.2510838,222.8189,251.5241074,262.9666646,251.6518139,300.4297469,305.8833668,327.413209,374.023194,332.2181152,324.8222153,386.8343367,0,2008-2012; 2006-2010,722,"164-1,234",341.8657395
"Herrings, sardines, anchovies",Sardinops sagax,South American pilchard,Pilchards(Sardinops spp.) and Sardinellas,124.6241828,111.594157,117.6021493,139.7538358,163.345471,174.0761436,179.4469159,194.664914,264.862784,328.7092383,286.2513886,391.7733342,0,2008-2012,194,194,317.8991863
"Herrings, sardines, anchovies",Sprattus sprattus,European sprat,Brisling or sprats,41.57165942,47.99992185,55.79287543,66.61429455,50.67955675,53.37787331,62.87892749,69.62205639,75.74093912,65.59417266,72.6435067,97.29477924,0,2007-2011,229,217-254,76.17909082
"Herrings, sardines, anchovies",Engraulis encrasicolus,European anchovy,European anchovy,799.162121,526.0379079,454.1826734,642.2668493,888.4736075,992.2043085,993.0614515,1353.74576,1405.441723,815.5732157,683.7878861,525.5540825,0,2007-2011,3136,3136,956.8205335
