SciName,CommName,family,order
Ctenopharyngodon idellus,Grass carp(=White amur),Cyprinidae,CYPRINIFORMES
Cyclocheilichthys enoplos,,Cyprinidae,CYPRINIFORMES
Cyclocheilichthys apogon,Beardless barb,Cyprinidae,CYPRINIFORMES
Cyclocheilichthys dumerilii,,Cyprinidae,CYPRINIFORMES
Cyclocheilichthys armatus,,Cyprinidae,CYPRINIFORMES
Danio aequipinnatus,Giant danio,Cyprinidae,CYPRINIFORMES
Danio dangila,,Cyprinidae,CYPRINIFORMES
Danio devario,Sind danio,Cyprinidae,CYPRINIFORMES
Danio rerio,Zebra danio,Cyprinidae,CYPRINIFORMES
Danio frankei,Leopard danio,Cyprinidae,CYPRINIFORMES
Alburnoides bipunctatus,Schneider,Cyprinidae,CYPRINIFORMES
Gila nigrescens,Chihuahua chub,Cyprinidae,CYPRINIFORMES
Gila atraria,Utah chub,Cyprinidae,CYPRINIFORMES
Gila bicolor,Tui chub,Cyprinidae,CYPRINIFORMES
Gila cypha,Humpback chub,Cyprinidae,CYPRINIFORMES
Gila elegans,Bonytail,Cyprinidae,CYPRINIFORMES
Gila robusta,Roundtail chub,Cyprinidae,CYPRINIFORMES
Hampala dispar,,Cyprinidae,CYPRINIFORMES
Hampala macrolepidota,Hampala barb,Cyprinidae,CYPRINIFORMES
Hampala salweenensis,,Cyprinidae,CYPRINIFORMES
Hypophthalmichthys molitrix,Silver carp,Cyprinidae,CYPRINIFORMES
Hypophthalmichthys nobilis,Bighead carp,Cyprinidae,CYPRINIFORMES
Labiobarbus leptocheilus,,Cyprinidae,CYPRINIFORMES
Labiobarbus festivus,Signal barb,Cyprinidae,CYPRINIFORMES
Labiobarbus fasciatus,,Cyprinidae,CYPRINIFORMES
Labiobarbus ocellatus,,Cyprinidae,CYPRINIFORMES
Labiobarbus siamensis,,Cyprinidae,CYPRINIFORMES
Amblyrhynchichthys truncatus,,Cyprinidae,CYPRINIFORMES
Anabarilius polylepis,,Cyprinidae,CYPRINIFORMES
Anabarilius grahami,Kanglang fish,Cyprinidae,CYPRINIFORMES
Notemigonus crysoleucas,Golden shiner,Cyprinidae,CYPRINIFORMES
Osteochilus hasselti,Nilem carp,Cyprinidae,CYPRINIFORMES
Osteochilus melanopleurus,,Cyprinidae,CYPRINIFORMES
Osteochilus spilurus,,Cyprinidae,CYPRINIFORMES
Pogonichthys macrolepidotus,Splittail,Cyprinidae,CYPRINIFORMES
Probarbus jullieni,Isok barb,Cyprinidae,CYPRINIFORMES
Ptychocheilus grandis,Sacramento squawfish,Cyprinidae,CYPRINIFORMES
Rasbora daniconius,Slender rasbora,Cyprinidae,CYPRINIFORMES
Rasbora elanga,,Cyprinidae,CYPRINIFORMES
Rasbora heteromorpha,Harlequin rasbora,Cyprinidae,CYPRINIFORMES
Rasbora rasbora,Gangetic scissortail rasbora,Cyprinidae,CYPRINIFORMES
Rasbora argyrotaenia,Silver rasbora,Cyprinidae,CYPRINIFORMES
Rasbora einthovenii,Brilliant rasbora,Cyprinidae,CYPRINIFORMES
Rasbora elegans,Twospot rasbora,Cyprinidae,CYPRINIFORMES
Rasbora tawarensis,,Cyprinidae,CYPRINIFORMES
Thynnichthys sandkhol,,Cyprinidae,CYPRINIFORMES
Thynnichthys thynnoides,,Cyprinidae,CYPRINIFORMES
Thynnichthys vaillanti,,Cyprinidae,CYPRINIFORMES
Tor tambroides,Thai mahseer,Cyprinidae,CYPRINIFORMES
Tor putitora,Putitor mahseer,Cyprinidae,CYPRINIFORMES
Tor tor,Tor barb,Cyprinidae,CYPRINIFORMES
Tor khudree,,Cyprinidae,CYPRINIFORMES
Tor douronensis,Semah mahseer,Cyprinidae,CYPRINIFORMES
Tor soro,,Cyprinidae,CYPRINIFORMES
Tor tambra,,Cyprinidae,CYPRINIFORMES
Barilius barila,,Cyprinidae,CYPRINIFORMES
Barilius barna,,Cyprinidae,CYPRINIFORMES
Barilius bola,Trout barb,Cyprinidae,CYPRINIFORMES
Barilius shacra,,Cyprinidae,CYPRINIFORMES
Barilius tileo,,Cyprinidae,CYPRINIFORMES
Barilius vagra,,Cyprinidae,CYPRINIFORMES
Barilius bakeri,,Cyprinidae,CYPRINIFORMES
Barilius bendelisis,,Cyprinidae,CYPRINIFORMES
Brachydanio acuticephala,,Cyprinidae,CYPRINIFORMES
Notropis atherinoides,Emerald shiner,Cyprinidae,CYPRINIFORMES
Notropis bairdi,Red River shiner,Cyprinidae,CYPRINIFORMES
Notropis boops,Bigeye shiner,Cyprinidae,CYPRINIFORMES
Notropis dorsalis,Bigmouth shiner,Cyprinidae,CYPRINIFORMES
Notropis girardi,Arkansas River shiner,Cyprinidae,CYPRINIFORMES
Notropis heterodon,Blackchin shiner,Cyprinidae,CYPRINIFORMES
Notropis heterolepis,Blacknose shiner,Cyprinidae,CYPRINIFORMES
Notropis hudsonius,Spottail shiner,Cyprinidae,CYPRINIFORMES
Notropis longirostris,Longnose shiner,Cyprinidae,CYPRINIFORMES
Notropis lutipinnis,Yellowfin shiner,Cyprinidae,CYPRINIFORMES
Notropis nubilus,Ozark minnow,Cyprinidae,CYPRINIFORMES
Notropis rubellus,Rosyface shiner,Cyprinidae,CYPRINIFORMES
Notropis rupestris,Bedrock shiner,Cyprinidae,CYPRINIFORMES
Notropis signipinnis,Flagfin shiner,Cyprinidae,CYPRINIFORMES
Notropis stramineus,Sand shiner,Cyprinidae,CYPRINIFORMES
Notropis texanus,Weed shiner,Cyprinidae,CYPRINIFORMES
Notropis volucellus,Mimic shiner,Cyprinidae,CYPRINIFORMES
Hemibarbus labeo,Barbel steed,Cyprinidae,CYPRINIFORMES
Hemibarbus maculatus,Spotted steed,Cyprinidae,CYPRINIFORMES
Rohtee ogilbii,Vatani rohtee,Cyprinidae,CYPRINIFORMES
Amblypharyngodon microlepis,,Cyprinidae,CYPRINIFORMES
Amblypharyngodon mola,Mola carplet,Cyprinidae,CYPRINIFORMES
Amblypharyngodon melettinus,Attentive carplet,Cyprinidae,CYPRINIFORMES
