SystemName,WorldRegion,Country,ProgramName,SystemID,MarineFreshwater,CatchShareProgram,SpeciesID,CatchShareSpp,Genus,Species,RegionFAO,Landings2005,LandingsUnit2005,LandingsURL2005,Landings2006,LandingsUnit2006,LandingsURL2006,Landings2007,LandingsUnit2007,LandingsURL2007,Landings2008,LandingsUnit2008,LandingsURL2008,Landings2009,LandingsUnit2009,LandingsURL2009,Landings2010,LandingsUnit2010,LandingsURL2010,Landings2011,LandingsUnit2011,LandingsURL2011,Landings2012,LandingsUnit2012,LandingsURL2012,FullCS
Australian Catch Share System,Oceania,Australia,Australian Southern and Eastern Scalefish and Shark Fishery,CX,Marine,Yes,96,Yes,Allocyttus,niger,"57,81",,,,,,,,,,see Mirror Dory,,,see Mirror Dory,,,see Mirror Dory,,,,,,,,,
Australian Catch Share System,Oceania,Australia,Australian Southern and Eastern Scalefish and Shark Fishery,CX,Marine,Yes,97,Yes,Allocyttus,verrucosus,"57,81",,,,,,,,,,see Mirror Dory,,,see Mirror Dory,,,see Mirror Dory,,,,,,,,,
Australian Catch Share System,Oceania,Australia,Australian Southern and Eastern Scalefish and Shark Fishery,CX,Marine,Yes,98,Yes,Haliporoides,spp.,"57,81",,,,,,,,,,see Mirror Dory,,,see Mirror Dory,,,see Mirror Dory,,,,,,,,,
Australian Catch Share System,Oceania,Australia,Australian Southern and Eastern Scalefish and Shark Fishery,CX,Marine,Yes,99,Yes,Centroberyx,affinis,"57,81",,,,,,,,,,see Mirror Dory,,,see Mirror Dory,,,see Mirror Dory,,,,,,,,,
Australian Catch Share System,Oceania,Australia,Australian Southern and Eastern Scalefish and Shark Fishery,CX,Marine,Yes,100,Yes,Sebastidae,spp.,"57,81",,,,,,,,,,see Mirror Dory,,,see Mirror Dory,,,see Mirror Dory,,,,,,,,,
Australian Catch Share System,Oceania,Australia,Australian Southern and Eastern Scalefish and Shark Fishery,CX,Marine,Yes,101,Yes,Sillago,flindersi,"57,81",,,,,,,,,,see Mirror Dory,,,see Mirror Dory,,,see Mirror Dory,,,,,,,,,
Australian Catch Share System,Oceania,Australia,Australian Southern and Eastern Scalefish and Shark Fishery,CX,Marine,Yes,102,Yes,Schedophilus,labyrinthica,"57,81",,,,,,,,,,see Mirror Dory,,,see Mirror Dory,,,see Mirror Dory,,,,,,,,,
Australian Catch Share System,Oceania,Australia,Australian Southern and Eastern Scalefish and Shark Fishery,CX,Marine,Yes,103,Yes,Pseudocaranx,dentex,"57,81",,,,,,,,,,see Mirror Dory,,,see Mirror Dory,,,see Mirror Dory,,,,,,,,,
Australian Catch Share System,Oceania,Australia,Australian Southern and Eastern Scalefish and Shark Fishery,CX,Marine,Yes,104,Yes,Seriolella,punctata,"57,81",,,,,,,,,,see Mirror Dory,,,see Mirror Dory,,,see Mirror Dory,,,,,,,,,
Australian Catch Share System,Oceania,Australia,Australian Southern and Eastern Scalefish and Shark Fishery,CX,Marine,Yes,105,Yes,Seriolella,brama,"57,81",,,,,,,,,,see Mirror Dory,,,see Mirror Dory,,,see Mirror Dory,,,,,,,,,
Australian Catch Share System,Oceania,Australia,Australian Southern and Eastern Scalefish and Shark Fishery,CX,Marine,Yes,106,Yes,Centroscymnus,coelolepis,"57,81",,,,,,,,,,see Mirror Dory,,,see Mirror Dory,,,see Mirror Dory,,,,,,,,,
Australian Catch Share System,Oceania,Australia,Australian Southern and Eastern Scalefish and Shark Fishery,CX,Marine,Yes,107,Yes,Genypterus,blacodes,"57,81",,,,,,,,,,see Mirror Dory,,,see Mirror Dory,,,see Mirror Dory,,,,,,,,,
Australian Catch Share System,Oceania,Australia,Australian Southern and Eastern Scalefish and Shark Fishery,CX,Marine,Yes,108,Yes,Hyperoglyphe,antarctica,"57,81",,,,,,,,,,see Mirror Dory,,,see Mirror Dory,,,see Mirror Dory,,,,,,,,,
Australian Catch Share System,Oceania,Australia,Australian Southern and Eastern Scalefish and Shark Fishery,CX,Marine,Yes,109,Yes,Mustelus,antarticus,"57,81",,,,,,,2191.4,Metric Tons,http://www.afma.gov.au/fisheries/sess/sess_gillnet/factsheets/gummy_shark_fact_sheet2007.pdf,see Mirror Dory,,,see Mirror Dory,,,see Mirror Dory,,,,,,,,,
Australian Catch Share System,Oceania,Australia,Australian Southern and Eastern Scalefish and Shark Fishery,CX,Marine,Yes,110,Yes,Galeorhinus,galeus,"57,81",,,,,,,,,,see Mirror Dory,,,see Mirror Dory,,,see Mirror Dory,,,,,,,,,
Australian Catch Share System,Oceania,Australia,Australian Southern and Eastern Scalefish and Shark Fishery,CX,Marine,Yes,111,Yes,Callorhinchus,milii,"57,81",,,,,,,,,,see Mirror Dory,,,see Mirror Dory,,,see Mirror Dory,,,,,,,,,
Australian Catch Share System,Oceania,Australia,Australian Southern and Eastern Scalefish and Shark Fishery,CX,Marine,Yes,112,Yes,Neoplatycephalus,richardsoni,"57,81",,,,,,,,,,see Mirror Dory,,,see Mirror Dory,,,see Mirror Dory,,,,,,,,,
Australian Catch Share System,Oceania,Australia,Australian Southern and Eastern Scalefish and Shark Fishery,CX,Marine,Yes,113,Yes,Platycephalus,bassensis,"57,81",,,,,,,,,,see Mirror Dory,,,see Mirror Dory,,,see Mirror Dory,,,,,,,,,
Australian Catch Share System,Oceania,Australia,Australian Southern and Eastern Scalefish and Shark Fishery,CX,Marine,Yes,114,Yes,Platycephalus,caeruleopunctatus,"57,81",,,,,,,,,,see Mirror Dory,,,see Mirror Dory,,,see Mirror Dory,,,,,,,,,
Australian Catch Share System,Oceania,Australia,Australian Southern and Eastern Scalefish and Shark Fishery,CX,Marine,Yes,115,Yes,Platycephalus,conatus,"57,81",,,,,,,,,,see Mirror Dory,,,see Mirror Dory,,,see Mirror Dory,,,,,,,,,
Australian Catch Share System,Oceania,Australia,Australian Southern and Eastern Scalefish and Shark Fishery,CX,Marine,Yes,116,Yes,Platycephalus,speculator,"57,81",,,,,,,,,,see Mirror Dory,,,see Mirror Dory,,,see Mirror Dory,,,,,,,,,
Australian Catch Share System,Oceania,Australia,Australian Southern and Eastern Scalefish and Shark Fishery,CX,Marine,Yes,117,Yes,Centroscyllium,kamoharai,"57,81",,,,,,,,,,see Mirror Dory,,,see Mirror Dory,,,see Mirror Dory,,,,,,,,,
Australian Catch Share System,Oceania,Australia,Australian Southern and Eastern Scalefish and Shark Fishery,CX,Marine,Yes,118,Yes,Centroscymnus,crepidater,"57,81",,,,,,,,,,see Mirror Dory,,,see Mirror Dory,,,see Mirror Dory,,,,,,,,,
Australian Catch Share System,Oceania,Australia,Australian Southern and Eastern Scalefish and Shark Fishery,CX,Marine,Yes,119,Yes,Centroscymnus,owstoni,"57,81",,,,,,,,,,see Mirror Dory,,,see Mirror Dory,,,see Mirror Dory,,,,,,,,,
Australian Catch Share System,Oceania,Australia,Australian Southern and Eastern Scalefish and Shark Fishery,CX,Marine,Yes,120,Yes,Centroscymnus,plunketi,"57,81",,,,,,,,,,see Mirror Dory,,,see Mirror Dory,,,see Mirror Dory,,,,,,,,,
Australian Catch Share System,Oceania,Australia,Australian Southern and Eastern Scalefish and Shark Fishery,CX,Marine,Yes,121,Yes,Deania,quadrispinosa,"57,81",,,,,,,,,,see Mirror Dory,,,see Mirror Dory,,,see Mirror Dory,,,,,,,,,
Australian Catch Share System,Oceania,Australia,Australian Southern and Eastern Scalefish and Shark Fishery,CX,Marine,Yes,122,Yes,Etmopterus,bigelowi,"57,81",,,,,,,,,,see Mirror Dory,,,see Mirror Dory,,,see Mirror Dory,,,,,,,,,
Australian Catch Share System,Oceania,Australia,Australian Southern and Eastern Scalefish and Shark Fishery,CX,Marine,Yes,123,Yes,Etmopterus,brachyurus,"57,81",,,,,,,,,,see Mirror Dory,,,see Mirror Dory,,,see Mirror Dory,,,,,,,,,
Australian Catch Share System,Oceania,Australia,Australian Southern and Eastern Scalefish and Shark Fishery,CX,Marine,Yes,124,Yes,Etmopterus,dianthus,"57,81",,,,,,,,,,see Mirror Dory,,,see Mirror Dory,,,see Mirror Dory,,,,,,,,,
