SpecCode,Genus,Species,,,Sex,Data source,Type,Loo (cm),K (1/y),Locality,Country,LinfLmax,Comment
2066,Acipenser,sturio,Acipenser sturio,#N/A,unsexed,other annual rings,TL,231,0.108999997,Gironde estuary,France,yes,
2594,Acipenser,transmontanus,Acipenser transmontanus,2878,unsexed,other annual rings,FL,276,0.034600001,Lower Columbia River,USA,yes,"Temp. approx.; M = Z-F, where Z is from catch curve derived from age-frequency distribution and exploitation estimated from mark-recapture data."
2594,Acipenser,transmontanus,Acipenser transmontanus,2878,unsexed,,TL,300,0.059999999,Gulf of California,Mexico,yes,Winf  from Ref. 1139. Temp. appears too high and M appears much too low (RF).
2594,Acipenser,transmontanus,Acipenser transmontanus,2878,unsexed,,TL,350,0.039999999,"Fraser River, British Columbia",Canada,no,Winf from Ref. 1139
7849,Acreichthys,tomentosus,Acreichthys tomentosus,#N/A,mixed,length-frequencies,TL,11.78999996,0.860000014,Ose and Marsegu Islands (Mar 1988-Jan 1999),Indonesia,no,
36,Agonus,cataphractus,Agonus cataphractus,#N/A,unsexed,,TL,15,0.474999994,"Seine Bight, Normandy Coast",France,no,Do not use M value for new model to predict M.
8435,Albatrossia,pectoralis,Albatrossia pectoralis,#N/A,male,annuli on few otoliths,TL,94.19999695,0.200000003,Pacific waters off the northern Kuril Isl. And southeastern Kamchatka,Russian Fed,yes,
8435,Albatrossia,pectoralis,Albatrossia pectoralis,#N/A,Female,scale annual rings,TL,137.3999939,0.119999997,East Kamchatka,Russian Fed,no,
8435,Albatrossia,pectoralis,Albatrossia pectoralis,#N/A,female,,TL,126.9000015,0.119999997,Pacific waters off the northern Kuril Isl. And southeastern Kamchatka,Russian Fed,no,
8435,Albatrossia,pectoralis,Albatrossia pectoralis,#N/A,Female,scale annual rings,TL,128.6999969,0.129999995,Eastern Bering Sea,USA,no,
8435,Albatrossia,pectoralis,Albatrossia pectoralis,#N/A,Female,scale annual rings,,116.9000015,0.150000006,Kuril Islands,Russian Fed,no,
8435,Albatrossia,pectoralis,Albatrossia pectoralis,#N/A,Female,scale annual rings,TL,121.5,0.159999996,Western Gulf of Alaska,USA,no,
8435,Albatrossia,pectoralis,Albatrossia pectoralis,#N/A,Mixed,scale annual rings,TL,134.3999939,0.170000002,Kurils and Kamchatka,Russian Fed,no,
228,Albula,vulpes,Albula vulpes,2076,unsexed,annuli on many otoliths,SL,27.79999924,0.486000001,"Guyamas, Sonora (27°54-58'N, 110°57'-111°W)",Mexico,yes,Referred to as Albula sp. believed to be distinct from <i>A. vulpes</i> as supported by allozyme differences (Ref. 36268).
228,Albula,vulpes,Albula vulpes,2076,unsexed,scale annual rings,FL,66.30000305,0.219999999,South Florida,USA,no,
228,Albula,vulpes,Albula vulpes,2076,male,annuli on many otoliths,FL,67.09999847,0.241999999,Florida Keys,USA,no,
228,Albula,vulpes,Albula vulpes,2076,female,annuli on many otoliths,FL,68.09999847,0.279000014,Florida Keys,USA,no,
228,Albula,vulpes,Albula vulpes,2076,unsexed,,FL,102,0.300999999,,South Africa,no,
10,Alectis,indica,Alectis indica,#N/A,unsexed,other annual rings,FL,105,0.170000002,Gulf of Aden,Yemen,no,"data from vertebral rings, cross-checked with scales"
