,assessid,stockid,stocklong,scientificname,FisheryType,region,areaid,areaname,assessorid,mgmt,managementauthority,Country,SpecCntryMatch,RegionFAO,confirmed
17,CSIRO-MORWONGSE-1913-2007-FULTON,MORWONGSE,Jackass morwong Southeast Australia,Nemadactylus macropterus,Other Marine,Australia,Australia-AFMA-SE,Southeast Australia,CSIRO,AFMA,"Australian Fisheries Management Authority, Australia national management",Australia,NA,"57,81",
18,CSIRO-NZLINGESE-1968-2007-FULTON,NZLINGESE,New Zealand ling Eastern half of Southeast Australia,Genypterus blacodes,Other Marine,Australia,Australia-AFMA-SE,Southeast Australia,CSIRO,AFMA,"Australian Fisheries Management Authority, Australia national management",Australia,1,"57,81",
19,CSIRO-OROUGHYSE-1978-2007-FULTON,OROUGHYSE,Orange roughy Southeast Australia,Hoplostethus atlanticus,Other Marine,Australia,Australia-AFMA-SE,Southeast Australia,CSIRO,AFMA,"Australian Fisheries Management Authority, Australia national management",Australia,1,"57,81",
20,CSIRO-SILVERFISHSE-1978-2006-FULTON,SILVERFISHSE,Silverfish Southeast Australia,Seriolella punctata,Other Marine,Australia,Australia-AFMA-SE,Southeast Australia,CSIRO,AFMA,"Australian Fisheries Management Authority, Australia national management",Australia,1,"57,81",
21,CSIRO-SWHITSE-1945-2007-FULTON,SWHITSE,School whiting Southeast Australia,Sillago flindersi,Other Marine,Australia,Australia-AFMA-SE,Southeast Australia,CSIRO,AFMA,"Australian Fisheries Management Authority, Australia national management",Australia,NA,"57,81",
22,CSIRO-TIGERFLATSE-1913-2006-FULTON,TIGERFLATSE,Tiger flathead Southeast Australia,Neoplatycephalus richardsoni,Other Marine,Australia,Australia-AFMA-SE,Southeast Australia,CSIRO,AFMA,"Australian Fisheries Management Authority, Australia national management",Australia,NA,"57,81",
23,TAFI-TASGIANTCRABTAS-1990-2007-JENSEN,TASGIANTCRABTAS,Tasmanian giant crab Tasmania,Pseudocarcinus gigas,Invertebrate,Australia,Australia-AFMA-TAS,Tasmania,TAFI,AFMA,"Australian Fisheries Management Authority, Australia national management",Australia,NA,57,1
24,CSIRO-NZLINGWSE-1968-2007-FULTON,NZLINGWSE,New Zealand ling Western half of Southeast Australia,Genypterus blacodes,Other Marine,Australia,Australia-AFMA-WSE,Western half of Southeast Australia,CSIRO,AFMA,"Australian Fisheries Management Authority, Australia national management",Australia,1,57,1
25,CSIRO-WAREHOUWSE-1984-2006-FULTON,WAREHOUWSE,Blue Warehou Western half of Southeast Australia,Seriolella brama,Other Marine,Australia,Australia-AFMA-WSE,Western half of Southeast Australia,CSIRO,AFMA,"Australian Fisheries Management Authority, Australia national management",Australia,1,57,1
96,CCAMLR-ATOOTHFISHRS-1995-2007-JENSEN,ATOOTHFISHRS,Antarctic toothfish Ross Sea,Dissostichus mawsoni,Other Marine,Antarctic,multinational-CCAMLR-RS,Ross Sea,CCAMLR,CCAMLR,Commission for the Conservation of Antarctic Marine Living Resources,Multinational,NA,88,1
97,CCSBT-SC-SBT-1950-2011-CHING,SBT,Southern bluefin tuna Southern Oceans,Thunnus maccoyii,Tuna and Marlin,Indian Ocean,multinational-CCSBT-SO,Southern Oceans,CCSBT-SC,CCSBT,Commission for the Conservation of Southern Bluefin Tuna,Multinational,NA,58,1
1,INIDEP-ARGANCHONARG-1989-2007-Parma,ARGANCHONARG,Argentine anchoita Northern Argentina,Engraulis anchoita,Forage Fish,South America,Argentina-CFP-ARG-N,Northern Argentina,INIDEP,CFP,"Consejo Federal Pesquero, Argentina national management",Argentina,1,41,1
2,INIDEP-ARGHAKENARG-1986-2011-CHING,ARGHAKENARG,Argentine hake Northern Argentina,Merluccius hubbsi,Gadids,South America,Argentina-CFP-ARG-N,Northern Argentina,INIDEP,CFP,"Consejo Federal Pesquero, Argentina national management",Argentina,1,41,1
3,INIDEP-ARGANCHOSARG-1992-2007-Parma,ARGANCHOSARG,Argentine anchoita Southern Argentina,Engraulis anchoita,Forage Fish,South America,Argentina-CFP-ARG-S,Southern Argentina,INIDEP,CFP,"Consejo Federal Pesquero, Argentina national management",Argentina,1,41,1
4,INIDEP-ARGHAKESARG-1990-2011-CHING,ARGHAKESARG,Argentine hake Southern Argentina,Merluccius hubbsi,Gadids,South America,Argentina-CFP-ARG-S,Southern Argentina,INIDEP,CFP,"Consejo Federal Pesquero, Argentina national management",Argentina,1,41,1
5,INIDEP-PATGRENADIERSARG-1983-2006-Parma,PATGRENADIERSARG,Patagonian grenadier Southern Argentina,Macruronus magellanicus,Gadids,South America,Argentina-CFP-ARG-S,Southern Argentina,INIDEP,CFP,"Consejo Federal Pesquero, Argentina national management",Argentina,1,41,1
6,INIDEP-SBWHITARGS-1985-2007-Parma,SBWHITARGS,Southern blue whiting Southern Argentina,Micromesistius australis,Gadids,South America,Argentina-CFP-ARG-S,Southern Argentina,INIDEP,CFP,"Consejo Federal Pesquero, Argentina national management",Argentina,1,41,1
32,DFO-NFLD-AMPL23K-1960-2004-PREFONTAINE,AMPL23K,American Plaice NAFO-23K,Hippoglossoides platessoides,Flatfish,Canada East Coast,Canada-DFO-23K,Labrador - NE Newfoundland,DFO-NFLD,DFO,"Department of Fisheries and Oceans, Canada national management",Canada,1,21,1
33,DFO-NFLD-REDFISHSPP23K-1959-2001-PREFONTAINE,REDFISHSPP23K,Redfish species NAFO 23K,Sebastes spp,Rockfish,Canada East Coast,Canada-DFO-23K,Labrador - NE Newfoundland,DFO-NFLD,DFO,"Department of Fisheries and Oceans, Canada national management",Canada,1,21,1
34,DFO-NFLD-SNOWCRAB2J-1995-2008-ANDERSON,SNOWCRAB2J,Snow Crab Division 2J,Chionoecetes opilio,Invertebrate,Canada East Coast,Canada-DFO-2J,Division 2J,DFO-NFLD,DFO,"Department of Fisheries and Oceans, Canada national management",Canada,1,21,1
35,DFO-NFLD-COD2J3KL-1850-2011-CHING,COD2J3KL,Atlantic cod NAFO 2J3KL,Gadus morhua,Gadids,Canada East Coast,Canada-DFO-2J3KL,Southern Labrador-Eastern Newfoundland,DFO-NFLD,DFO,"Department of Fisheries and Oceans, Canada national management",Canada,1,21,1
36,DFO-NFLD-MONK2J3KLNOPs-1977-2000-PREFONTAINE,MONK2J3KLNOPs,Monkfish Labrador Shelf - Grand Banks - St. Pierre Bank,Lophius americanus,Other Marine,Canada East Coast,Canada-DFO-2J3KLNOPs,Labrador Shelf-Grand Banks-S. Pierre Bank,DFO-NFLD,DFO,"Department of Fisheries and Oceans, Canada national management",Canada,1,21,1
37,DFO-NFLD-SNOWCRAB3K-1995-2008-ANDERSON,SNOWCRAB3K,Snow Crab Division 3K,Chionoecetes opilio,Invertebrate,Canada East Coast,Canada-DFO-3K,Division 3K,DFO-NFLD,DFO,"Department of Fisheries and Oceans, Canada national management",Canada,1,21,1
38,DFO-NFLD-SNOWCRAB3NO-1995-2008-ANDERSON,SNOWCRAB3NO,Snow Crab Division 3NO,Chionoecetes opilio,Invertebrate,Canada East Coast,Canada-DFO-3NO,Division 3NO,DFO-NFLD,DFO,"Department of Fisheries and Oceans, Canada national management",Canada,1,21,1
39,DFO-QUE-COD3Pn4RS-1964-2012-CHING,COD3Pn4RS,Atlantic cod NAFO 3Pn4RS,Gadus morhua,Gadids,Canada East Coast,Canada-DFO-3Pn4RS,Northern Gulf of St. Lawrence,DFO-QUE,DFO,"Department of Fisheries and Oceans, Canada national management",Canada,1,21,1
40,DFO-QUE-REDFISHSPP3Pn4RSTVn-1953-2000-PREFONTAINE,REDFISHSPP3Pn4RSTVn,Redfish species NAFO 3Pn4RSTVn,Sebastes spp,Rockfish,Canada East Coast,Canada-DFO-3Pn4RSTVn,Gulf of St. Lawrence and Cabot Strait,DFO-QUE,DFO,"Department of Fisheries and Oceans, Canada national management",Canada,1,21,1
41,DFO-NFLD-AMPL3Ps-1960-2005-PREFONTAINE,AMPL3Ps,American Plaice NAFO-3Ps,Hippoglossoides platessoides,Flatfish,Canada East Coast,Canada-DFO-3Ps,St. Pierre Bank,DFO-NFLD,DFO,"Department of Fisheries and Oceans, Canada national management",Canada,1,21,1
42,DFO-NFLD-COD3Ps-1959-2011-CHING,COD3Ps,Atlantic cod NAFO 3Ps,Gadus morhua,Gadids,Canada East Coast,Canada-DFO-3Ps,St. Pierre Bank,DFO-NFLD,DFO,"Department of Fisheries and Oceans, Canada national management",Canada,1,21,1
43,DFO-NFLD-SNOWCRAB3Ps-1995-2008-ANDERSON,SNOWCRAB3Ps,Snow Crab Division 3Ps,Chionoecetes opilio,Invertebrate,Canada East Coast,Canada-DFO-3Ps,St. Pierre Bank,DFO-NFLD,DFO,"Department of Fisheries and Oceans, Canada national management",Canada,1,21,1
44,DFO-QUE-HERR4RFA-1971-2003-PREFONTAINE,HERR4RFA,Herring NAFO 4R fall spawners,Clupea harengus,Forage Fish,Canada East Coast,Canada-DFO-4R,NAFO division 4R,DFO-QUE,DFO,"Department of Fisheries and Oceans, Canada national management",Canada,1,21,1
45,DFO-QUE-HERR4RSP-1963-2004-PREFONTAINE,HERR4RSP,Herring NAFO 4R spring spawners,Clupea harengus,Forage Fish,Canada East Coast,Canada-DFO-4R,NAFO division 4R,DFO-QUE,DFO,"Department of Fisheries and Oceans, Canada national management",Canada,1,21,1
46,DFO-QUE-GHAL4RST-1970-2002-PREFONTAINE,GHAL4RST,Greenland halibut NAFO 4RST,Reinhardtius hippoglossoides,Flatfish,Canada East Coast,Canada-DFO-4RST,Gulf of St. Lawrence,DFO-QUE,DFO,"Department of Fisheries and Oceans, Canada national management",Canada,1,21,1
47,DFO-SG-COD4TVn-1930-2011-CHING,COD4TVn,Atlantic cod NAFO 4TVn,Gadus morhua,Gadids,Canada East Coast,Canada-DFO-4T,Southern Gulf of St. Lawrence,DFO-SG,DFO,"Department of Fisheries and Oceans, Canada national management",Canada,1,21,1
48,DFO-SG-HERR4TFA-1974-2007-PREFONTAINE,HERR4TFA,Herring NAFO 4T fall spawners,Clupea harengus,Forage Fish,Canada East Coast,Canada-DFO-4T,Southern Gulf of St. Lawrence,DFO-SG,DFO,"Department of Fisheries and Oceans, Canada national management",Canada,1,21,1
49,DFO-SG-HERR4TSP-1974-2007-PREFONTAINE,HERR4TSP,Herring NAFO 4T spring spawners,Clupea harengus,Forage Fish,Canada East Coast,Canada-DFO-4T,Southern Gulf of St. Lawrence,DFO-SG,DFO,"Department of Fisheries and Oceans, Canada national management",Canada,1,21,1
50,DFO-SG-SNOWCRABSGSL-1984-2007-ANDERSON,SNOWCRABSGSL,Snow crab Southern Gulf of St. Lawrence,Chionoecetes opilio,Invertebrate,Canada East Coast,Canada-DFO-4T,Southern Gulf of St. Lawrence,DFO-SG,DFO,"Department of Fisheries and Oceans, Canada national management",Canada,1,21,1
51,DFO-MAR-COD4VsW-1958-2002-PREFONTAINE,COD4VsW,Atlantic cod NAFO 4VsW,Gadus morhua,Gadids,Canada East Coast,Canada-DFO-4VsW,Eastern Scotian Shelf,DFO-MAR,DFO,"Department of Fisheries and Oceans, Canada national management",Canada,1,21,1
52,DFO-HERR4VWX-1964-2006-PREFONTAINE,HERR4VWX,Herring Scotian Shelf and Bay of Fundy,Clupea harengus,Forage Fish,Canada East Coast,Canada-DFO-4VWX,Scotian Shelf and Bay of Fundy,DFO,DFO,"Department of Fisheries and Oceans, Canada national management",Canada,1,21,1
53,DFO-POLL4VWX5-1974-2008-CHING,POLL4VWX5,Pollock NAFO-4VWX5,Pollachius virens,Gadids,Canada East Coast,Canada-DFO-4VWX5,"Scotian Shelf, Bay of Fundy and Georges Bank",DFO,DFO,"Department of Fisheries and Oceans, Canada national management",Canada,1,21,1
54,DFO-MAR-WHAKE4VWX5-1964-2005-PREFONTAINE,WHAKE4VWX5,"White hake Scotian Shelf, Bay of Fundy and Georges Bank",Urophycis tenuis,Gadids,Canada East Coast,Canada-DFO-4VWX5,"Scotian Shelf, Bay of Fundy and Georges Bank",DFO-MAR,DFO,"Department of Fisheries and Oceans, Canada national management",Canada,1,21,1
55,DFO-MAR-COD4X-1953-2008-HIVELY,COD4X,Atlantic cod NAFO 4X,Gadus morhua,Gadids,Canada East Coast,Canada-DFO-4X,Western Scotian Shelf,DFO-MAR,DFO,"Department of Fisheries and Oceans, Canada national management",Canada,1,21,1
56,DFO-MAR-CUSK4X-1970-2007-RICARD,CUSK4X,Cusk NAFO 4X,Brosme brosme,Gadids,Canada East Coast,Canada-DFO-4X,Western Scotian Shelf,DFO-MAR,DFO,"Department of Fisheries and Oceans, Canada national management",Canada,1,21,1
57,DFO-MAR-HAD4X5Y-1970-2011-CHING,HAD4X5Y,Haddock NAFO-4X5Y,Melanogrammus aeglefinus,Gadids,Canada East Coast,Canada-DFO-4X5Y,"Western Scotian Shelf, Bay of Fundy and Gulf of Maine",DFO-MAR,DFO,"Department of Fisheries and Oceans, Canada national management",Canada,1,21,1
58,DFO-POLL4X5YZ-1980-2006-PREFONTAINE,POLL4X5YZ,Pollock NAFO-4X5YZ,Pollachius virens,Gadids,Canada East Coast,Canada-DFO-4X5YZ,"Western Scotian Shelf, Bay of Fundy, Gulf of Maine and Georges Bank",DFO,DFO,"Department of Fisheries and Oceans, Canada national management",Canada,1,21,1
59,DFO-NFLD-SCALLGB-1978-2007-ANDERSON,SCALLGB,Sea scallop Georges Bank,Placopecten magellanicus,Invertebrate,Canada East Coast,Canada-DFO-5Z,Georges Bank,DFO-NFLD,DFO,"Department of Fisheries and Oceans, Canada national management",Canada,1,21,1
60,DFO-MAR-BSKATCANATL-1970-1987-PREFONTAINE,BSKATCANATL,Barndoor skate Canadian Atlantic Ocean,Dipturus laevis,Sharks Rays and Skates,Canada East Coast,Canada-DFO-ATL,Canadian Atlantic Ocean,DFO-MAR,DFO,"Department of Fisheries and Oceans, Canada national management",Canada,NA,21,1
61,DFO-PAC-HERRCC-1951-2007-COLLIE,HERRCC,Pacific herring Central Coast,Clupea pallasii,Forage Fish,Canada West Coast,Canada-DFO-CC,Central Coast,DFO-PAC,DFO,"Department of Fisheries and Oceans, Canada national management",Canada,1,67,1
62,DFO-PAC-ESOLEHS-1944-2001-COLLIE,ESOLEHS,English sole Hecate Strait,Parophrys vetulus,Flatfish,Canada West Coast,Canada-DFO-HS,Hecate Strait,DFO-PAC,DFO,"Department of Fisheries and Oceans, Canada national management",Canada,NA,67,1
63,DFO-PAC-PCODHS-1956-2005-COLLIE,PCODHS,Pacific cod Hecate Strait,Gadus macrocephalus,Gadids,Canada West Coast,Canada-DFO-HS,Hecate Strait,DFO-PAC,DFO,"Department of Fisheries and Oceans, Canada national management",Canada,1,67,1
64,DFO-PAC-RSOLEHSTR-1945-2001-COLLIE,RSOLEHSTR,Rock sole Hecate Strait,Lepidopsetta bilineata,Flatfish,Canada West Coast,Canada-DFO-HS,Hecate Strait,DFO-PAC,DFO,"Department of Fisheries and Oceans, Canada national management",Canada,NA,67,1
65,DFO-PAC-SABLEFPCAN-1913-2010-HIVELY,SABLEFPCAN,Sablefish Pacific Coast of Canada,Anoplopoma fimbria,Other Marine,Canada West Coast,Canada-DFO-PCOAST,Pacific Coast of Canada,DFO-PAC,DFO,"Department of Fisheries and Oceans, Canada national management",Canada,1,67,1
66,DFO-PAC-HERRPRD-1951-2007-COLLIE,HERRPRD,Pacific herring Prince Rupert District,Clupea pallasii,Forage Fish,Canada West Coast,Canada-DFO-PRD,Prince Rupert District,DFO-PAC,DFO,"Department of Fisheries and Oceans, Canada national management",Canada,1,67,1
67,DFO-PAC-HERRQCI-1951-2007-COLLIE,HERRQCI,Pacific herring Queen Charlotte Islands,Clupea pallasii,Forage Fish,Canada West Coast,Canada-DFO-QCI,Queen Charlotte Islands,DFO-PAC,DFO,"Department of Fisheries and Oceans, Canada national management",Canada,1,67,1
68,DFO-PAC-HERRSOG-1951-2007-COLLIE,HERRSOG,Pacific herring Straight of Georgia,Clupea pallasii,Forage Fish,Canada West Coast,Canada-DFO-SOG,Straight of Georgia,DFO-PAC,DFO,"Department of Fisheries and Oceans, Canada national management",Canada,1,67,1
69,DFO-PAC-HERRWCVANI-1951-2007-COLLIE,HERRWCVANI,Pacific herring West Coast of Vancouver Island,Clupea pallasii,Forage Fish,Canada West Coast,Canada-DFO-WCVANI,West Coast of Vancouver Island,DFO-PAC,DFO,"Department of Fisheries and Oceans, Canada national management",Canada,1,67,1
70,DFO-PAC-PCODWCVANI-1956-2002-COLLIE,PCODWCVANI,Pacific cod West Coast of Vancouver Island,Gadus macrocephalus,Gadids,Canada West Coast,Canada-DFO-WCVANI,West Coast of Vancouver Island,DFO-PAC,DFO,"Department of Fisheries and Oceans, Canada national management",Canada,1,67,1
71,DFO-CROCKWCVANISOGQCI-1945-2009-STANTON,CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Sebastes pinniger,Rockfish,Canada West Coast,Canada-DFO-WCVANI-SOG-QCI,West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,DFO,DFO,"Department of Fisheries and Oceans, Canada national management",Canada,NA,67,1
26,DPIF-MULLQNSW-1945-2003-BANOBI,MULLQNSW,Sea Mullet Queensland and New South Wales,Mugil cephalus,Other Marine,Australia,Australia-DPIF-QNSW,Queensland and New South Wales,DPIF,DPIF,Department of Primary Industries and Fisheries,Australia,NA,"71,81",1
73,FAJ-BMACKECS-1992-2010-ONO,BMACKECS,Blue mackerel East China Sea,Scomber australasicus,Forage Fish,Russia Japan,Japan-FAFRFJ-ECS,East China Sea,FAJ,FAFRFJ,Fisheries Agency and Fisheries Research Agency of Japan,Japan,1,61,1
74,FAJ-OFLOUNECS-1986-2010-ONO,OFLOUNECS,Olive flounder East China Sea,Paralichthys olivaceus,Flatfish,Russia Japan,Japan-FAFRFJ-ECS,East China Sea,FAJ,FAFRFJ,Fisheries Agency and Fisheries Research Agency of Japan,Japan,1,61,1
75,FAJ-RBRMECS-1969-2010-ONO,RBRMECS,Red seabream East China Sea,Pagrus major,Other Marine,Russia Japan,Japan-FAFRFJ-ECS,East China Sea,FAJ,FAFRFJ,Fisheries Agency and Fisheries Research Agency of Japan,Japan,NA,61,1
76,FAJ-OFLOUNNSJ-1999-2010-ONO,OFLOUNNSJ,Olive flounder Sea of Japan North,Paralichthys olivaceus,Flatfish,Russia Japan,Japan-FAFRFJ-NSJ,Sea of Japan North,FAJ,FAFRFJ,Fisheries Agency and Fisheries Research Agency of Japan,Japan,1,61,1
77,FAJ-SAURNWPAC-1980-2010-ONO,SAURNWPAC,Pacific saury Northwest Pacific,Cololabis saira,Forage Fish,Russia Japan,Japan-FAFRFJ-NWPAC,Northwest Pacific,FAJ,FAFRFJ,Fisheries Agency and Fisheries Research Agency of Japan,Japan,1,61,1
78,FAJ-OFLOUNPAC-1990-2009-ONO,OFLOUNPAC,Olive flounder Pacific Ocean,Paralichthys olivaceus,Flatfish,Russia Japan,Japan-FAFRFJ-PAC,Pacific Ocean,FAJ,FAFRFJ,Fisheries Agency and Fisheries Research Agency of Japan,Japan,1,61,1
79,FAJ-APOLLPJPN-1981-2009-ONO,APOLLPJPN,Alaskan Pollock Pacific Coast of Japan,Theragra chalcogramma,Gadids,Russia Japan,Japan-FAFRFJ-PJPN,Pacific Coast of Japan,FAJ,FAFRFJ,Fisheries Agency and Fisheries Research Agency of Japan,Japan,1,61,1
80,FAJ-BMACKPJPN-1995-2009-ONO,BMACKPJPN,Blue mackerel Pacific Coast of Japan,Scomber australacius,Forage Fish,Russia Japan,Japan-FAFRFJ-PJPN,Pacific Coast of Japan,FAJ,FAFRFJ,Fisheries Agency and Fisheries Research Agency of Japan,Japan,NA,61,1
81,FAJ-CMACKPJPN-1970-2009-ONO,CMACKPJPN,Chub mackerel Pacific Coast of Japan,Scomber japonicus,Forage Fish,Russia Japan,Japan-FAFRFJ-PJPN,Pacific Coast of Japan,FAJ,FAFRFJ,Fisheries Agency and Fisheries Research Agency of Japan,Japan,1,61,1
82,FAJ-JANCHOPJPN-1978-2009-ONO,JANCHOPJPN,Japanese anchovy Pacific Coast of Japan,Engraulis japonicus,Forage Fish,Russia Japan,Japan-FAFRFJ-PJPN,Pacific Coast of Japan,FAJ,FAFRFJ,Fisheries Agency and Fisheries Research Agency of Japan,Japan,1,61,1
83,FAJ-JMACKPJPN-1982-2009-ONO,JMACKPJPN,Jack mackerel Pacific Coast of Japan,Trachurus japonicus,Forage Fish,Russia Japan,Japan-FAFRFJ-PJPN,Pacific Coast of Japan,FAJ,FAFRFJ,Fisheries Agency and Fisheries Research Agency of Japan,Japan,1,61,1
84,FAJ-PILCHPJPN-1976-2009-ONO,PILCHPJPN,South american pilchard Pacific Coast of Japan,Sardinops melanostictus,Forage Fish,Russia Japan,Japan-FAFRFJ-PJPN,Pacific Coast of Japan,FAJ,FAFRFJ,Fisheries Agency and Fisheries Research Agency of Japan,Japan,1,61,1
85,FAJ-JANCHOSETO-1955-2010-ONO,JANCHOSETO,Japanese anchovy Inland Sea of Japan,Engraulis japonicus,Forage Fish,Russia Japan,Japan-FAFRFJ-SETO,Inland Sea of Japan,FAJ,FAFRFJ,Fisheries Agency and Fisheries Research Agency of Japan,Japan,1,61,1
86,FAJ-OFLOUNSETO-1987-2010-ONO,OFLOUNSETO,flounder Inland Sea of Japan,Paralichthys olivaceus,Flatfish,Russia Japan,Japan-FAFRFJ-SETO,Inland Sea of Japan,FAJ,FAFRFJ,Fisheries Agency and Fisheries Research Agency of Japan,Japan,1,61,1
87,FAJ-SPANMACKSETO-1987-2010-ONO,SPANMACKSETO,Japanese Spanish mackerel Inland Sea of Japan,Scomberomorus niphonius,Tuna and Marlin,Russia Japan,Japan-FAFRFJ-SETO,Inland Sea of Japan,FAJ,FAFRFJ,Fisheries Agency and Fisheries Research Agency of Japan,Japan,1,61,1
88,FAJ-RBRMSETOE-1977-2010-ONO,RBRMSETOE,Red seabream Inland Sea of Japan (East),Pagrus major,Other Marine,Russia Japan,Japan-FAFRFJ-SETOE,Inland Sea of Japan (East),FAJ,FAFRFJ,Fisheries Agency and Fisheries Research Agency of Japan,Japan,NA,61,1
89,FAJ-RBRMSETOW-1977-2010-ONO,RBRMSETOW,Red seabream Inland Sea of Japan (West),Pagrus major,Other Marine,Russia Japan,Japan-FAFRFJ-SETOW,Inland Sea of Japan (West),FAJ,FAFRFJ,Fisheries Agency and Fisheries Research Agency of Japan,Japan,NA,61,1
90,FAJ-BRMSOJ-1980-2010-ONO,BRMSOJ,Yellow sea bream Sea of Japan,Dentex tumifrons,Other Marine,Russia Japan,Japan-FAFRFJ-SOJ,Sea of Japan,FAJ,FAFRFJ,Fisheries Agency and Fisheries Research Agency of Japan,Japan,NA,61,1
91,FAJ-CMACKTSST-1973-2010-ONO,CMACKTSST,Chub mackerel Tsushima Strait,Scomber japonicus,Forage Fish,Russia Japan,Japan-FAFRFJ-TSST,Tsushima Strait,FAJ,FAFRFJ,Fisheries Agency and Fisheries Research Agency of Japan,Japan,1,61,1
92,FAJ-JANCHOTSST-1976-2010-ONO,JANCHOTSST,Japanese anchovy Tsushima Strait,Engraulis japonicus,Forage Fish,Russia Japan,Japan-FAFRFJ-TSST,Tsushima Strait,FAJ,FAFRFJ,Fisheries Agency and Fisheries Research Agency of Japan,Japan,1,61,1
93,FAJ-JMACKTSST-1973-2010-ONO,JMACKTSST,Japanese jack mackerel Tsushima Strait,Trachurus japonicus,Forage Fish,Russia Japan,Japan-FAFRFJ-TSST,Tsushima Strait,FAJ,FAFRFJ,Fisheries Agency and Fisheries Research Agency of Japan,Japan,1,61,1
94,FAJ-PILCHTSST-1960-2010-ONO,PILCHTSST,Japanese pilchard Tsushima Strait,Sardinops melanostictus,Forage Fish,Russia Japan,Japan-FAFRFJ-TSST,Tsushima Strait,FAJ,FAFRFJ,Fisheries Agency and Fisheries Research Agency of Japan,Japan,1,61,1
95,FAJ-RHERRTSST-1976-2010-ONO,RHERRTSST,Round herring Tsushima Strait,Etrumeus teres,Forage Fish,Russia Japan,Japan-FAFRFJ-TSST,Tsushima Strait,FAJ,FAFRFJ,Fisheries Agency and Fisheries Research Agency of Japan,Japan,1,61,1
3910,FAO-DRSS-BCROAKWASG1-1994-2007-CHING,BCROAKWASG1,Bobo croaker West Africa Subgroup 1,Pseudotolithus elongatus,Other Marine,West Africa,multinational-FAO-SG1,West Africa Subgroup 1,FAO-DRSS,FAO,Food and Agriculture Organization of the United Nations,multinational,NA,"34,47",NA
721,FAO-DRSS-BRMSPPWASG1-1994-2007-CHING,BRMSPPWASG1,Seabream West Africa Subgroup 1,Dentex spp,Other Marine,West Africa,multinational-FAO-SG1,West Africa Subgroup 1,FAO-DRSS,FAO,Food and Agriculture Organization of the United Nations,multinational,NA,"34,47",NA
