Year,Species,Metric Tons,Pounds,Revenue
2005,LEATHERJACKETS,170.1,374917,434869
2005,LIMPETS,2.3,5004,44788
2005,LINGCOD,204.9,451705,465117
2005,"LOBSTER, AMERICAN",39829.8,87808672,415414861
2005,"LOBSTER, BANDED SPINY",4.6,10091,110927
2005,"LOBSTER, CALIFORNIA SPINY",345.2,761031,6038571
2005,"LOBSTER, CARIBBEAN SPINY",1527.5,3367509,16680080
2005,"LOBSTER, SLIPPER",6.7,14769,69313
2005,LOOKDOWN,8.8,19312,16938
2005,LUMPFISH,0.1,164,30
2005,MACKEREL (SCOMBER),5.3,11594,8978
2005,"MACKEREL, ATLANTIC",18506.6,40799556,6952013
2005,"MACKEREL, CHUB",3561.5,7851631,575456
2005,"MACKEREL, FRIGATE",0,3,1
2005,"MACKEREL, KING",426.2,939596,1359334
2005,"MACKEREL, KING AND CERO",2075.8,4576259,7072017
2005,"MACKEREL, SPANISH",2416.9,5328189,3836957
2005,MANTIS SHRIMPS,1.7,3849,7260
2005,MARGATE,10.8,23815,15191
2005,"MARLIN, BLACK",1.1,2461,2740
2005,"MARLIN, BLUE",439.6,969226,972110
2005,"MARLIN, STRIPED",552.5,1218030,1536754
2005,MENHADEN,564187,1243806581,62519721
2005,MOJARRAS,195.6,431174,462991
2005,MOLLUSKS,20,44044,152710
2005,"MOONFISH, ATLANTIC",25.6,56502,52744
2005,"MULLET, STRIPED (LIZA)",5054.1,11142201,7669181
2005,"MULLET, WHITE",113.5,250113,133497
2005,MULLETS,246.2,542691,355123
2005,MUMMICHOG,1.5,3300,14974
2005,"MUSSEL, BLUE",1870,4122590,6568714
2005,OCEAN SUNFISH,0.1,123,12
2005,OCTOPUS,30,66233,102491
2005,OILFISH,186.4,410852,724209
2005,OPAH,493.3,1087583,1899776
2005,"OYSTER, EASTERN",10127.9,22328045,71212540
2005,"OYSTER, EUROPEAN FLAT",5.7,12621,252206
2005,"OYSTER, OLYMPIA",3.4,7426,221558
2005,"OYSTER, PACIFIC",6119.8,13491793,41350392
2005,PARROTFISHES,14.9,32825,93488
2005,"PERCH, WHITE",1031.4,2273847,1267796
2005,"PERCH, YELLOW",812.5,1791168,2903823
2005,PERIWINKLES,0,1,1
2005,PERMIT,9.5,20956,28470
2005,PIGFISH,13.8,30473,9287
2005,PINFISH,43.2,95216,286738
2005,"PINFISH, SPOTTAIL",4.3,9443,3177
2005,POLLOCK,6505.4,14341811,7794563
2005,"POLLOCK, WALLEYE",1547358.8,3411307303,306971755
2005,POMFRETS,293.1,646123,1440166
2005,"POMPANO, AFRICAN",2.1,4523,8470
2005,"POMPANO, FLORIDA",156.8,345573,1326414
2005,"PORGY, JOLTHEAD",4.8,10536,10883
2005,"PORGY, KNOBBED",9.6,21175,16913
2005,"PORGY, RED",52.1,114963,132539
2005,"PORGY, WHITEBONE",2.6,5835,5910
2005,"POUT, OCEAN",2.9,6332,4344
2005,"PRICKLEBACK, MONKEYFACE",0,87,239
2005,"PUFFER, NOTHERN",12.2,26794,19049
2005,PUFFERS,0.3,738,881
2005,QUILLBACK,132.5,292109,44622
2005,RAYS,0.6,1272,386
2005,"REDFISH, ACADIAN",560.8,1236264,712836
2005,"ROCKFISH, AURORA",0.5,1054,920
2005,"ROCKFISH, BANK",16.3,35882,29513
2005,"ROCKFISH, BLACK",177.4,391140,556893
2005,"ROCKFISH, BLACK-AND-YELLOW",10.2,22541,146614
2005,"ROCKFISH, BLACKGILL",54.3,119722,121890
2005,"ROCKFISH, BLUE",19.1,42134,54919
2005,"ROCKFISH, BOCACCIO",7.6,16832,17425
2005,"ROCKFISH, BROWN",22.2,49034,284428
2005,"ROCKFISH, CANARY",13,28692,14387
2005,"ROCKFISH, CHILIPEPPER",67.1,147901,75240
2005,"ROCKFISH, CHINA",3,6706,43754
2005,"ROCKFISH, COPPER",5.3,11629,45489
2005,"ROCKFISH, COWCOD",0,85,91
2005,"ROCKFISH, DARKBLOTCHED",92.6,204142,93985
2005,"ROCKFISH, FLAG",0.1,112,234
2005,"ROCKFISH, GOPHER",18.3,40244,263408
2005,"ROCKFISH, GRASS",12.7,28006,256809
2005,"ROCKFISH, GREENBLOTCHED",0.1,238,437
2005,"ROCKFISH, GREENSPOTTED",0.3,715,1237
2005,"ROCKFISH, GREENSTRIPED",0.1,209,102
2005,"ROCKFISH, KELP",0.8,1822,8970
2005,"ROCKFISH, OLIVE",1.2,2565,4766
2005,"ROCKFISH, PACIFIC OCEAN PERCH",19475,42934498,5755155
2005,"ROCKFISH, PINK",0,74,666
2005,"ROCKFISH, REDBANDED",1.4,3125,2854
2005,"ROCKFISH, REDSTRIPE",3.6,7936,3830
2005,"ROCKFISH, ROSY",0,28,63
2005,"ROCKFISH, SHARPCHIN",0,44,22
2005,"ROCKFISH, SHORTBELLY",2.7,5907,2304
2005,"ROCKFISH, SILVERGRAY",0.1,154,72
2005,"ROCKFISH, SPECKLED",0,80,81
2005,"ROCKFISH, SPLITNOSE",12.6,27761,13153
