"x"
"215","NAFO-SC-GHAL23KLMNO-1960-2006-PREFONTAINE"
"216","Lumped-Alaska pollock(=Walleye poll.)-FaoRegion67"
"217","Lumped-White hake-FaoRegion21"
"218","1814-FAO-87-52"
"219","12196-FAO-61-31"
"220","12274-FAO-61-35"
"221","12259-FAO-61-45"
"222","12179-FAO-61-45"
"223","12087-FAO-61-45"
"224","12034-FAO-61-44"
"225","17030-FAO-21-56"
"226","AFSC-SNOWCRABBS-1978-2013-HIVELY"
"227","NEFSC-CODGOM-1981-2011-CHING"
"228","NEFSC-CODGB-1976-2011-CHING"
"229","NEFSC-AMPL5YZ-1960-2008-OBRIEN"
"230","17056-FAO-77-31"
"231","NEFSC-YELLGB-1935-2008-BAUM"
"232","NEFSC-YELLCCODGOM-1935-2008-LEGAULT"
"233","NEFSC-HADGB-1931-2010-CHING"
"234","NEFSC-HAD5Y-1964-2011-CHING"
"235","AFSC-RKCRABBB-1960-2008-JENSEN"
"236","AFSC-RKCRABPI-1981-2009-JENSEN"
"237","SWFSC-STFLOUNSPCOAST-1970-2005-STANTON"
"238","AFSC-ATKABSAI-1976-2011-STACHURA"
"239","PFMC-COWCODSCAL-1930-2009-CHING"
"240","PFMC-BOCACCSPCOAST-1930-2009-CHING"
"241","PFMC-BNKROCKCAL-1979-1999-CHING"
"242","NEFSC-WHAKEGBGOM-1963-2007-SOSEBEE"
"243","11992-FAO-21-31"
"244","NWFSC-ESOLEPCOAST-1876-2007-BRANCH"
"245","NWFSC-DKROCKPCOAST-1928-2011-STACHURA"
"246","NWFSC-SNROCKPCOAST-1905-2009-STANTON"
"247","NWFSC-YTROCKNPCOAST-1967-2005-STANTON"
"248","NWFSC-BGROCKPCOAST-1950-2011-STACHURA"
"249","NWFSC-CROCKPCOAST-1916-2011-STACHURA"
"250","NWFSC-YEYEROCKPCOAST-1916-2011-STACHURA"
"251","Lumped-Pacific cod-FaoRegion67"
"252","NAFO-SC-AMPL3M-1960-2007-BAUM"
"253","NAFO-SC-AMPL3LNO-1955-2007-BAUM"
