Year,Species,Metric Tons,Pounds,Revenue
2006,"ROCKFISH, BLACK-AND-YELLOW",8.3,18388,129923
2006,"ROCKFISH, BLACKGILL",66.4,146426,165482
2006,"ROCKFISH, BLUE",20.6,45379,66194
2006,"ROCKFISH, BOCACCIO",4.9,10812,15367
2006,"ROCKFISH, BRONZESPOTTED",0.1,207,469
2006,"ROCKFISH, BROWN",20.6,45321,272157
2006,"ROCKFISH, CANARY",15.5,34175,17081
2006,"ROCKFISH, CHILIPEPPER",38.2,84243,58598
2006,"ROCKFISH, CHINA",3,6570,46864
2006,"ROCKFISH, COPPER",3.8,8336,32441
2006,"ROCKFISH, DARKBLOTCHED",98.5,217211,104421
2006,"ROCKFISH, FLAG",0.2,535,809
2006,"ROCKFISH, GOPHER",15.6,34308,242595
2006,"ROCKFISH, GRASS",17.7,39041,379799
2006,"ROCKFISH, GREENBLOTCHED",0.4,986,1042
2006,"ROCKFISH, GREENSPOTTED",0.2,459,890
2006,"ROCKFISH, GREENSTRIPED",0.1,180,101
2006,"ROCKFISH, KELP",0.7,1568,9385
2006,"ROCKFISH, OLIVE",1.2,2559,4578
2006,"ROCKFISH, PACIFIC OCEAN PERCH",23192.2,51129477,10538327
2006,"ROCKFISH, REDBANDED",0.5,1077,1336
2006,"ROCKFISH, REDSTRIPE",0,44,18
2006,"ROCKFISH, ROSY",0.4,774,287
2006,"ROCKFISH, SHARPCHIN",0,22,13
2006,"ROCKFISH, SHORTBELLY",0.1,132,45
2006,"ROCKFISH, SPECKLED",0.3,708,792
2006,"ROCKFISH, SPLITNOSE",8.3,18264,6175
2006,"ROCKFISH, STARRY",0.1,291,701
2006,"ROCKFISH, SWORDSPINE",0,26,26
2006,"ROCKFISH, TREEFISH",0.8,1657,13938
2006,"ROCKFISH, VERMILION",17.6,38701,90939
2006,"ROCKFISH, WIDOW",130.2,286952,126945
2006,"ROCKFISH, YELLOWEYE",3.8,8315,8333
2006,"ROCKFISH, YELLOWTAIL",425.8,938796,437290
2006,ROCKFISHES,11763.5,25933850,9016480
2006,"RUNNER, RAINBOW",0.8,1768,3618
2006,SABLEFISH,21421.9,47226634,132156202
2006,SAILFISH,8.4,18442,15460
2006,"SALMON, CHINOOK",7662.2,16892108,43746254
2006,"SALMON, CHUM",68601.4,151238552,45126082
2006,"SALMON, COHO",15816.9,34869848,34719571
2006,"SALMON, PINK",100589.9,221760576,27751421
2006,"SALMON, SOCKEYE",108245.2,238637406,159474687
2006,"SARDINE, PACIFIC",84809.7,186971512,9290728
2006,"SCAD, BIGEYE",106.9,235624,550467
2006,"SCAD, MACKEREL",89,196242,448969
2006,SCORPIONFISHES,3.6,7990,25531
2006,SCULPINS,262.3,578207,26234
2006,"SEA BASS, GIANT",2.7,5928,11950
2006,SEA CHUBS,15.8,34759,35675
2006,SEA CUCUMBER,505.7,1114961,1707051
2006,SEA URCHINS,5633.6,12419882,5970617
2006,"SEABASS, WHITE",182.9,403288,799026
2006,"SEAWEED, KELP",2922.2,6442275,8524
2006,SEAWEEDS,3,6629,31226
2006,"SHAD, AMERICAN",90.6,199798,119036
2006,"SHARK, BIGEYE THRESHER",4.1,8973,4176
2006,"SHARK, BLUE",0.2,511,310
2006,"SHARK, LEOPARD",11,24351,21173
2006,"SHARK, MAKOS",90.1,198645,120558
2006,"SHARK, PACIFIC ANGEL",14.8,32694,18348
2006,"SHARK, SHORTFIN MAKO",45.3,99769,78378
2006,"SHARK, SOUPFIN",29.2,64383,40790
2006,"SHARK, SPINY DOGFISH",551.2,1215239,257300
2006,"SHARK, THRESHER",158.9,350215,299108
2006,SHARKS,64.7,142534,33117
2006,"SHEEPHEAD, CALIFORNIA",38.8,85454,367379
2006,SHELLFISH,1398.1,3082205,8143191
2006,"SHRIMP, BLUE MUD",1.2,2575,3300
2006,"SHRIMP, BRINE",322.8,711545,363981
2006,"SHRIMP, GHOST",14,30874,71585
2006,"SHRIMP, MARINE, OTHER",0,5,30
2006,"SHRIMP, OCEAN",8491.7,18720790,6657878
2006,"SHRIMP, PACIFIC ROCK",73.1,161136,324375
2006,"SHRIMP, PENAEID",674.1,1486026,4667735
2006,"SHRIMP, SPOT",143.7,316756,3504526
2006,"SKATE, BIG",0.1,176,62
2006,SKATES,8736,19259439,2376219
2006,"SMELT, EULACHON",6.6,14477,29533
2006,SMELTS,209.2,461306,181819
2006,SNAKE MACKEREL,0,1,2
2006,SNAPPERS,107.1,236218,1306129
2006,"SOLE, CURLFIN",0.2,418,137
2006,"SOLE, DOVER",6032.7,13299647,4913173
2006,"SOLE, ENGLISH",1040.9,2294807,751467
2006,"SOLE, FLATHEAD",16422,36203871,7010190
2006,"SOLE, PETRALE",2595.9,5722915,5800324
2006,"SOLE, REX",4673.4,10303039,2187467
2006,"SOLE, ROCK",34246.7,75500282,19561300
2006,"SOLE, SAND",48.4,106750,71283
2006,"SOLE, YELLOWFIN",90571,199672876,33713740
2006,SPEARFISHES,164.6,362830,378405
2006,"SQUID, CALIFORNIA MARKET",49178.3,108418590,26959806
2006,"SQUID, JUMBO",2160,4762008,203802
2006,"SQUID, ROBUST CLUBHOOK",12.6,27774,8332
2006,SQUIDS,52.9,116546,34924
2006,SQUIRRELFISHES,12.3,27140,104522
2006,"STURGEON, GREEN",3.1,6856,5108
2006,"STURGEON, WHITE",158.4,349219,708647
2006,SURFPERCHES,16.5,36412,70921
2006,SURGEONFISHES,29.8,65704,110781
2006,SWORDFISH,1718.7,3789118,7932993
2006,"TARPON, HAWAIIAN",0.5,1016,1021
2006,"THORNYHEAD, SHORTSPINE",663.3,1462219,2108143
2006,THREADFINS,0.2,366,1830
2006,THRESHER SHARKS,33.6,74030,31284
2006,TILAPIAS,0.3,605,1145
2006,"TROUT, RAINBOW",177.9,392157,480007
2006,"TUNA, ALBACORE",13100.6,28881648,25050445
2006,"TUNA, BIGEYE",4632.4,10212516,34431308
2006,"TUNA, BLUEFIN PACIFIC",0.8,1683,3776
2006,"TUNA, KAWAKAWA",1.3,2920,5325
2006,"TUNA, SKIPJACK",441.1,972407,1235542
2006,"TUNA, YELLOWFIN",1449.5,3195490,8092325
2006,TUNAS,0.6,1303,1362
2006,WAHOO,404.9,892581,2329696
2006,WOLF-EEL,0.5,1157,1088
2006,YELLOWTAIL JACK,18.3,40303,52982
2007,ABALONES,0.5,1154,4688
2007,"ANCHOVY, NORTHERN",10541.2,23239138,1136547
2007,ATKA MACKEREL,57589.2,126961042,14253016
2007,"BARRACUDA, PACIFIC",40.9,90122,60812
2007,BARRACUDAS,11.5,25410,28150
2007,BILLFISHES,0.3,736,373
2007,"BONITO, PACIFIC",221.6,488431,158887
2007,BUTTERFLYFISHES,0,55,54
2007,CABEZON,47.3,104363,491696
2007,"CARP, COMMON",7.6,16679,34171
2007,"CLAM, BUTTER",8.1,17815,18367
2007,"CLAM, MANILA",612.7,1350726,21771882
2007,"CLAM, PACIFIC GEODUCK",1156.2,2548910,36960187
2007,"CLAM, PACIFIC LITTLENECK",16.2,35643,98999
2007,"CLAM, PACIFIC RAZOR",5.4,11969,62116
2007,"CLAM, PACIFIC, GAPER",1,2228,6774
2007,"CLAM, SOFTSHELL",102.4,225792,179595
2007,CLAMS OR BIVALVES,0,73,215
2007,"COCKLE, NUTTALL",24.4,53849,71700
2007,"COD, PACIFIC",221158.5,487565999,224300686
2007,"CRAB, DUNGENESS",25852,56993261,132999296
2007,"CRAB, KING",11765.8,25938992,97882432
2007,"CRAB, RED ROCK",582.4,1283943,1642912
2007,"CRAB, SNOW",15478.8,34124621,50403015
2007,"CRAB, SOUTHERN TANNER",1885.9,4157555,6306563
2007,CRABS ,44.8,98665,139801
2007,CRAYFISHES OR CRAWFISHES,75.7,166861,230338
2007,"CROAKER, PACIFIC WHITE",28.9,63640,43945
2007,DOLPHINFISH,632,1393252,3492724
2007,ECHINODERM,3.7,8182,2070
2007,EELS,1.7,3697,3899
2007,EMPERORS,1.5,3320,11207
