ID Number,Species,Species Group,FAO Fishing Area,SpeciesMatch,Fam/OrdMatch,Multinational?,Country Specified?,RAM II ID Number,Assessed ID,Assessed Country,UnAssessed Sp,Assessed Sp
728,3268,34,81,1,0,0,1,51,CSIRO-GEMFISHSE-1966-2007-FULTON,Australia,Rexea solandri,Rexea solandri
792,2498,36,57,1,0,1,0,112,IOTC-BIGEYEIO-1957-2006-JENSEN,multinational,Thunnus obesus,Thunnus obesus
970,2886,35,27,1,0,1,0,285,WGBFAS-HERR30-1972-2007-JENNINGS,multinational,Clupea harengus,Clupea harengus
981,2218,32,27,1,0,1,0,300,WGNSDS-CODIS-1968-2006-MINTO,multinational,Gadus morhua,Gadus morhua
985,2560,31,27,1,0,1,0,294,WGHMM-MEG8c9a-1985-2007-JENNINGS,multinational,Lepidorhombus whiffiagonis,Lepidorhombus whiffiagonis
990,2228,32,27,1,0,1,0,309,WGNSSK-HADROCK-1990-2007-JENNINGS,multinational,Melanogrammus aeglefinus,Melanogrammus aeglefinus
991,3022,32,27,1,0,1,0,318,WGNSSK-WHITNS-VIId-IIIa-1979-2006-MINTO,multinational,Merlangius merlangus,Merlangius merlangus
992,2238,32,27,1,0,1,0,292,WGHMM-HAKENRTN-1977-2007-JENNINGS,multinational,Merluccius merluccius,Merluccius merluccius
1007,3354,31,27,1,0,1,0,304,WGNSDS-PLAICIS-1962-2006-MINTO,multinational,Pleuronectes platessa,Pleuronectes platessa
1009,3016,32,27,1,0,1,0,206,NWWG-POLLFAPL-1958-2006-MINTO,multinational,Pollachius virens,Pollachius virens
1027,2102,35,27,1,0,1,0,290,WGBFAS-SPRAT22-32-1973-2007-JENNINGS,multinational,Sprattus sprattus,Sprattus sprattus
1122,2497,36,77,1,0,1,0,92,IATTC-YFINEPAC-1975-2007-JENSEN,multinational,Thunnus albacares,Thunnus albacares
1128,2498,36,57,1,0,1,0,112,IOTC-BIGEYEIO-1957-2006-JENSEN,multinational,Thunnus obesus,Thunnus obesus
1129,2498,36,51,1,0,1,0,112,IOTC-BIGEYEIO-1957-2006-JENSEN,multinational,Thunnus obesus,Thunnus obesus
1130,2498,36,77,1,0,1,0,91,IATTC-BIGEYEEPAC-1975-2007-JENSEN,multinational,Thunnus obesus,Thunnus obesus
1131,2498,36,87,1,0,1,0,91,IATTC-BIGEYEEPAC-1975-2007-JENSEN,multinational,Thunnus obesus,Thunnus obesus
1132,2309,37,87,1,0,1,0,103,IFOP-CHTRACCH-1975-2007-JENSEN,multinational,Trachurus murphyi,Trachurus murphyi
1137,2503,36,41,1,0,1,0,100,ICCAT-SWORDNATL-1978-2007-JENSEN,multinational,Xiphias gladius,Xiphias gladius
1137,2503,36,41,1,0,1,0,101,ICCAT-SWORDSATL-1970-2005-JENSEN,multinational,Xiphias gladius,Xiphias gladius
1244,2496,36,31,1,0,1,0,93,ICCAT-ALBANATL-1929-2005-WORM,multinational,Thunnus alalunga,Thunnus alalunga
1246,2497,36,77,1,0,1,0,92,IATTC-YFINEPAC-1975-2007-JENSEN,multinational,Thunnus albacares,Thunnus albacares
1250,2498,36,77,1,0,1,0,91,IATTC-BIGEYEEPAC-1975-2007-JENSEN,multinational,Thunnus obesus,Thunnus obesus
1251,2498,36,87,1,0,1,0,91,IATTC-BIGEYEEPAC-1975-2007-JENSEN,multinational,Thunnus obesus,Thunnus obesus
1252,3296,36,31,1,0,1,0,95,ICCAT-ATBTUNAWATL-1969-2007-WORM,multinational,Thunnus thynnus,Thunnus thynnus
1455,3296,36,41,1,0,1,0,95,ICCAT-ATBTUNAWATL-1969-2007-WORM,multinational,Thunnus thynnus,Thunnus thynnus
1465,2503,36,41,1,0,1,0,100,ICCAT-SWORDNATL-1978-2007-JENSEN,multinational,Xiphias gladius,Xiphias gladius
1465,2503,36,41,1,0,1,0,101,ICCAT-SWORDSATL-1970-2005-JENSEN,multinational,Xiphias gladius,Xiphias gladius
1542,2886,35,27,1,0,1,0,285,WGBFAS-HERR30-1972-2007-JENNINGS,multinational,Clupea harengus,Clupea harengus
1571,2218,32,27,1,0,1,0,300,WGNSDS-CODIS-1968-2006-MINTO,multinational,Gadus morhua,Gadus morhua
1572,2218,32,21,1,0,1,0,131,NAFO-SC-COD3NO-1953-2007-BAUM,multinational,Gadus morhua,Gadus morhua
1579,3359,31,21,1,0,1,0,129,NAFO-SC-AMPL3M-1960-2007-BAUM,multinational,Hippoglossoides platessoides,Hippoglossoides platessoides
1593,2548,31,21,1,0,1,0,135,NAFO-SC-YELL3LNO-1960-2009-BAUM,multinational,Limanda ferruginea,Limanda ferruginea
