Stock,SciName,5yearPrice,region,source
Nova Scotia Atlantic Cod,Gadus morhua,1850,Canada East,DFO
Nova Scotia Haddock,Melanogrammus aeglefinus,1340,Canada East,DFO
Nova Scotia Redfish spp.,Sebastes spp,626,Canada East,DFO
Nova Scotia Halibut (Atlantic),Hippoglossus hippoglossus,9578,Canada East,DFO
Nova Scotia Greenland turbot,Reinhardtius hippoglossoides,1926,Canada East,DFO
Nova Scotia Pollock,Pollachius virens,769,Canada East,DFO
Nova Scotia Hake,Merluccius bilinearis,708,Canada East,DFO
Nova Scotia Cusk,Brosme brosme,879,Canada East,DFO
Nova Scotia Skate,Raja spp,385,Canada East,DFO
Nova Scotia Dogfish,Squalus acanthias,500,Canada East,DFO
Nova Scotia Herring,Clupea harengus,218,Canada East,DFO
Nova Scotia Mackerel,Scomber scombrus,585,Canada East,DFO
Nova Scotia Swordfish,Xiphias gladius,6329,Canada East,DFO
Nova Scotia Tuna,Thunnus thynnus,12067,Canada East,DFO
Nova Scotia Scallop,Placopecten magellanicus,1241,Canada East,DFO
Nova Scotia Squid,Illex illecebrosus,742,Canada East,DFO
Nova Scotia Lobster,Homarus americanus,9463,Canada East,DFO
Nova Scotia Shrimp,Pandalus borealis,1515,Canada East,DFO
"Nova Scotia Crab, Queen",Chionoecetes opilio,3752,Canada East,DFO
Nova Scotia Sea cucumber,Cucumaria frondosa,365,Canada East,DFO
Nova Scotia Sea urchin,Strongylocentrotus droebachiensis,2194,Canada East,DFO
New Brunswick Atlantic Cod,Gadus morhua,1549,Canada East,DFO
New Brunswick Halibut (Atlantic),Hippoglossus hippoglossus,6779,Canada East,DFO
New Brunswick Greenland turbot,Reinhardtius hippoglossoides,1615,Canada East,DFO
New Brunswick Pollock,Pollachius virens,802,Canada East,DFO
New Brunswick Hake,Merluccius bilinearis,954,Canada East,DFO
New Brunswick Herring,Clupea harengus,213,Canada East,DFO
New Brunswick Mackerel,Scomber scombrus,583,Canada East,DFO
New Brunswick Capelin,Mallotus villosus,101,Canada East,DFO
New Brunswick Scallop,Placopecten magellanicus,1732,Canada East,DFO
New Brunswick Lobster,Homarus americanus,8579,Canada East,DFO
New Brunswick Shrimp,Pandalus borealis,857,Canada East,DFO
"New Brunswick Crab, Queen",Chionoecetes opilio,3748,Canada East,DFO
New Brunswick Sea cucumber,Cucumaria frondosa,361,Canada East,DFO
New Brunswick Sea urchin,Strongylocentrotus droebachiensis,2205,Canada East,DFO
PEI Atlantic Cod,Gadus morhua,1221,Canada East,DFO
PEI Halibut (Atlantic),Hippoglossus hippoglossus,7495,Canada East,DFO
PEI Herring,Clupea harengus,232,Canada East,DFO
PEI Mackerel,Scomber scombrus,674,Canada East,DFO
PEI Tuna,Thunnus thynnus,12887,Canada East,DFO
PEI Scallop,Placopecten magellanicus,1849,Canada East,DFO
PEI Lobster,Homarus americanus,8676,Canada East,DFO
"PEI Crab, Queen",Chionoecetes opilio,3698,Canada East,DFO
Quebec Atlantic Cod,Gadus morhua,1071,Canada East,DFO
Quebec Redfish spp.,Sebastes spp,663,Canada East,DFO
Quebec Halibut (Atlantic),Hippoglossus hippoglossus,5621,Canada East,DFO
Quebec Greenland turbot,Reinhardtius hippoglossoides,1790,Canada East,DFO
Quebec Herring,Clupea harengus,280,Canada East,DFO
Quebec Mackerel,Scomber scombrus,481,Canada East,DFO
Quebec Capelin,Mallotus villosus,208,Canada East,DFO
Quebec Scallop,Placopecten magellanicus,1601,Canada East,DFO
Quebec Lobster,Homarus americanus,10179,Canada East,DFO
Quebec Shrimp,Pandalus borealis,981,Canada East,DFO
"Quebec Crab, Queen",Chionoecetes opilio,3116,Canada East,DFO
Quebec Sea cucumber,Cucumaria frondosa,310,Canada East,DFO
Quebec Sea urchin,Strongylocentrotus droebachiensis,1386,Canada East,DFO
Newfoundland Atlantic Cod,Gadus morhua,1163,Canada East,DFO
Newfoundland Haddock,Melanogrammus aeglefinus,790,Canada East,DFO
Newfoundland Redfish spp.,Sebastes spp,562,Canada East,DFO
Newfoundland Halibut (Atlantic),Hippoglossus hippoglossus,5665,Canada East,DFO
Newfoundland Greenland turbot,Reinhardtius hippoglossoides,2758,Canada East,DFO
Newfoundland Pollock,Pollachius virens,545,Canada East,DFO
Newfoundland Hake,Merluccius bilinearis,595,Canada East,DFO
Newfoundland Skate,Raja spp,281,Canada East,DFO
Newfoundland Herring,Clupea harengus,185,Canada East,DFO
Newfoundland Mackerel,Scomber scombrus,312,Canada East,DFO
Newfoundland Swordfish,Xiphias gladius,6202,Canada East,DFO
Newfoundland Tuna,Thunnus thynnus,7228,Canada East,DFO
Newfoundland Capelin,Mallotus villosus,198,Canada East,DFO
Newfoundland Scallop,Placopecten magellanicus,1392,Canada East,DFO
Newfoundland Squid,Illex illecebrosus,406,Canada East,DFO
Newfoundland Lobster,Homarus americanus,8676,Canada East,DFO
Newfoundland Shrimp,Pandalus borealis,1364,Canada East,DFO
"Newfoundland Crab, Queen",Chionoecetes opilio,2790,Canada East,DFO
Newfoundland Sea cucumber,Cucumaria frondosa,550,Canada East,DFO
Newfoundland Sea urchin,Strongylocentrotus droebachiensis,1058,Canada East,DFO
BC big skate,Raja binoculata,315,Canada West,DFO
BC dover sole,Microstomus pacificus,652,Canada West,DFO
BC Hecate Strait English sole,Parophrys vetulus,969,Canada West,DFO
BC WCVI English sole,Parophrys vetulus,969,Canada West,DFO
BC longnose skate,Raja rhina,315,Canada West,DFO
BC Hecate Strait Pacific cod,Gadus macrocephalus,1234,Canada West,DFO
BC WCVI Pacific cod,Gadus macrocephalus,1234,Canada West,DFO
BC Pacific ocean perch,Sebastes alutus,869,Canada West,DFO
BC petrale sole,Eopsetta jordani,2108,Canada West,DFO
BC Hecate Strait rock sole,Lepidopsetta bilineata,765,Canada West,DFO
BC WCVI rock sole,Lepidopsetta bilineata,765,Canada West,DFO
BC arrowtooth flounder,Atheresthes stomias,167,Canada West,DFO
BC walleye pollock,Theragra chalcogramma,426,Canada West,DFO
BC yellowtail rockfish,Sebastes flavidus,925,Canada West,DFO
BC widow rockfish,Sebastes entomelas,967,Canada West,DFO
BC redstripe rockfish,Sebastes proriger,692,Canada West,DFO
BC yellowmouth rockfish,Sebastes reedi,879,Canada West,DFO
BC longspine thornyheads,Sebastolobus altivelis,1116,Canada West,DFO
BC shortspine thornyheads,Sebastolobus alascanus,1516,Canada West,DFO
BC canary rockfish,Sebastes pinniger,1135,Canada West,DFO
BC silvergray rockfish,Sebastes brevispinis,919,Canada West,DFO
BC rougheye rockfish,Sebastes aleutianus,1080,Canada West,DFO
BC shortraker rockfish,Sebastes borealis,1503,Canada West,DFO
BC spiny dogfish inside,Squalus acanthias,334,Canada West,DFO
BC spiny dogfish outside,Squalus acanthias,334,Canada West,DFO
BC yelloweye rockfish,Sebastes ruberrimus,4704,Canada West,DFO
BC lingcod 3C,Ophiodon elongatus,1780,Canada West,DFO
BC lingcod 3D,Ophiodon elongatus,1780,Canada West,DFO
BC lingcod 5AB,Ophiodon elongatus,1780,Canada West,DFO
BC lingcod 5CDE,Ophiodon elongatus,1780,Canada West,DFO
BC sablefish,Anoplopoma fimbria,7557,Canada West,DFO
BC bocaccio,Sebastes paucispinis,956,Canada West,DFO
BC redbanded rockfish,Sebastes babcocki,1335,Canada West,DFO
BC sharpchin rockfish,Sebastes zacentrus,731,Canada West,DFO
BC WCVI herring,Clupea pallasii,1234,Canada West,DFO
BC SOG herring,Clupea pallasii,1234,Canada West,DFO
BC QCI herring,Clupea pallasii,1234,Canada West,DFO
BC PRD herring,Clupea pallasii,1234,Canada West,DFO
BC CC herring,Clupea pallasii,1234,Canada West,DFO
BC geoduck,Panopea generosa,17731,Canada West,DFO
BC green sea urchin,Strongylocentrotus droebachiensis,3041,Canada West,DFO
BC red sea urchin,Strongylocentrotus franciscanus,1461,Canada West,DFO
BC sea cucumber,Parastichopus californicus,4256,Canada West,DFO
BC dungeness crab,Cancer magister,4962,Canada West,DFO
BC pink shrimp,Pandalus jordani,2287,Canada West,DFO
BC sidestripe shrimp,Pandalopsis dispar,6490,Canada West,DFO
BC spot prawn,Pandalus platyceros,11176,Canada West,DFO
Blue whiting Northeast Atlantic,Micromesistius poutassou,607,Europe (EU only),EUMOFA
"Atlantic cod North Sea (IV, IIIaNorth, VIId)",Gadus morhua,3635,Europe (EU only),EUMOFA
Atlantic cod Baltic Areas 22 and 24,Gadus morhua,3237,Europe (EU only),EUMOFA
Atlantic cod Baltic Areas 25-32,Gadus morhua,2470,Europe (EU only),EUMOFA
Atlantic cod Irish Sea,Gadus morhua,4009,Europe (EU only),EUMOFA
Atlantic cod Kattegat,Gadus morhua,2906,Europe (EU only),EUMOFA
Atlantic cod West of Scotland,Gadus morhua,3971,Europe (EU only),EUMOFA
Atlantic Cod Celtic Sea,Gadus morhua,4109,Europe (EU only),EUMOFA
Haddock Irish Sea,Melanogrammus aeglefinus,2179,Europe (EU only),EUMOFA
Haddock ICES IIIa and North Sea,Melanogrammus aeglefinus,2113,Europe (EU only),EUMOFA
Haddock Rockall Bank,Melanogrammus aeglefinus,2160,Europe (EU only),EUMOFA
Haddock West of Scotland,Melanogrammus aeglefinus,2164,Europe (EU only),EUMOFA
Haddock ICES VIIb-k,Melanogrammus aeglefinus,2208,Europe (EU only),EUMOFA
Hake Northeast Atlantic North,Merluccius merluccius ,3858,Europe (EU only),EUMOFA
Hake Northeast Atlantic South,Merluccius merluccius ,4174,Europe (EU only),EUMOFA
"Pollock ICES IIIa, VI and North Sea",Pollachius virens,1359,Europe (EU only),EUMOFA
Whiting ICES VIId and North Sea,Merlangius merlangus,1870,Europe (EU only),EUMOFA
Whiting ICES IIIa (Skagerrak-Kattegat),Merlangius merlangus,1488,Europe (EU only),EUMOFA
Whiting ICES VIa,Merlangius merlangus,1796,Europe (EU only),EUMOFA
Whiting ICES VIIe-k,Merlangius merlangus,1910,Europe (EU only),EUMOFA
Anchovy ICES VIII,Engraulis encrasicolus,3136,Europe (EU only),EUMOFA
common European sole Bay of Biscay,Solea solea ,13160,Europe (EU only),EUMOFA
common European sole Celtic Sea,Solea solea ,10905,Europe (EU only),EUMOFA
common European sole ICES Kattegat and Skagerrak,Solea solea ,9559,Europe (EU only),EUMOFA
common European sole ICES VIId,Solea solea ,12767,Europe (EU only),EUMOFA
common European sole Irish Sea,Solea solea ,11968,Europe (EU only),EUMOFA
common European sole North Sea,Solea solea ,12962,Europe (EU only),EUMOFA
common European sole Western English Channel,Solea solea ,11814,Europe (EU only),EUMOFA
Deepwater Redfish Northeast Arctic,Sebastes mentella ,1486,Europe (EU only),EUMOFA
European pilchard ICES VIIIc-IXa,Sardina pilchardus ,946,Europe (EU only),EUMOFA
European Plaice ICES IIIa,Pleuronectes platessa,2154,Europe (EU only),EUMOFA
European Plaice ICES VIId,Pleuronectes platessa,2278,Europe (EU only),EUMOFA
European Plaice ICES VIIe,Pleuronectes platessa,2233,Europe (EU only),EUMOFA
European Plaice ICES VIIf-g,Pleuronectes platessa,2335,Europe (EU only),EUMOFA
European Plaice Irish Sea,Pleuronectes platessa,2342,Europe (EU only),EUMOFA
European Plaice North Sea,Pleuronectes platessa,2149,Europe (EU only),EUMOFA
Fourspotted megrim ICES VIIIc-IXa,Lepidorhombus boscii ,4292,Europe (EU only),EUMOFA
Herring Celtic Sea,Clupea harengus,563,Europe (EU only),EUMOFA
Herring ICES 22-24-IIIa,Clupea harengus,442,Europe (EU only),EUMOFA
Herring ICES 25-32,Clupea harengus,343,Europe (EU only),EUMOFA
Herring ICES 28,Clupea harengus,281,Europe (EU only),EUMOFA
Herring ICES 30,Clupea harengus,212,Europe (EU only),EUMOFA
Herring ICES VIa-VIIb-VIIc,Clupea harengus,584,Europe (EU only),EUMOFA
Herring ICES VIa,Clupea harengus,585,Europe (EU only),EUMOFA
Herring North Sea,Clupea harengus,619,Europe (EU only),EUMOFA
Herring Northern Irish Sea,Clupea harengus,516,Europe (EU only),EUMOFA
