Year,Species,Metric Tons,Pounds,Revenue,RegionFAO
2009,CARPS AND MINNOWS,11,24163,188464,31
2009,"CATFISH, BLUE",991.7,2186192,1059112,31
2009,"CATFISH, CHANNEL",258.8,570567,325831,31
2009,"CATFISH, FLATHEAD",143.4,316244,161259,31
2009,CATFISHES & BULLHEADS,23.2,51112,18233,31
2009,"CLAM, QUAHOG",115.7,255099,1523509,31
2009,COBIA,32.4,71491,181969,31
2009,"CRAB, BLUE",27675.7,61013915,44570827,31
2009,"CRAB, BLUE, PEELER",79.2,174638,443527,31
2009,"CRAB, BLUE, SOFT",16.9,37309,104798,31
2009,"CRAB, BLUE, SOFT AND PEELER",23,50744,364373,31
2009,"CRAB, FLORIDA STONE CLAWS",2452.5,5406848,17910060,31
2009,CRAYFISHES OR CRAWFISHES,8759.9,19312091,15546505,31
2009,"CROAKER, ATLANTIC",39.3,86550,557288,31
2009,CUSK,0.1,198,221,31
2009,"CUTLASSFISH, ATLANTIC",16,35372,27132,31
2009,DOLPHINFISH,225.6,497360,715572,31
2009,"DRUM, BLACK",2254.9,4971128,3824678,31
2009,"DRUM, FRESHWATER",278.3,613625,96284,31
2009,"DRUM, RED",14.5,32027,50432,31
2009,DRUMS,2,4371,2309,31
2009,EELS,0.2,427,365,31
2009,ESCOLAR,50.3,110990,79688,31
2009,"FINFISHES, UNC BAIT AND ANIMAL FOOD",1140.2,2513795,514791,31
2009,"FINFISHES, UNC FOR FOOD",5.9,12984,8178,31
2009,"FINFISHES, UNC GENERAL",355.9,784571,649016,31
2009,FLATFISH,115.1,253681,618832,31
2009,"FLOUNDER, SOUTHERN",59.4,131050,197619,31
2009,"FLOUNDER, SUMMER",0,72,150,31
2009,GAG,384.6,847953,2819184,31
2009,GARS,284.3,626730,549654,31
2009,GRAYSBY,0.3,628,1970,31
2009,"GROUPER, BLACK",33.6,74110,240081,31
2009,"GROUPER, MARBLED",2.5,5480,11275,31
2009,"GROUPER, MISTY",1,2224,5695,31
2009,"GROUPER, RED",1990.9,4389171,10493828,31
2009,"GROUPER, SNOWY",96.7,213219,517123,31
2009,"GROUPER, WARSAW",55.2,121728,308334,31
2009,"GROUPER, YELLOWEDGE",444.1,979029,2895084,31
2009,"GROUPER, YELLOWFIN",0.1,153,372,31
2009,GROUPERS,0.2,361,671,31
2009,GRUNTS,163.4,360197,290783,31
2009,"HAKE, ATLANTIC, RED/WHITE",1.9,4093,3958,31
2009,"HERRING, ATLANTIC THREAD",392.3,864864,129793,31
2009,HERRINGS,607.9,1340105,283459,31
2009,"HIND, RED",1,2114,3956,31
2009,"HIND, ROCK",0.2,440,770,31
2009,"HIND, SPECKLED",32.7,72031,156693,31
2009,HOGFISH,18.1,39958,123467,31
2009,"JACK, ALMACO",19.5,43057,44449,31
2009,"JACK, BAR",31.9,70429,61347,31
2009,"JACK, CREVALLE",151.2,333443,238202,31
2009,"JACK, HORSE-EYE",0,84,70,31
2009,JACKS,37.9,83640,50043,31
2009,KING WHITING,32.3,71269,54768,31
2009,LADYFISH,389.2,858052,443647,31
2009,LEATHERJACKETS,28.5,62925,90176,31
2009,"LOBSTER, CARIBBEAN SPINY",1796.1,3959716,12202590,31
2009,"LOBSTER, SLIPPER",0.4,826,3585,31
2009,LOOKDOWN,0.1,193,110,31
2009,"MACKEREL, CHUB",1.2,2740,780,31
2009,"MACKEREL, KING",490.7,1081768,1394562,31
2009,"MACKEREL, KING AND CERO",847.3,1867861,2204827,31
2009,"MACKEREL, SPANISH",832.3,1834827,962182,31
2009,MANTIS SHRIMPS,1.5,3295,6146,31
2009,MARGATE,4.3,9539,7999,31
2009,MENHADEN,454767,1002579318,60605774,31
2009,MOJARRAS,91.7,202151,162641,31
2009,"MULLET, STRIPED (LIZA)",5057.4,11149589,5912734,31
2009,"MULLET, WHITE",40.2,88709,57707,31
2009,MULLETS,29.2,64467,134932,31
2009,OCTOPUS,6,13332,16808,31
2009,OILFISH,5.3,11707,10948,31
2009,"OYSTER, EASTERN",10355,22828592,73464362,31
2009,PARROTFISHES,0.8,1822,1706,31
2009,PERMIT,6.5,14402,18774,31
2009,PIGFISH,4.8,10653,81291,31
2009,PINFISH,18.1,39886,236589,31
2009,POMFRETS,0.1,309,465,31
2009,"POMPANO, AFRICAN",0.4,852,1304,31
2009,"POMPANO, FLORIDA",119,262325,726440,31
2009,"PORGY, JOLTHEAD",3,6582,5680,31
2009,"PORGY, KNOBBED",0.4,773,737,31
2009,"PORGY, RED",111.2,245045,269861,31
2009,PUFFERS,1.3,2826,2046,31
2009,"RAY,STINGRAYS",2.8,6148,2488,31
2009,"ROSEFISH, BLACKBELLY",0.4,938,842,31
2009,"RUDDERFISH, BANDED",5.7,12520,9515,31
2009,"RUNNER, BLUE",44.1,97113,82890,31
2009,SAND PERCH,0.1,291,291,31
2009,"SARDINE, SPANISH",625.5,1378917,202436,31
2009,"SCAD, BIGEYE",62.9,138686,98161,31
2009,SCADS,196.2,432554,310866,31
2009,SCAMP,135.9,299543,980070,31
2009,"SCORPIONFISH, SPINYCHEEK",0.1,205,200,31
2009,SCORPIONFISHES,2.1,4713,4614,31
2009,SCUPS OR PORGIES,166.1,366223,386161,31
2009,"SEA BASS, BLACK",64.2,141517,148893,31
2009,"SEA BASS, ROCK",2.2,4869,5735,31
2009,SEA CATFISHES,2.1,4592,1277,31
2009,"SEATROUT, SAND",38.2,84274,62632,31
2009,"SEATROUT, SPOTTED",31.6,69709,154286,31
2009,"SHAD, GIZZARD",597.1,1316476,248136,31
2009,"SHAD, THREADFIN",1.9,4275,445,31
2009,"SHARK, ATLANTIC SHARPNOSE",12.6,27693,11210,31
2009,"SHARK, BLACKNOSE",4.3,9394,2810,31
2009,"SHARK, BLACKTIP",19.5,42924,10510,31
2009,"SHARK, BULL",48,105876,24982,31
