Year,Species,Metric Tons,Pounds,Revenue
2005,"SHRIMP, ROYAL RED",63.30,139464.00,289444.00
2005,"SHRIMP, WHITE",4604.70,10151473.00,20583200.00
2005,SKATES,14098.00,31080353.00,5192544.00
2005,SKIPPERS,5.80,12704.00,2500.00
2005,SNAILS (CONCHS),600.60,1324179.00,3249070.00
2005,"SNAPPER, CUBERA",0.70,1612.00,2644.00
2005,"SNAPPER, DOG",0.10,158.00,369.00
2005,"SNAPPER, GRAY",18.10,39861.00,86673.00
2005,"SNAPPER, LANE",2.30,5115.00,12067.00
2005,"SNAPPER, MUTTON",16.60,36488.00,89851.00
2005,"SNAPPER, QUEEN",0.00,44.00,98.00
2005,"SNAPPER, RED",52.00,114605.00,346433.00
2005,"SNAPPER, SILK",2.90,6303.00,16782.00
2005,"SNAPPER, VERMILION",439.20,968354.00,2490853.00
2005,"SNAPPER, YELLOWTAIL",51.10,112603.00,267372.00
2005,SNAPPERS,0.30,768.00,1236.00
2005,SPADEFISHES,26.00,57344.00,21369.00
2005,SPOT,2322.60,5120448.00,3310675.00
2005,"SQUID, LONGFIN",16950.50,37369067.00,28766828.00
2005,"SQUID, NORTHERN SHORTFIN",1361.10,3000699.00,898743.00
2005,SQUIDS,67.20,148075.00,79790.00
2005,SQUIRRELFISHES,0.90,2045.00,1956.00
2005,SUCKERS,0.80,1713.00,1455.00
2005,SUNFISHES,1.80,4027.00,4830.00
2005,SURGEONFISHES,0.20,361.00,735.00
2005,SWORDFISH,816.70,1800471.00,4817132.00
2005,TAUTOG,120.60,265949.00,528804.00
2005,THRESHER SHARKS,2.80,6131.00,4559.00
2005,TILAPIAS,3.50,7614.00,6770.00
2005,"TILEFISH, BLUELINE",34.90,77040.00,111376.00
2005,"TILEFISH, GOLDEN",788.90,1739138.00,3968444.00
2005,"TILEFISH, SAND",2.80,6256.00,9954.00
2005,TILEFISHES,0.30,711.00,327.00
2005,TOADFISHES,1.00,2178.00,2498.00
2005,TRIPLETAIL,2.80,6217.00,14396.00
2005,"TUNA, ALBACORE",70.90,156394.00,100937.00
2005,"TUNA, BIGEYE",240.30,529808.00,1746439.00
2005,"TUNA, BLACKFIN",14.50,31986.00,85788.00
2005,"TUNA, BLUEFIN",482.20,1062980.00,5431435.00
2005,"TUNA, LITTLE TUNNY",92.30,203434.00,57345.00
2005,"TUNA, SKIPJACK",2.30,5093.00,7209.00
2005,"TUNA, YELLOWFIN",474.40,1045903.00,1794543.00
2005,TUNAS,67.80,149554.00,283095.00
2005,"TURTLE, SLIDERS",0.00,20.00,17.00
2005,"TURTLE, SNAPPING",26.10,57476.00,49738.00
2005,"TURTLE, TERRAPIN",0.30,761.00,1177.00
2005,TURTLES,0.00,50.00,43.00
2005,WAHOO,15.80,34862.00,79937.00
2005,WALLEYE,0.10,300.00,648.00
2005,WEAKFISH,580.30,1279336.00,1078167.00
2005,"WHELK, KNOBBED",16.90,37301.00,12077.00
2005,"WHITEFISH, LAKE",0.00,91.00,229.00
2005,"WOLFFISH, ATLANTIC",109.60,241622.00,132033.00
2006,ALEWIFE,677.70,1493985.00,354839.00
2006,AMBERJACK,80.70,177929.00,142519.00
2006,"AMBERJACK, GREATER",53.00,116926.00,110647.00
2006,"AMBERJACK, LESSER",0.70,1542.00,1366.00
2006,BALLYHOO,148.60,327532.00,249651.00
2006,BARRACUDAS,41.00,90461.00,70864.00
2006,BARRELFISH,0.20,379.00,468.00
2006,"BASS, STRIPED",2978.40,6566182.00,14425897.00
2006,"BASS, WHITE",0.10,154.00,275.00
2006,BIGEYE,1.80,3868.00,3760.00
2006,BLOODWORMS,210.60,464295.00,5187629.00
2006,BLUEFISH,3141.20,6925100.00,2525415.00
2006,"BONITO, ATLANTIC",24.20,53253.00,77568.00
2006,BOWFIN,0.80,1784.00,129.00
2006,"BROTULA, BEARDED",0.10,123.00,176.00
2006,BURBOT,1.10,2348.00,2899.00
2006,BUTTERFISH,621.80,1370736.00,914296.00
2006,"CARP, COMMON",36.30,80106.00,17454.00
2006,CARPS AND MINNOWS,9.20,20331.00,42734.00
2006,"CATFISH, BLUE",51.50,113598.00,29241.00
2006,CATFISHES & BULLHEADS,1343.80,2962578.00,2150309.00
2006,"CLAM, ARC, BLOOD",15.80,34910.00,5632.00
2006,"CLAM, ATLANTIC JACKKNIFE",66.50,146687.00,671803.00
2006,"CLAM, ATLANTIC SURF",22302.60,49168247.00,29242955.00
2006,"CLAM, NORTHERN QUAHOG",4503.30,9927881.00,49420090.00
2006,"CLAM, OCEAN QUAHOG",8185.40,18045588.00,12216147.00
2006,"CLAM, QUAHOG",233.80,515541.00,3364519.00
2006,"CLAM, SOFTSHELL",2634.40,5807798.00,36488820.00
2006,CLAMS OR BIVALVES,11179.90,24647223.00,13943997.00
2006,COBIA,40.50,89233.00,195600.00
2006,"COD, ATLANTIC",5710.00,12588182.00,20440902.00
2006,"CRAB, ATLANTIC ROCK",1663.60,3667515.00,1625791.00
2006,"CRAB, BLUE",43742.80,96435358.00,77257000.00
2006,"CRAB, BLUE, PEELER",804.60,1773759.00,3354291.00
2006,"CRAB, BLUE, SOFT",183.90,405527.00,1865810.00
2006,"CRAB, BLUE, SOFT AND PEELER",11.90,26139.00,202100.00
2006,"CRAB, DEEPSEA GOLDEN",222.20,489792.00,779252.00
2006,"CRAB, DEEPSEA RED",1715.70,3782418.00,3437629.00
2006,"CRAB, FLORIDA STONE CLAWS",43.30,95519.00,501204.00
2006,"CRAB, GREEN",16.80,37030.00,44864.00
2006,"CRAB, HORSESHOE",612.40,1350094.00,719819.00
2006,"CRAB, JONAH",3043.50,6709617.00,3062395.00
2006,CRABS ,2621.40,5779045.00,3711569.00
2006,CRAPPIE,3.10,6847.00,8298.00
2006,"CROAKER, ATLANTIC",9358.70,20632219.00,9055617.00
2006,CUNNER,2.10,4520.00,9473.00
2006,CUSK,65.50,144309.00,110198.00
2006,"CUTLASSFISH, ATLANTIC",9.10,20165.00,43019.00
2006,DEALFISH,0.00,1.00,1.00
2006,DOLPHINFISH,217.90,480490.00,883107.00
2006,"DORY, AMERICAN JOHN",22.40,49483.00,41358.00
2006,"DRUM, BLACK",90.60,199762.00,65879.00
2006,"DRUM, FRESHWATER",1.40,3055.00,2596.00
2006,"DRUM, RED",77.70,171350.00,235501.00
2006,DRUMS,0.20,367.00,245.00
2006,"EEL, AMERICAN",346.30,763422.00,2027823.00
2006,"EEL, CONGER",37.40,82449.00,40896.00
2006,"EEL, MORAYS",0.10,183.00,255.00
2006,EELS,0.90,1882.00,4804.00
2006,ESCOLAR,1.90,4098.00,6522.00
2006,"FINFISHES, UNC BAIT AND ANIMAL FOOD",126.70,279365.00,172855.00
2006,"FINFISHES, UNC FOR FOOD",1664.90,3670389.00,1183590.00
2006,"FINFISHES, UNC GENERAL",1836.40,4048576.00,3097949.00
2006,FLATFISH,88.00,194074.00,454970.00
2006,"FLOUNDER, FOURSPOT",5.60,12452.00,7550.00
2006,"FLOUNDER, SOUTHERN",1037.80,2287933.00,4850217.00
2006,"FLOUNDER, SUMMER",6331.90,13959229.00,29764060.00
2006,"FLOUNDER, WINDOWPANE",102.50,225903.00,111430.00
2006,"FLOUNDER, WINTER",2744.70,6050949.00,12116863.00
2006,"FLOUNDER, WITCH",1863.20,4107718.00,8086601.00
2006,"FLOUNDER, YELLOWTAIL",1935.20,4266237.00,7088929.00
2006,"FLOUNDER,ATLANTIC,PLAICE",1106.40,2439208.00,4162126.00
2006,GAG,266.40,587290.00,1928075.00
2006,GARS,5.60,12250.00,833.00
2006,GOOSEFISH,14582.60,32148893.00,33574743.00
2006,"GROUPER, BLACK",5.70,12457.00,38397.00
2006,"GROUPER, RED",150.20,331145.00,855953.00
2006,"GROUPER, SNOWY",91.30,201220.00,531878.00
2006,"GROUPER, YELLOWEDGE",4.40,9675.00,30606.00
2006,"GROUPER, YELLOWFIN",4.10,9051.00,28271.00
2006,GROUPERS,0.60,1279.00,2687.00
2006,"GRUNT, WHITE",16.00,35219.00,40313.00
2006,GRUNTS,71.90,158569.00,143565.00
2006,HADDOCK,3266.30,7200995.00,11424257.00
2006,HAGFISHES,383.40,845138.00,359664.00
2006,"HAKE, ATLANTIC, RED/WHITE",4.30,9500.00,9529.00
2006,"HAKE, OFFSHORE SILVER",37.00,81602.00,43163.00
2006,"HAKE, RED",452.40,997389.00,396955.00
2006,"HAKE, SILVER",5491.70,12107007.00,6576861.00
2006,"HAKE, WHITE",1700.50,3749005.00,4263228.00
2006,"HALIBUT, ATLANTIC",15.90,35019.00,156125.00
2006,"HALIBUT, GREENLAND",0.20,489.00,2350.00
2006,HARVESTFISH,49.00,108004.00,132583.00
2006,"HERRING, ATLANTIC",120833.00,266388473.00,167561313.00
2006,"HERRING, ATLANTIC THREAD",12.60,27816.00,16125.00
2006,"HERRING, BLUEBACK",6.10,13408.00,3326.00
2006,HERRINGS,17.70,38935.00,7127.00
2006,"HIND, RED",7.50,16484.00,42038.00
2006,"HIND, ROCK",13.90,30560.00,108732.00
2006,"HIND, SPECKLED",0.00,62.00,163.00
2006,HOGFISH,12.60,27888.00,72854.00
2006,"JACK, ALMACO",44.60,98415.00,77536.00
2006,"JACK, BAR",0.40,989.00,911.00
2006,"JACK, CREVALLE",85.10,187590.00,153298.00
2006,"JACK, HORSE-EYE",0.10,140.00,99.00
2006,JACKS,8.40,18514.00,9926.00
2006,KING WHITING,530.50,1169527.00,1182199.00
2006,LADYFISH,8.30,18378.00,6869.00
2006,"LAUNCE, AMERICAN SAND",2.10,4537.00,20143.00
2006,LEATHERJACKETS,106.60,235039.00,283961.00
2006,"LOBSTER, AMERICAN",43599.30,96118933.00,404394801.00
2006,"LOBSTER, CARIBBEAN SPINY",184.40,406485.00,2462058.00
2006,"LOBSTER, SLIPPER",0.00,58.00,280.00
2006,LOOKDOWN,12.40,27389.00,25214.00
2006,"MACKEREL, ATLANTIC",56639.80,124868012.00,23882808.00
2006,"MACKEREL, KING",0.30,663.00,1093.00
2006,"MACKEREL, KING AND CERO",1719.80,3791521.00,6495154.00
2006,"MACKEREL, SPANISH",1647.10,3631118.00,2739882.00
2006,MARGATE,1.30,2766.00,2302.00
2006,"MARLIN, BLUE",0.00,20.00,8.00
2006,MENHADEN,183813.20,405234553.00,25607179.00
2006,MOJARRAS,121.90,268784.00,379641.00
2006,"MOONFISH, ATLANTIC",24.00,52855.00,50463.00
2006,"MULLET, STRIPED (LIZA)",1421.60,3134100.00,1862069.00
2006,"MULLET, WHITE",94.50,208282.00,116431.00
2006,MULLETS,4.90,10885.00,7996.00
2006,MUMMICHOG,2.10,4674.00,309835.00
2006,"MUSSEL, BLUE",3006.10,6627348.00,2973913.00
2006,OCTOPUS,2.60,5658.00,8227.00
2006,OILFISH,1.00,2283.00,1852.00
2006,"OYSTER, EASTERN",933.80,2058690.00,20093143.00
2006,"OYSTER, EUROPEAN FLAT",0.30,737.00,9568.00
2006,PARROTFISHES,0.30,627.00,1361.00
2006,"PERCH, WHITE",455.10,1003258.00,858268.00
2006,"PERCH, YELLOW",49.50,109112.00,174664.00
2006,PERIWINKLES,55.70,122795.00,267168.00
2006,PERMIT,0.60,1369.00,1955.00
2006,PIGFISH,18.60,40978.00,12456.00
2006,PINFISH,34.90,77000.00,64568.00
2006,"PINFISH, SPOTTAIL",8.70,19172.00,20067.00
2006,POLLOCK,6058.90,13357378.00,7839988.00
2006,"POMPANO, AFRICAN",2.30,5115.00,9565.00
2006,"POMPANO, FLORIDA",68.70,151482.00,647120.00
2006,"PORGY, JOLTHEAD",0.50,1106.00,1174.00
2006,"PORGY, KNOBBED",10.10,22170.00,20307.00
2006,"PORGY, RED",36.00,79344.00,123560.00
2006,"POUT, OCEAN",4.50,10008.00,6082.00
2006,"PUFFER, NOTHERN",1.00,2194.00,3196.00
2006,PUFFERS,3.70,8094.00,6332.00
2006,"REDFISH, ACADIAN",499.30,1100665.00,797385.00
2006,"ROSEFISH, BLACKBELLY",21.80,48098.00,56590.00
2006,"RUDDERFISH, BANDED",13.50,29809.00,21897.00
2006,"RUNNER, BLUE",60.40,133229.00,117517.00
2006,SANDWORMS,149.00,328499.00,1756366.00
2006,"SCAD, BIGEYE",7.00,15379.00,237048.00
2006,"SCALLOP, BAY",41.80,92186.00,1233537.00
2006,"SCALLOP, SEA",27271.50,60122764.00,386341021.00
2006,SCALLOPS,0.10,180.00,1574.00
2006,SCAMP,154.50,340593.00,1157877.00
2006,SCULPINS,0.20,445.00,45.00
2006,SCUP,4108.30,9057067.00,8344552.00
2006,SCUPS OR PORGIES,5.80,12732.00,10953.00
2006,"SEA BASS, BANK",0.40,901.00,1619.00
2006,"SEA BASS, BLACK",1368.70,3017539.00,8052410.00
2006,"SEA BASS, ROCK",0.30,583.00,205.00
2006,SEA RAVEN,0.70,1536.00,1107.00
2006,SEA URCHINS,1529.40,3371752.00,4741050.00
2006,SEAROBINS,16.80,37121.00,9689.00
2006,"SEATROUT, SAND",0.40,949.00,1960.00
2006,"SEATROUT, SPOTTED",181.00,398929.00,561747.00
2006,SEAWEEDS,66.00,145461.00,55427.00
2006,"SHAD, AMERICAN",245.80,541938.00,530033.00
2006,"SHAD, GIZZARD",218.10,480822.00,45036.00
2006,"SHAD, HICKORY",37.50,82597.00,21085.00
2006,"SHARK, ATLANTIC SHARPNOSE",172.70,380745.00,131769.00
2006,"SHARK, BLACKNOSE",35.50,78241.00,33803.00
2006,"SHARK, BLACKTIP",226.10,498535.00,161167.00
2006,"SHARK, BONNETHEAD",8.70,19136.00,9452.00
2006,"SHARK, BULL",14.00,30805.00,9637.00
2006,"SHARK, DOGFISH",287.20,633075.00,203039.00
2006,"SHARK, DUSKY",0.00,33.00,17.00
2006,"SHARK, FINETOOTH",11.90,26225.00,11043.00
2006,"SHARK, HAMMERHEAD",48.00,105825.00,29473.00
2006,"SHARK, LEMON",3.00,6724.00,2381.00
2006,"SHARK, LONGFIN MAKO",0.00,1.00,1.00
2006,"SHARK, MAKOS",9.90,21929.00,26326.00
2006,"SHARK, PORBEAGLE",1.80,3941.00,2245.00
2006,"SHARK, SAND TIGER",1.00,2310.00,388.00
2006,"SHARK, SANDBAR",505.90,1115227.00,440696.00
2006,"SHARK, SHORTFIN MAKO",46.80,103099.00,86196.00
2006,"SHARK, SMOOTH DOGFISH",406.80,896927.00,298320.00
2006,"SHARK, SPINY DOGFISH",2187.20,4821815.00,1105043.00
2006,"SHARK, THRESHER",16.10,35510.00,14082.00
2006,"SHARK, TIGER",27.90,61490.00,17981.00
2006,"SHARK, WHITE",0.10,122.00,31.00
2006,SHARKS,169.20,373021.00,1238311.00
2006,SHEEPSHEAD,102.60,226239.00,205760.00
2006,SHELLFISH,7935.30,17494083.00,9591568.00
2006,"SHRIMP, BROWN",1382.00,3046798.00,5010256.00
2006,"SHRIMP, MARINE, OTHER",310.50,684613.00,2317641.00
2006,"SHRIMP, PENAEID",0.00,4.00,20.00
2006,"SHRIMP, PINK",420.70,927521.00,907585.00
2006,"SHRIMP, ROCK",1338.60,2951078.00,4171062.00
2006,"SHRIMP, ROYAL RED",72.30,159353.00,308141.00
2006,"SHRIMP, WHITE",6494.70,14318253.00,26965172.00
2006,"SHRIMP,PANDALID",2014.50,4441101.00,1606775.00
2006,SILVERSIDES,2.90,6500.00,6568.00
2006,"SKATE, LITTLE",3141.30,6925310.00,578730.00
2006,SKATES,12997.90,28655089.00,6317847.00
2006,SKIPPERS,6.00,13220.00,3294.00
2006,SNAILS (CONCHS),289.70,638750.00,1032049.00
2006,"SNAPPER, CUBERA",1.50,3400.00,6307.00
2006,"SNAPPER, DOG",0.10,215.00,500.00
2006,"SNAPPER, GRAY",11.70,25714.00,61133.00
2006,"SNAPPER, LANE",2.00,4403.00,11313.00
2006,"SNAPPER, MUTTON",11.30,24820.00,64336.00
2006,"SNAPPER, QUEEN",0.30,584.00,1439.00
2006,"SNAPPER, RED",35.20,77639.00,260756.00
2006,"SNAPPER, SILK",1.30,2838.00,7873.00
