Stock,SciName,wt_mean_sp_price,NumStocks,FiveYr_mean_stockprice,yrs
Nova Scotia Shrimp,Pandalus borealis,1306.478393,5,1514.534979,2006-2010
New Brunswick Shrimp,Pandalus borealis,1306.478393,5,857.4488354,2006-2010
Quebec Shrimp,Pandalus borealis,1306.478393,5,981.1109432,2006-2010
Newfoundland Shrimp,Pandalus borealis,1306.478393,5,1364.406307,2006-2010
GeBank/GoMaine Atlantic pollock,Pollachius virens,1326.949213,5,1327.296,2006-2010
Nova Scotia Pollock,Pollachius virens,1326.949213,5,768.6290103,2006-2010
New Brunswick Pollock,Pollachius virens,1326.949213,5,801.9310274,2006-2010
Newfoundland Pollock,Pollachius virens,1326.949213,5,545.2018244,2006-2010
"Pollock ICES IIIa, VI and North Sea",Pollachius virens,1326.949213,5,1358.988195,2007-2011
USWC starry flounder (northern),Platichthys stellatus,1351.904574,2,943.1109123,2008-2012
USWC starry flounder (southern),Platichthys stellatus,1351.904574,2,1699.845399,2008-2012
USEC spiny dogfish,Squalus acanthias,1415.343658,6,494.5448,2006-2010
USWC spiny dogfish,Squalus acanthias,1415.343658,6,490.954439,2008-2012
Nova Scotia Dogfish,Squalus acanthias,1415.343658,6,500.3428515,2006-2010
BC spiny dogfish inside,Squalus acanthias,1415.343658,6,333.7929222,2006-2010
BC spiny dogfish outside,Squalus acanthias,1415.343658,6,333.7929222,2006-2010
EU dogfish,Squalus acanthias,1415.343658,6,2000,2007-2011
GoMex Spanish mackerel,Scomberomorus maculatus,1743.481429,2,1448.254,2007-2011
sAtl Spanish mackerel,Scomberomorus maculatus,1743.481429,2,1847.358,2007-2011
Whiting ICES VIId and North Sea,Merlangius merlangus,1876.367701,4,1870.027551,2007-2011
Whiting ICES IIIa (Skagerrak-Kattegat),Merlangius merlangus,1876.367701,4,1488.458316,2007-2011
Whiting ICES VIa,Merlangius merlangus,1876.367701,4,1796.096145,2007-2011
Whiting ICES VIIe-k,Merlangius merlangus,1876.367701,4,1909.901657,2007-2011
USWC lingcod (northern),Ophiodon elongatus,1878.573762,6,2256.76328,2008-2012
USWC lingcod (southern),Ophiodon elongatus,1878.573762,6,3859.536675,2008-2012
BC lingcod 3C,Ophiodon elongatus,1878.573762,6,1779.983146,2006-2010
BC lingcod 3D,Ophiodon elongatus,1878.573762,6,1779.983146,2006-2010
BC lingcod 5AB,Ophiodon elongatus,1878.573762,6,1779.983146,2006-2010
BC lingcod 5CDE,Ophiodon elongatus,1878.573762,6,1779.983146,2006-2010
WA green sea urchin,Strongylocentrotus droebachiensis,1962.616597,6,2269.375272,2006-2010
Nova Scotia Sea urchin,Strongylocentrotus droebachiensis,1962.616597,6,2193.998049,2006-2010
New Brunswick Sea urchin,Strongylocentrotus droebachiensis,1962.616597,6,2205.2167,2006-2010
Quebec Sea urchin,Strongylocentrotus droebachiensis,1962.616597,6,1386.120283,2006-2010
Newfoundland Sea urchin,Strongylocentrotus droebachiensis,1962.616597,6,1057.900109,2006-2010
BC green sea urchin,Strongylocentrotus droebachiensis,1962.616597,6,3041.142311,2005-2009
GeBank haddock TRAC,Melanogrammus aeglefinus,2091.499488,9,2809.09,2006-2010
GoMaine haddock,Melanogrammus aeglefinus,2091.499488,9,2809.09,2006-2010
Nova Scotia Haddock,Melanogrammus aeglefinus,2091.499488,9,1339.834637,2006-2010
Newfoundland Haddock,Melanogrammus aeglefinus,2091.499488,9,790.4612758,2006-2010
Haddock Irish Sea,Melanogrammus aeglefinus,2091.499488,9,2178.517123,2007-2011
Haddock ICES IIIa and North Sea,Melanogrammus aeglefinus,2091.499488,9,2112.688202,2007-2011
Haddock Rockall Bank,Melanogrammus aeglefinus,2091.499488,9,2159.938757,2007-2011
Haddock West of Scotland,Melanogrammus aeglefinus,2091.499488,9,2164.104856,2007-2011
Haddock ICES VIIb-k,Melanogrammus aeglefinus,2091.499488,9,2207.76649,2007-2011
European Plaice ICES IIIa,Pleuronectes platessa,2160.289527,6,2154.33288,2007-2011
European Plaice ICES VIId,Pleuronectes platessa,2160.289527,6,2278.454459,2007-2011
European Plaice ICES VIIe,Pleuronectes platessa,2160.289527,6,2232.867198,2007-2011
European Plaice ICES VIIf-g,Pleuronectes platessa,2160.289527,6,2335.181891,2007-2011
European Plaice Irish Sea,Pleuronectes platessa,2160.289527,6,2342.293809,2007-2011
European Plaice North Sea,Pleuronectes platessa,2160.289527,6,2148.726656,2007-2011
BSAI Greenland halibut,Reinhardtius hippoglossoides,2161.486608,5,808.8151434,2008-2012
Nova Scotia Greenland turbot,Reinhardtius hippoglossoides,2161.486608,5,1925.73248,2006-2010
New Brunswick Greenland turbot,Reinhardtius hippoglossoides,2161.486608,5,1614.594399,2006-2010
Quebec Greenland turbot,Reinhardtius hippoglossoides,2161.486608,5,1790.375032,2006-2010
Newfoundland Greenland turbot,Reinhardtius hippoglossoides,2161.486608,5,2757.935101,2006-2010
GoMex greater amberjack,Seriola dumerili,2250.992982,2,2395.556,2007-2011
sAtl greater amberjack,Seriola dumerili,2250.992982,2,2144.9624,2007-2011
GOA shortspine thornyhead,Sebastolobus alascanus,2321.3754,3,2165.078166,2008-2012
USWC shortspine thornyhead,Sebastolobus alascanus,2321.3754,3,2757.856773,2008-2012
BC shortspine thornyheads,Sebastolobus alascanus,2321.3754,3,1516.203234,2006-2010
nGeBank/GoMaine monkfish,Lophius americanus,2419.159,2,2419.159,2006-2010
sGeBank/midAtl monkfish,Lophius americanus,2419.159,2,2419.159,2006-2010
GOA yelloweye rockfish,Sebastes ruberrimus,2449.63608,3,2394.623566,2008-2012
USWC yelloweye rockfish,Sebastes ruberrimus,2449.63608,3,2169.090476,2008-2012
BC yelloweye rockfish,Sebastes ruberrimus,2449.63608,3,4704.303193,2006-2010
USWC petrale sole,Eopsetta jordani,2483.287073,2,2629.661673,2008-2012
BC petrale sole,Eopsetta jordani,2483.287073,2,2108.144644,2006-2010
GeBank Atlantic cod TRAC,Gadus morhua,2775.596602,14,3396.25,2006-2010
GoMaine Atlantic cod,Gadus morhua,2775.596602,14,3396.25,2006-2010
Nova Scotia Atlantic Cod,Gadus morhua,2775.596602,14,1849.808654,2006-2010
New Brunswick Atlantic Cod,Gadus morhua,2775.596602,14,1549.457808,2006-2010
PEI Atlantic Cod,Gadus morhua,2775.596602,14,1220.883557,2006-2010
Quebec Atlantic Cod,Gadus morhua,2775.596602,14,1070.576823,2006-2010
Newfoundland Atlantic Cod,Gadus morhua,2775.596602,14,1163.27872,2006-2010
"Atlantic cod North Sea (IV, IIIaNorth, VIId)",Gadus morhua,2775.596602,14,3635.287722,2007-2011
Atlantic cod Baltic Areas 22 and 24,Gadus morhua,2775.596602,14,3237.463051,2007-2011
Atlantic cod Baltic Areas 25-32,Gadus morhua,2775.596602,14,2469.855373,2007-2011
Atlantic cod Irish Sea,Gadus morhua,2775.596602,14,4008.887876,2007-2011
Atlantic cod Kattegat,Gadus morhua,2775.596602,14,2906.169296,2007-2011
