Species_AFSIS
Aba
Chilean mussel
Chilean nylon shrimp
Chilean sandperch
Chilean sea urchin
Chilean semele
Chilean silverside
Chilipepper rockfish
"Chimaeras, etc. nei"
Chinese gizzard shad
Chinese mitten crab
Chinese softshell turtle
Chinook(=Spring=King) salmon
Chocolate hind
Choicy ruff
Chola guitarfish
Cholga mussel
Choro mussel
Chub
Chub mackerel
Chubs nei
Chum(=Keta=Dog) salmon
Cichlids nei
Citharids nei
Citharinus nei
"Clams, etc. nei"
Climbing perch
Clown loach
Clupeoids nei
Cnidarians nei
Cobia
Cockles nei
Coho(=Silver) salmon
Comber
Combers nei
Comet grouper
Commercial top
Common Atlantic grenadier
Common European bittersweet
Common bluestripe snapper
Common carp
Common cuttlefish
Common dab
Common dace
Common dentex
Common dolphinfish
Common eagle ray
Common edible cockle
Common goby
Common guitarfish
Common mora
Common nase
Common octopus
Common pandora
