"","Country","Stocks","TotalMSY","TotalCatch","MedianB","MedianF","PercBvBmsyBelowOne","PercFvFmsyAboveOne","NeiCatch","NeiStocks","FaoCatch","FaoFisheries","PercCatchCovered","PercFisheriesCovered"
"21","Bulgaria",13,6027.28359812072,3618,0.634392404965221,1.28654950902585,76.9230769230769,53.8461538461538,NA,NA,8115,197,44.5841035120148,6.5989847715736
"11","Bahrain",17,5944.79349533145,8227,0.78238948949093,1.19265047250026,70.5882352941177,58.8235294117647,987,12,27090,62,30.3691399040236,27.4193548387097
"54","Finland",8,5783.94899594592,4283,0.492303292916612,1.31408408345486,100,75,NA,NA,132694,16,3.22772695072874,50
"92","Liberia",33,5442.29575343965,4439,0.676500010036437,1.05845726400893,69.6969696969697,63.6363636363636,2542,18,7300,76,60.8082191780822,43.421052631579
"34","Cook Islands",8,5199.68560887275,2987,0.804812837619987,0.943825442438546,62.5,50,150,5,4200,55,71.1190476190476,14.5454545454545
"49","Eritrea",14,4872.46276593917,3970,0.789384949519532,1.03539460621875,57.1428571428571,64.2857142857143,3870,12,4152,49,95.616570327553,28.5714285714286
"40","Democratic Republic of the Congo",7,4366.13092462999,2670,0.651424606993616,1.13413985263475,85.7142857142857,71.4285714285714,2550,5,6000,21,44.5,33.3333333333333
"80","Isle of Man",10,4354.90261437999,6150,0.693898975513576,1.07999358909616,60,60,17,2,6172,41,99.6435515230071,24.390243902439
"74","Honduras",8,4348.96933876352,2713,0.501703601756764,1.40977929612359,62.5,62.5,1158,4,8331,68,32.5651182331053,11.7647058823529
"87","Kenya",15,4283.40743884729,3600,0.727493022207203,1.23649729354016,73.3333333333333,66.6666666666667,3070,13,8644,31,41.64738546969,48.3870967741936
"71","Guinea-Bissau",19,4281.54303714387,3502,0.671810996033667,0.963672204855651,78.9473684210526,47.3684210526316,2454,10,6400,32,54.71875,59.375
