,IdOrig,SciName,CommName,Country,Year,Policy,Dbase,IdLevel,BvBmsy,FvFmsy,Catch,MSY,Profits,Biomass,Price,MarginalCost,SpeciesCatName,RegionFAO
372224,ASMFC-ATLCROAKMATLC-1973-2002-STANTON,Micropogonias undulatus,Atlantic croaker Mid-Atlantic Coast,USA,2012,Historic,RAM,Species,1.99,0.282,16300,19477.78499,14984490.69,132421.764,1503.069022,36994896.14,Miscellaneous coastal fishes,"21,31"
372256,ASMFC-LOBSTERGB-1981-2007-STANTON,Homarus americanus,American lobster Georges Bank,USA,2012,Historic,RAM,Species,1.42,0.597,2060,2437.676004,15375579.89,2659.886173,8798.309895,3896190.276,"Lobsters, spiny-rock lobsters",21
372288,ASMFC-LOBSTERGOM-1981-2007-STANTON,Homarus americanus,American lobster Gulf of Maine,USA,2012,Historic,RAM,Species,0.581,1.6,32700,35175.45925,141821634.9,20044.5,8798.309895,77210919.36,"Lobsters, spiny-rock lobsters",21
372320,ASMFC-LOBSTERSNE-1981-2007-STANTON,Homarus americanus,American lobster Southern New England,USA,2012,Historic,RAM,Species,0.12,1.26,2440,16166.06416,-27638364.15,8609.91936,8798.309895,252561839.9,"Lobsters, spiny-rock lobsters",21
372373,ASMFC-PANDALGOM-1960-2009-IDOINE,Pandalus borealis,Northern shrimp Gulf of Maine,USA,2012,Historic,RAM,Species,1.57,0.61,4780,4993.744384,7683601.431,28105.70632,1869.238483,12557023.48,"Shrimps, prawns",21
372396,CBP-BCRABCHESB-1990-2010-HIVELY,Callinectes sapidus,Blue Crab Chesapeake Bay,USA,2012,Historic,RAM,Species,1.07,0.628,24400,36110.66313,65566210.66,277971.1309,3411.590862,409877022.7,"Crabs, sea-spiders",2
372414,CCAMLR-ATOOTHFISHRS-1995-2007-JENSEN,Dissostichus mawsoni,Antarctic toothfish Ross Sea,Multinational,2012,Historic,RAM,Species,1.99,0.322,3080,3105.3982,9106510.623,37416.2992,5037.415671,41593863.04,Miscellaneous demersal fishes,88
372477,CCSBT-SC-SBT-1950-2011-CHING,Thunnus maccoyii,Southern bluefin tuna Southern Oceans,Multinational,2012,Historic,RAM,Species,0.23,0.76,9510,34547.1,-1279837.273,87587.25485,8658.010847,1733038566,"Tunas, bonitos, billfishes","21,31"
372532,CSIRO-BIGHTREDSE-1958-2007-FULTON,Centroberyx gerrardi,Bight redfish Southeast Australia,Australia,2012,Historic,RAM,Species,0.983,1.07,1020,2154.489046,2793065.36,52946.5683,1678.317498,60747303.13,Miscellaneous demersal fishes,"57,81"
372567,CSIRO-DEEPFLATHEADSE-1978-2007-FULTON,Platycephalus conatus,Deepwater flathead Southeast Australia,Australia,2012,Historic,RAM,Species,1.43,1.1,1040,752.362105,1770429.917,9297.507772,1833.536062,5824888.639,Miscellaneous coastal fishes,"57,81"
372614,CSIRO-GEMFISHSE-1966-2007-FULTON,Rexea solandri,common gemfish Southeast Australia,Australia,2012,Historic,RAM,Species,0.249,0.0462,102,1860.538899,5598.558858,4152.766256,442.2144925,3643405.464,Miscellaneous demersal fishes,"57,81"
372677,CSIRO-MORWONGSE-1913-2007-FULTON,Nemadactylus macropterus,Jackass morwong Southeast Australia,Australia,2012,Historic,RAM,Species,0.313,1.78,396,737.6984133,15876.86492,4564.808035,1368.908302,12503710.69,Miscellaneous demersal fishes,"57,81"
372722,CSIRO-NZLINGESE-1968-2007-FULTON,Genypterus blacodes,New Zealand ling Eastern half of Southeast Australia,Australia,2012,Historic,RAM,Species,0.59,2.23,736,257.2560977,265829.2139,4157.49619,1751.526554,8524470.333,Miscellaneous demersal fishes,"57,81"
372767,CSIRO-NZLINGWSE-1968-2007-FULTON,Genypterus blacodes,New Zealand ling Western half of Southeast Australia,Australia,2012,Historic,RAM,Species,1.08,0.219,465,1198.432109,421900.5987,8089.416732,1751.526554,5816487.014,Miscellaneous demersal fishes,57
372793,CSIRO-OROUGHYCASCADE-1987-2006-FULTON,Hoplostethus atlanticus,Orange roughy Cascade Plateau,Australia,2012,Historic,RAM,Species,1.99,0.557,800,1248.286806,1232875.8,61715.01764,998.7740467,20775841.73,Miscellaneous demersal fishes,57
372828,CSIRO-OROUGHYSE-1978-2007-FULTON,Hoplostethus atlanticus,Orange roughy Southeast Australia,Australia,2012,Historic,RAM,Species,0.478,1.7,772,2067.932275,624989.1584,18055.4777,998.7740467,23074289.96,Miscellaneous demersal fishes,"57,81"
372866,CSIRO-PTOOTHFISHMI-1975-2010-FAY,Dissostichus eleginoides,Patagonian toothfish Macquarie Island,Australia,2012,Historic,RAM,Species,1.99,0.194,68.7,184.369,330365.2141,4533.709918,5037.415671,6242647.975,Miscellaneous demersal fishes,81
372901,CSIRO-SILVERFISHSE-1978-2006-FULTON,Seriolella punctata,Silverfish Southeast Australia,Australia,2012,Historic,RAM,Species,1.03,0.184,2590,1217.012648,268538.7645,13551.74006,1368.908302,9411906.352,Miscellaneous demersal fishes,"57,81"
372964,CSIRO-SWHITSE-1945-2007-FULTON,Sillago flindersi,School whiting Southeast Australia,Australia,2012,Historic,RAM,Species,0.663,2.9,1520,629.5289103,1040587.498,4967.871394,1833.536062,7389672.499,Miscellaneous coastal fishes,"57,81"
373027,CSIRO-TIGERFLATSE-1913-2006-FULTON,Neoplatycephalus richardsoni,Tiger flathead Southeast Australia,Australia,2012,Historic,RAM,Species,1.99,0,3200,1740.174451,0,25332.05936,1833.536062,10848278.97,Miscellaneous coastal fishes,"57,81"
373056,CSIRO-WAREHOUESE-1984-2006-FULTON,Seriolella brama,Blue Warehou Eastern half of Southeast Australia,Australia,2012,Historic,RAM,Species,0.488,0.847,172,383.7457697,108824.566,1101.576092,1368.908302,1345305.565,Miscellaneous demersal fishes,"57,81"
373085,CSIRO-WAREHOUWSE-1984-2006-FULTON,Seriolella brama,Blue Warehou Western half of Southeast Australia,Australia,2012,Historic,RAM,Species,0.413,6,600,324.6671762,-66552.56759,1006.374845,1368.908302,1562363.406,Miscellaneous demersal fishes,57
373148,DFO-CROCKWCVANISOGQCI-1945-2009-STANTON,Sebastes pinniger,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Canada,2012,Historic,RAM,Species,1.37,0.737,800,713.7922747,437019.6208,8427.368994,730.9367972,2195117.272,Miscellaneous demersal fishes,67
373203,DFO-MAR-COD4VsW-1958-2002-PREFONTAINE,Gadus morhua,Atlantic cod NAFO 4VsW,Canada,2012,Historic,RAM,Species,0.0814,0.0237,83,41561.90552,-3839.084586,10508.50183,2100.902985,97493409.89,"Cods, hakes, haddocks",21
373263,DFO-MAR-COD4X-1953-2008-HIVELY,Gadus morhua,Atlantic cod NAFO 4X,Canada,2012,Historic,RAM,Species,0.0367,2.42,4130,46441.67604,-70086256.88,12976.18048,2100.902985,349417995.5,"Cods, hakes, haddocks",21
373306,DFO-MAR-HAD4X5Y-1970-2011-CHING,Melanogrammus aeglefinus,Haddock NAFO-4X5Y,Canada,2012,Historic,RAM,Species,0.822,0.305,5440,14700,3751856.958,60408.53504,1301.7755,39666319.31,"Cods, hakes, haddocks",21
373369,DFO-NFLD-COD2J3KL-1850-2011-CHING,Gadus morhua,Atlantic cod NAFO 2J3KL,Canada,2012,Historic,RAM,Species,0.0494,0.241,2480,23602.7,-1404801.111,11659.7338,2100.902985,253136203.7,"Cods, hakes, haddocks",21
373423,DFO-NFLD-COD3Ps-1959-2011-CHING,Gadus morhua,Atlantic cod NAFO 3Ps,Canada,2012,Historic,RAM,Species,0.779,0.146,4320,37840.87448,7374558.678,30660.32474,2100.902985,21406975.29,"Cods, hakes, haddocks",21
373459,DFO-NFLD-MONK2J3KLNOPs-1977-2000-PREFONTAINE,Lophius americanus,Monkfish Labrador Shelf - Grand Banks - St. Pierre Bank,Canada,2012,Historic,RAM,Species,1.99,0.0413,126,1425.564131,358848.2024,2410.863221,3222.055635,951127.918,Miscellaneous demersal fishes,21
373494,DFO-NFLD-SCALLGB-1978-2007-ANDERSON,Placopecten magellanicus,Sea scallop Georges Bank,Canada,2012,Historic,RAM,Species,1.79,0.368,4000,6060.29031,6174836.347,26063.18529,1719.5472,7905243.389,"Scallops, pectens",21
373512,DFO-NFLD-SNOWCRAB2J-1995-2008-ANDERSON,Chionoecetes opilio,Snow Crab Division 2J,Canada,2012,Historic,RAM,Species,0.36,1.65,2410,4064.347539,1433918.546,1731.079643,3411.590862,4414333.927,"Crabs, sea-spiders",21
373530,DFO-NFLD-SNOWCRAB3K-1995-2008-ANDERSON,Chionoecetes opilio,Snow Crab Division 3K,Canada,2012,Historic,RAM,Species,1.6,0.515,11600,14118.4366,34488143.08,14354.27837,3411.590862,6834823.975,"Crabs, sea-spiders",21
373548,DFO-NFLD-SNOWCRAB3NO-1995-2008-ANDERSON,Chionoecetes opilio,Snow Crab Division 3NO,Canada,2012,Historic,RAM,Species,0.437,2.29,4390,4382.912079,3730704.976,1666.148488,3411.590862,3191660.136,"Crabs, sea-spiders",21
373566,DFO-NFLD-SNOWCRAB3Ps-1995-2008-ANDERSON,Chionoecetes opilio,Snow Crab Division 3Ps,Canada,2012,Historic,RAM,Species,0.257,2.77,3180,4452.881377,-3800708.15,353.9513539,3411.590862,845404.9256,"Crabs, sea-spiders",21
373629,DFO-PAC-ESOLEHS-1944-2001-COLLIE,Parophrys vetulus,English sole Hecate Strait,Canada,2012,Historic,RAM,Species,1.44,0.326,414,880.3487644,368833.1599,3402.866497,1022.232513,831126.2229,"Flounders, halibuts, soles",67
373691,DFO-PAC-HERRCC-1951-2007-COLLIE,Clupea pallasii,Pacific herring Central Coast,Canada,2012,Historic,RAM,Species,0.414,0.075,398,9602.157465,74502.76335,11163.35487,349.062214,3282550.957,"Herrings, sardines, anchovies",67
373753,DFO-PAC-HERRQCI-1951-2007-COLLIE,Clupea pallasii,Pacific herring Queen Charlotte Islands,Canada,2012,Historic,RAM,Species,0.437,0,0,6485.136358,0,9159.181194,349.062214,2661346.741,"Herrings, sardines, anchovies",67
373815,DFO-PAC-HERRSOG-1951-2007-COLLIE,Clupea pallasii,Pacific herring Straight of Georgia,Canada,2012,Historic,RAM,Species,1.45,0.196,9820,25856.79949,2287498.83,75285.96105,349.062214,5715665.21,"Herrings, sardines, anchovies",67
373877,DFO-PAC-HERRWCVANI-1951-2007-COLLIE,Clupea pallasii,Pacific herring West Coast of Vancouver Island,Canada,2012,Historic,RAM,Species,0.0468,0,0,10763.15145,0,2143.326152,349.062214,6315426.935,"Herrings, sardines, anchovies",67
373934,DFO-PAC-PCODHS-1956-2005-COLLIE,Gadus macrocephalus,Pacific cod Hecate Strait,Canada,2012,Historic,RAM,Species,1.08,0.167994325,400,2204.66001,712048.0227,9569.88,2066.840124,7112438.638,"Cods, hakes, haddocks",67
373991,DFO-PAC-PCODWCVANI-1956-2002-COLLIE,Gadus macrocephalus,Pacific cod West Coast of Vancouver Island,Canada,2012,Historic,RAM,Species,0.668,0.469,339,1119.163137,503522.9912,4496.308,2066.840124,6097178.522,"Cods, hakes, haddocks",67
374054,DFO-PAC-RSOLEHSTR-1945-2001-COLLIE,Lepidopsetta bilineata,Rock sole Hecate Strait,Canada,2012,Historic,RAM,Species,0.984,0.489,575,1195.244587,464572.1011,4852.260862,1022.232513,1973026.815,"Flounders, halibuts, soles",67
374117,DFO-PAC-SABLEFPCAN-1913-2010-HIVELY,Anoplopoma fimbria,Sablefish Pacific Coast of Canada,Canada,2012,Historic,RAM,Species,0.785,1.14,2080,3230,7329800.521,25663.78573,3836.258463,64256943.57,Miscellaneous demersal fishes,67
374156,DFO-POLL4VWX5-1974-2008-CHING,Pollachius virens,Pollock NAFO-4VWX5,Canada,2012,Historic,RAM,Species,0.565,0.24,5450,40135.22961,4662112.133,26181.66032,1215.299399,15043382.31,"Cods, hakes, haddocks",21
374205,DFO-QUE-COD3Pn4RS-1964-2012-CHING,Gadus morhua,Atlantic cod NAFO 3Pn4RS,Canada,2012,Historic,RAM,Species,0.0152,1.61,3580,155254.1994,-147009972.7,36219.09673,2100.902985,2906041453,"Cods, hakes, haddocks",21
374268,DFO-SG-COD4TVn-1930-2011-CHING,Gadus morhua,Atlantic cod NAFO 4TVn,Canada,2012,Historic,RAM,Species,0.0495,0.0447,158,71560.3723,-344154.267,34346.7925,2100.902985,737320115.8,"Cods, hakes, haddocks",21
374297,DFO-SG-SNOWCRABSGSL-1984-2007-ANDERSON,Chionoecetes opilio,Snow crab Southern Gulf of St. Lawrence,Canada,2012,Historic,RAM,Species,1.1,0.955,23200,22221.11862,61368778.31,50830.08139,3411.590862,50241234.41,"Crabs, sea-spiders",21
374360,DPIF-MULLQNSW-1945-2003-BANOBI,Mugil cephalus,Sea Mullet Queensland and New South Wales,Australia,2012,Historic,RAM,Species,1.53,0.342,4220,8287.283012,6987296.328,35150.63737,1833.536062,14634122.59,Miscellaneous coastal fishes,"71,81"
374379,EWG-BS-WHITBLACK-1994-2011-HIVELY,Merlangius merlangus,Whiting Black Sea,Multinational,2012,Historic,RAM,Species,1.57,1.66,8220,4287.69302,8856138.315,60123.14378,978.0910993,18483466.19,"Cods, hakes, haddocks",37
374411,FAJ-APOLLPJPN-1981-2009-ONO,Theragra chalcogramma,Alaskan Pollock Pacific Coast of Japan,Japan,2012,Historic,RAM,Species,0.17,2.23,170000,447648.6704,-103663818.7,873963.2,668.0475509,1827554163,"Cods, hakes, haddocks",61
374432,FAJ-BMACKECS-1992-2010-ONO,Scomber australasicus,Blue mackerel East China Sea,Japan,2012,Historic,RAM,Species,0.735,0.854,40000,63761.05052,11495858.18,132068.3326,429.9951174,26974178.41,Miscellaneous pelagic fishes,61
374450,FAJ-BMACKPJPN-1995-2009-ONO,Scomber australacius,Blue mackerel Pacific Coast of Japan,Japan,2012,Historic,RAM,Species,0.943,1.03,177000,181924.149,55182264.82,529010.2669,429.9951174,86520919.71,Miscellaneous pelagic fishes,61
374483,FAJ-BRMSOJ-1980-2010-ONO,Dentex tumifrons,Yellow sea bream Sea of Japan,Japan,2012,Historic,RAM,Species,0.159,1.13,1220,6725.185762,-2302533.462,5544.59712,2847.466768,41624467.34,Miscellaneous coastal fishes,61
374526,FAJ-CMACKPJPN-1970-2009-ONO,Scomber japonicus,Chub mackerel Pacific Coast of Japan,Japan,2012,Historic,RAM,Species,0.118,1.45,127000,744995.6988,-225032174.2,683857.3507,1239.82642,3401808806,Miscellaneous pelagic fishes,61
374566,FAJ-CMACKTSST-1973-2010-ONO,Scomber japonicus,Chub mackerel Tsushima Strait,Japan,2012,Historic,RAM,Species,0.723,0.82,206000,347420.4476,170223805.7,658772.6395,1239.82642,385982207.3,Miscellaneous pelagic fishes,61
374601,FAJ-JANCHOPJPN-1978-2009-ONO,Engraulis japonicus,Japanese anchovy Pacific Coast of Japan,Japan,2012,Historic,RAM,Species,0.593,1.42,223000,198805.7955,90798853.31,729280.0922,1041.671533,566213508.9,"Herrings, sardines, anchovies",61
374659,FAJ-JANCHOSETO-1955-2010-ONO,Engraulis japonicus,Japanese anchovy Inland Sea of Japan,Japan,2012,Historic,RAM,Species,1.29,0.633,72100,66024.95987,46449984.93,246661.2306,1041.671533,70108305.31,"Herrings, sardines, anchovies",61
374696,FAJ-JANCHOTSST-1976-2010-ONO,Engraulis japonicus,Japanese anchovy Tsushima Strait,Japan,2012,Historic,RAM,Species,0.721,1.15,72500,65620.51424,35703390.48,168025.1588,1041.671533,90839816.94,"Herrings, sardines, anchovies",61
