"stock","b0","f0","msy","mean_r","price","bOA"
"2058","0.39448","0.84547910281946","13.391470620912","0.164039427424387","1","0.556295177"
"2087","0.77842","1.02647826485196","1568.37298889623","0.115251076641804","1","0.177693885"
"2104","0.1755","0.780223990805205","44.3142751331385","0.14014007545938","1","0.270055563"
"2117","1.0121","0.931577981381811","1224704.11754423","0.251997076286902","1","0.447923999"
"2119","1.8399","1.46059691381912","12433.7078898638","0.180935932721712","1","0.447923999"
"2207","0.19546","4.84069948028709","327.867110742014","0.0968473414121441","1","0.177693885"
"2233","2","0.740561634160364","959236.594827334","0.429777798119885","1","0.447923999"
"2261","0.41371","2.47514047532284","23118.2589641314","0.104230787813661","1","0.447923999"
"2272","0.81332","0.844241681949302","960609.679336195","0.278753723985496","1","0.447923999"
"2309","0.84009","2.01890635487571","363948.362048151","0.24972306438313","1","0.270055563"
