Year,BvBmsy,FvFmsy,Catch,RAM
2012,0.748,0.973,4720,TRUE
2012,0.692,1.98,137000,TRUE
2012,2.50011387690351,0.701,71700,TRUE
2012,0.178,1.4,2080,TRUE
2012,1.28,1.23,30200,TRUE
2012,1.58,1.17,342000,TRUE
2012,0.176,5.01,6360,TRUE
2012,0.167,2.13,1300,TRUE
2012,0.354,1.63,72800,TRUE
2012,1.46,0.357350243917591,3000,TRUE
2012,0.0862,0.885,83,TRUE
2012,0.672,1.51,3970,TRUE
2012,0.603,0.0683,2250,TRUE
2012,1.26,0.534,473000,TRUE
2012,0.476,0.954,89600,TRUE
2012,0.689,0.239,104000,TRUE
2012,0.399,0.729,3280,TRUE
2012,2.09,0.268,2890,TRUE
2012,0.194,1.91,2010,TRUE
2012,0.283,0.165,488,TRUE
2012,0.0459,3.56,69300,TRUE
2012,0.77,0.993,46400,TRUE
2012,0.329,0.414,2060,TRUE
2012,1.4,0.412,126000,TRUE
2012,0.524,1.23,3180,TRUE
2012,1.27,0.819,9410,TRUE
2012,2.15,0.96,106000,TRUE
2012,0.561,0.947,97100,TRUE
2012,2.50011387690351,0.166,286000,TRUE
2012,2.46,0.0909,30500,TRUE
2012,0.909,0.258,78100,TRUE
2012,1.11,0.892,538,TRUE
2012,0.715,1.55,12600,TRUE
2012,1.51,1.57,4390,TRUE
2012,1.74,0.166,32000,TRUE
2012,1.7,1.59,26800,TRUE
2012,1.46,0.738,1020,TRUE
2012,1.38,1.46,1230,TRUE
2012,2.50011387690351,1.18,0.26,TRUE
2012,0.998,0.915,688,TRUE
2012,1.05,0.671,9080,TRUE
2012,0.400568306781047,2.19048229901813,14000,FALSE
2012,0.400122232530178,5.05050009928754,500,FALSE
2012,1.00061907960565,0,0,FALSE
2012,1.00042825355471,7.43832133181676,500,FALSE
2012,1.06966592919907,1.43527517906672,1437,FALSE
2012,1.154311568754,0.578310609707943,3,FALSE
2012,0.813810990778308,1.95993764097819,50,FALSE
2012,0.726395602950326,1.6756252743602,51,FALSE
2012,1.84538399695501,0.263540624603511,6530,FALSE
2012,0.966554620931289,0.502576628932952,5,FALSE
2012,0.682953277936018,2.82520157046446,160,FALSE
2012,0.557319588488264,6.40456320885174,35,FALSE
2012,0.590642869858414,0.981667787886467,45,FALSE
2012,0.645226023379083,1.5028436388007,1503,FALSE
2012,0.483095359302687,1.06421604613788,204,FALSE
2012,0.711371901494355,2.67965831090372,190,FALSE
2012,0.662247452892861,1.67534158160521,23304,FALSE
2012,1.82285548836814,0.394578436849348,22079,FALSE
